Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Kumar V., Islam A.","57197697119;55423159300;","Study of variability performance of CMOS active inductors",2017,"Microsystem Technologies",,,,"1","11",,,"10.1007/s00542-017-3693-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039694765&doi=10.1007%2fs00542-017-3693-1&partnerID=40&md5=c73fb3df5f0fdfec2a63a962386a1c4f","Department of Electronics and Communication Engineering, Birla Institute of Technology, Mesra, Ranchi, Jharkhand, India","Kumar, V., Department of Electronics and Communication Engineering, Birla Institute of Technology, Mesra, Ranchi, Jharkhand, India; Islam, A., Department of Electronics and Communication Engineering, Birla Institute of Technology, Mesra, Ranchi, Jharkhand, India","The development of CMOS technology has led to the integration of communication circuits on a single chip. Inductors constitute an essential part of a RF front ends. Employment of spiral inductors has put several limitations on such RF circuits. Spiral inductors are fixed, bulky, cover large area and can’t be scaled with the process technologies. Also, due to the resistive losses and substrate losses, the quality factor is limited. An alternate way to emulate inductor behavior is using active inductors. Active inductors are area-efficient, support tunable inductance, quality factor, self-resonant frequency and can be scaled with process technologies. However, the active inductors are too sensitive to process, supply voltage and temperature variations. In this paper, four active inductor architectures i.e. basic, resistive feedback, Weng-Kuo and regulated cascode active inductor are designed. The quality factor performance of the four active inductor circuits is evaluated. Further, to demonstrate the performance of active inductors, bandpass filter configurations are implemented. The impact of process, voltage and temperature variations on the quality factor of active inductors and resonant frequency of bandpass filters is studied. Simulations are carried out at 180-nm technology node. © 2017 Springer-Verlag GmbH Germany, part of Springer Nature",,"Bandpass filters; CMOS integrated circuits; Natural frequencies; Temperature; Temperature distribution; Cmos active inductors; Communication circuits; Process , voltage and temperatures; Process Technologies; Resistive feedback; Self resonant frequency; Temperature variation; Tunable inductance; Electric inductors","Kumar, V.; Department of Electronics and Communication Engineering, Birla Institute of Technology, Mesra, India; email: vikashkr@bitmesra.ac.in",,"Springer Verlag",09467076,,,,"English","Microsyst Technol",Article in Press,,Scopus,2-s2.0-85039694765
"Jetta M., Iliyas S.K., Pranihith T.","57201699797;57201699318;57201702366;","A Fourth Order Diffusion Filter for Speckle Noise Removal",2017,"ACM International Conference Proceeding Series",,,,"197","201",,,"10.1145/3177404.3177405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045853451&doi=10.1145%2f3177404.3177405&partnerID=40&md5=2a7d2dd4811ebb189fc303672c2c480e","Mahindra Ecole Centrale Survey, No:62/1A,Bahadurpally, Hyderabad, India","Jetta, M., Mahindra Ecole Centrale Survey, No:62/1A,Bahadurpally, Hyderabad, India; Iliyas, S.K., Mahindra Ecole Centrale Survey, No:62/1A,Bahadurpally, Hyderabad, India; Pranihith, T., Mahindra Ecole Centrale Survey, No:62/1A,Bahadurpally, Hyderabad, India","Standard second order speckle reducing diffusion filters produce staircase artefacts (step edges) in the filtered image. In this paper we present an anisotropic fourth order diffusion filter with diffusion coefficients as functions of speckle statistics.This filter steers the diffusion unevenly in the directions of gradient and level set, and hence preserves the edges while removing the noise. The experiments show that the proposed filter outperforms the existing second order speckle reducing filters in terms of staircase artefacts without destructing the edges. © 2017 Associationfor Computing Machinery.","Diffusion filters; Noise estimation; Speckle noise; Stair-case artefacts","Bandpass filters; Diffusion; Speckle; Stairs; Video signal processing; Anisotropic fourth-order diffusions; Diffusion filter; Filtered images; Fourth order diffusion; Noise estimation; Speckle noise; Speckle noise removal; Stair-case; Image processing",,,"Association for Computing Machinery",,9781450353830,,,"English","ACM Int. Conf. Proc. Ser.",Conference Paper,,Scopus,2-s2.0-85045853451
"Suganthi K., Malarvizhi S.","57202042151;23991109700;","Millimeter wave CMOS minimum noise amplifier for automotive radars in the frequency band (60–66 GHZ)",2017,"Cluster Computing",,,,"1","10",,,"10.1007/s10586-017-1475-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039053700&doi=10.1007%2fs10586-017-1475-2&partnerID=40&md5=268935a7c663de71b71341a0c7ad7b07","SRM University, Chennai, India","Suganthi, K., SRM University, Chennai, India; Malarvizhi, S., SRM University, Chennai, India","At 60 GHz, millimeter wave circuit design a great gain and small noise figure (NF) is preferable at radio frequency front end. Broad bandwidth is preferred over wireless personal area network and radio detection and ranging. The necessities of a recipient front-end join extraordinary data and yield impedance organizing, high port-to-port separation, low clamor, and high increase over the whole band of intrigue. These requirements are satisfied by the proposed Low-Noise Amplifier design. Conversion gain (S(Formula presented.) of 11.289 dB, NF of 1.819 dB, the stability of 2.167, Bandwidth of 16.5 GHz are achieved. Also, input and output replication factors are S(Formula presented.) = − 12.148 dB and S(Formula presented.) = − 12.238 dB. Impedance matching has finished by transmission lines. Propelled design system has utilized for pre-format and post-format simulation. Low Noise Amplifier is implemented in 180 nm CMOS development. As compared with other traditional strategies the proposed ADS is achieved low power utilization of 7.25 mW from a 1.5 V supply and it accomplishes a voltage achievement of 12 dB, 3-dB bandwidth of 60 GHz. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Advanced design system (ADS); CMOS, CG, Low noise amplifier (LNA); MilliMeter wave (MMW); Noise figure (NF); Radio frequency (RF); Wireless PAN (WPAN)","Amplifiers (electronic); Bandwidth; CMOS integrated circuits; Frequency bands; Integrated circuit design; Microwave circuits; Millimeter waves; Noise figure; Personal communication systems; Printed circuit design; Radio waves; Wireless local area networks (WLAN); Advanced design system; Low noise amplifier designs; Millimeter wave (MMW); Radio detection and ranging; Radio frequencies; Radio frequency front end; Wireless PAN; Wireless personal area networks; Low noise amplifiers","Suganthi, K.; SRM UniversityIndia; email: suganthisrmECE@yahoo.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85039053700
"Das N., Chakraborty M.","57197595841;56769043300;","Performance analysis of FIR and IIR filters for ECG signal denoising based on SNR",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"90","97",,,"10.1109/ICRCICN.2017.8234487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049030028&doi=10.1109%2fICRCICN.2017.8234487&partnerID=40&md5=94d8d8f17199f4a1f46f4734549775b8","School of Bio-Science and Engineering, Jadavpur University, Kolkata, India","Das, N., School of Bio-Science and Engineering, Jadavpur University, Kolkata, India; Chakraborty, M., School of Bio-Science and Engineering, Jadavpur University, Kolkata, India","Filtering of ECG signal is an essential step in ECG signal processing and analysis. Since ECG is a low amplitude biosignal, it is easily corrupted by external noises, and by the presence of other biosignals. The aim of filtering is to remove unwanted noise while preserving important characteristics of the signal. Various filtering techniques are available thus choosing the right filter for ECG denoising is a problem. This study aims to solve that problem by quantifying and comparing performance of various FIR and IIR filters, based on their SNR values, in both diagnostic and monitoring mode. For this purpose, ECG signals are collected from MIT-BIH Physionet Database. This study identifies the order at which filters perform best, thus order optimization for each filter design has been done. Readers will be able to understand the variation of filter performance with filter order and choose the best filter for ECG signal denoising. © 2017 IEEE.","denoise; ECG; filter order; FIR; IIR; SNR","Artificial intelligence; Bandpass filters; Electrocardiography; FIR filters; IIR filters; Signal denoising; Signal to noise ratio; De-Noise; ECG signal processing; filter order; Filter performance; Filtering technique; FIR and IIR filters; Order optimizations; Performance analysis; Biomedical signal processing",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049030028
"Das A.K., Biswas D., Halder S.","57190853378;57202691349;8381178300;","Analysis of de-noising techniques of non-stationary ECG signal based on wavelet and PSO optimized parameters for Savitzky golay filter",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"39","44",,,"10.1109/ICRCICN.2017.8234478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049033925&doi=10.1109%2fICRCICN.2017.8234478&partnerID=40&md5=22577cb7a15f2c6dcf3d9b2bb13cd3f8","Electrical Engineering Department, National Institute of Technology, Durgapur, 713209, India; Faculty of Technology, Uttar Banga Krishi Viswavidyalaya, Coochbehar, 736101, India","Das, A.K., Electrical Engineering Department, National Institute of Technology, Durgapur, 713209, India, Faculty of Technology, Uttar Banga Krishi Viswavidyalaya, Coochbehar, 736101, India; Biswas, D., Electrical Engineering Department, National Institute of Technology, Durgapur, 713209, India; Halder, S., Electrical Engineering Department, National Institute of Technology, Durgapur, 713209, India","The bioelectric signals originate from different organs of human body. Out of these ECG is one of the important bioelectric signals for our concern and for investigation of various heart ailments. ECG demonstrates graphical rendition of activity of the heart and by analyzing the ECG signal several heart diseases can be identified. For analysis of ECG signal, it must be noise free. There are several techniques for filtering out the noise from ECG signal. It is imperative to find out a best possible method for ECG Signal de-noising, which may be investigated by finding and comparing the signal-to-signal-plus-noise ratios (SSNR) and root-mean-square deviations (RMSD). By considering a mother wavelet with different levels and threshold, the values of SSNR and RMSD are calculated and compared to achieve a best possible result. Similarly, by utilizing different frame lengths and polynomial orders, the S-G filter is employed to find SSNR and RMSD. The results of these methods are also compared. Finally, the orders and frame lengths of S-G filters can be obtained by optimizing with the help of particle swarm optimization (PSO) technique. © 2017 IEEE.","ECG (Electrocardiogram); PSO (Particle swarm optimization); RMSD (Root mean square deviation); S-G (Savitzky-Golay) filter; SSNR (Signal-to-signal-plus-noise ratio); Wavelet","Artificial intelligence; Bandpass filters; Bioelectric phenomena; Conformations; Electrocardiography; Particle swarm optimization (PSO); Phase equilibria; Signal analysis; Signal filtering and prediction; Tensors; Wavelet analysis; Noise ratio; PSO(particle swarm optimization); Root mean square deviations; Savitzky-Golay; Wavelet; Biomedical signal processing",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049033925
"Das P., Naskar S.K., Patra S.N.","23093733200;17435322800;25722157800;","Adaptive global best steered Cuckoo search algorithm for FIR filter design",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"15","20",,,"10.1109/ICRCICN.2017.8234474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049027157&doi=10.1109%2fICRCICN.2017.8234474&partnerID=40&md5=4536d6fb7cfdbd7d4de66190d16d2d0c","Dept. of CSE, Jadavpur University, Kolkata, India; Dept. of Instrumentation Science, Jadavpur University, Kolkata, India","Das, P., Dept. of CSE, Jadavpur University, Kolkata, India; Naskar, S.K., Dept. of CSE, Jadavpur University, Kolkata, India; Patra, S.N., Dept. of Instrumentation Science, Jadavpur University, Kolkata, India","In this paper, we propose design of even order low pass FIR filter and odd order bandpass FIR filter using coefficients optimized by an adaptive Global Best steered Cuckoo Search Algorithm (gbest CSA). For optimization, we use a mean square error based cost function as the fitness function. We evaluated the efficacy of the proposed technique by comparing the filter responses with responses of the filters designed using standard Cuckoo Search Algorithm and traditional technique of filter design with Parks McClellan algorithm. Efficacy of the proposed algorithm compared to the conventional CSA is proved using seven standard benchmark functions. © 2017 IEEE.","Bandpass Filter; Cuckoo Search; Filter Coefficient; Finite Impulse Response Filter; Global Best; Lowpass Filter","Artificial intelligence; Bandpass filters; Cost functions; Impulse response; Learning algorithms; Low pass filters; Mean square error; Optimization; Benchmark functions; Cuckoo search algorithms; Cuckoo searches; Filter coefficients; FIR filter design; Global bests; Parks-McClellan algorithm; Traditional techniques; FIR filters",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049027157
"Roy A., Singha J., Laskar R.H.","57014006000;56957043200;23397200000;","Impulse noise removal from color images: An approach using SVM classification based fuzzy filter",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"929","934",,,"10.1109/TENCON.2017.8227991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044195722&doi=10.1109%2fTENCON.2017.8227991&partnerID=40&md5=8cdbf291aff7addb095e91df5d8ffb45","BML Munjal University, LNMIIT, NIT Silchar, India","Roy, A., BML Munjal University, LNMIIT, NIT Silchar, India; Singha, J., BML Munjal University, LNMIIT, NIT Silchar, India; Laskar, R.H., BML Munjal University, LNMIIT, NIT Silchar, India","This paper proposes support vector machine (SVM) based fuzzy filter for restoration of corrupted images from impulse noise in color image domain. In this proposed filter, filtering technique is performed using channel by channel operation on the corrupted pixel (R, G, and B channel separately). In this work, the system has been trained with the optimal feature set. During the testing phase, pixels within test image are classified using knowledge achieved during the training phase into noisy and non-noisy. If the pixel is classified to be noisy, fuzzy filtering operation is done on the noisy pixels and otherwise, it will be kept as it is. The experiment has been performed on a large set of images and the proposed filter is compared with some of the baseline system likely MSVMAF, and BDND filter. It has been observed that the proposed filter not only tries to improve the image details but also requires less computational complexity while preserving images from its corrupted version. © 2017 IEEE.","feature vector set; fuzzy filter; Impulse noise; support vector machine","Bandpass filters; Fuzzy filters; Image classification; Image denoising; Image enhancement; Image retrieval; Pixels; Support vector machines; Baseline systems; Corrupted images; Feature vectors; Filtering technique; Fuzzy filtering; Impulse noise removals; Optimal feature sets; SVM classification; Impulse noise",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044195722
"Kambali V., Abegaonkar M., Basu A.","57201885721;6602534932;56023912300;","Frequency reconfigurable compact MIMO antenna for WLAN application",2017,"2017 International Symposium on Antennas and Propagation, ISAP 2017","2017-January",,,"1","2",,,"10.1109/ISANP.2017.8228948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046351050&doi=10.1109%2fISANP.2017.8228948&partnerID=40&md5=cd73488cc5cc241fd4cd49e2eac461e8","Center for Applied Research in Electronics, Indian Institute of Technology(IIT) Delhi, Hauz Khas, India","Kambali, V., Center for Applied Research in Electronics, Indian Institute of Technology(IIT) Delhi, Hauz Khas, India; Abegaonkar, M., Center for Applied Research in Electronics, Indian Institute of Technology(IIT) Delhi, Hauz Khas, India; Basu, A., Center for Applied Research in Electronics, Indian Institute of Technology(IIT) Delhi, Hauz Khas, India","A frequency reconfigurable Multiple-input Multiple-output (MIMO) antenna for Wireless Local Area Network(WLAN) application is proposed. Multiple-Input Multiple-output (MIMO) technology has been incorporated into wireless local area networks (WLANs) through the IEEE802.11n and 802.11ac standards. These MIMO WLAN systems can support up to four antenna elements and four data streams for each user or mobile station. These systems operate in the frequency bands of 2.4-2.5 GHz (802.11n) and 4.9-5.725 GHz. (802.11n and ac). © 2017 IEEE.","Frequency reconfigurable antenna; Multiple-input Multiple-output; WLAN","Channel capacity; Codes (symbols); Feedback control; IEEE Standards; Microwave antennas; Telecommunication repeaters; Telecommunication services; Wireless local area networks (WLAN); Antenna element; Frequency reconfigurable; Frequency reconfigurable antenna; Multiple input multiple output antennas; Multiple-input multiple-output technologies; Wireless local area network applications; WLAN; WLAN applications; MIMO systems","Kambali, V.; Center for Applied Research in Electronics, Indian Institute of Technology(IIT) DelhiIndia; email: vijay3dagger@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",,9781538604656,,,"English","Int. Symp. Antennas Propag., ISAP",Conference Paper,,Scopus,2-s2.0-85046351050
"Dash S.K.K., Khan T., Borthakur M.","56492252100;55189263800;57201799337;","Circularly polarized conical dielectric resonator antenna for X-band applications: An experimental study",2017,"European Microwave Week 2017: ""A Prime Year for a Prime Event"", EuMW 2017 - Conference Proceedings; 47th European Microwave Conference, EuMC 2017","2017-January",,,"1281","1284",,,"10.23919/EuMC.2017.8231085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046535812&doi=10.23919%2fEuMC.2017.8231085&partnerID=40&md5=2f7e81c6f7797a805e3c0f7d30b329f8","Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, Assam, 788010, India","Dash, S.K.K., Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, Assam, 788010, India; Khan, T., Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, Assam, 788010, India; Borthakur, M., Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, Assam, 788010, India","A wideband (WB) and circularly polarized (CP) antenna is modelled, fabricated, and characterized. The wideband antenna comes with a conical dielectric resonator antenna excited by microstrip fed slot coupling mechanism. In addition to this, a set of tapered sheet is suspended on both sides of the feed line up to the WB slot to ensure circular polarization. From authors' point of view this kind of approach for CP is quite new in this domain. This proposed geometry is modelled with commercial finite element solver HFSS v13.0. The measurement results shows a wide band of 11.46 % (over 7.4 GHz-8.3 GHz) and 5.7 dBi peak gain. In addition to this, a circular polarization (AR < 3 dB) of 4.5% bandwidth is obtained over 7.65 GHz-8 GHz. In view of these results, this model satisfies the basic criteria for X-band wireless applications. © 2017 European Microwave Association.",,"Antenna feeders; Bandwidth; Circular polarization; Dielectric resonators; Microwave filters; Slot antennas; Wireless telecommunication systems; Circularly polarized; Circularly polarized antennas; Dielectric resonator antennas; Finite element solver; Microstrip fed; Slot coupling; Wideband antenna; Wireless application; Microwave antennas",,,"Institute of Electrical and Electronics Engineers Inc.",,9782874870477,,,"English","Eur. Microw. Week : ""Prime Year Prime Event"", EuMW - Conf. Proc.; Eur. Microw. Conf., EuMC",Conference Paper,,Scopus,2-s2.0-85046535812
"Khan M.T., Ahamed S.R.","57193835144;55818145100;","VLSI realization of low complexity pipelined LMS filter using distributed arithmetic",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"433","438",,,"10.1109/TENCON.2017.8227903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044194856&doi=10.1109%2fTENCON.2017.8227903&partnerID=40&md5=57bc3193103eca15d7288178d95caec9","EEE Department, Indian Institute of Technology, Guwahati, 781039, India","Khan, M.T., EEE Department, Indian Institute of Technology, Guwahati, 781039, India; Ahamed, S.R., EEE Department, Indian Institute of Technology, Guwahati, 781039, India","This paper presents a new low complexity architecture of least-mean-square (LMS) adaptive filter using distributed arithmetic (DA). The DA based LMS adaptive filter requires lookup tables (LUTs) for filtering and weight updating operation whose complexities grow exponential with filter order. In the proposed technique, the complexity of LUT for DA based LMS adaptive filter is reduced by two new serial implementations. These are based on AND cells (structure-I) and 2-to-1 multiplexer cells (structure-II) followed by an adder tree. Both the structures have reduced the hardware complexity of proposed filter significantly. Compared with the best existing scheme, the proposed designs guarantee to have smaller area and lower power. From synthesis results, it is found that the proposed structure-I for 16th order occupies 53.57 % less area and consumes 55.06 % less power; utilizes 48.5 % and 67.24 % less number of LUT and FF respectively while the structure-II for 16th order occupies 52.14 % less area and consumes 53.69 % less power; utilizes 47.5 % and 65.51 % less number of LUT and FF respectively, as compared to the best existing design. © 2017 IEEE.","Distributed Arithmetic (DA); finite impulse response (FIR); least mean square (LMS); look up table (LUT)","Adaptive filtering; Bandpass filters; Impulse response; Table lookup; VLSI circuits; Distributed arithmetic; Finite impulse responses (FIR); Hardware complexity; Least mean square (LMS); LMS adaptive filters; Look up table; Lookup tables (LUTs); Low-complexity architecture; Adaptive filters",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044194856
