Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Kadu S., Cheggoju N., Satpute V.R.","57190583147;57193677734;54396129600;","Noise-resilient compressed domain video watermarking system for in-car camera security",2017,"Multimedia Systems",,,,"1","13",,,"10.1007/s00530-017-0584-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039701540&doi=10.1007%2fs00530-017-0584-3&partnerID=40&md5=c52b0bfdc62dfa4bc7dfe55f3eba278c","Department of ECE, Nagpur, India","Kadu, S., Department of ECE, Nagpur, India; Cheggoju, N., Department of ECE, Nagpur, India; Satpute, V.R., Department of ECE, Nagpur, India","In-car camera system emerges as a very useful technology for automobile drivers, as it can provide proper evidence to insurance companies and to police investigators in case of car accidents. Dashcam, being one of the car video storage devices, stores the data in the SD card which is overwritten and can be tampered very easily. Thus, it is important to develop an in-car security system, where data can be stored in the server and can provide privacy to the user. In this paper, we have proposed a noise-resilient compressed domain video watermarking system for in-car security to document the vehicle history which can be a proof for any mischief. We have used Independent Pass Coding (INPAC) compression technique for designing the system. Here, data generated by the system is stored in the server database which is accessible to the authentic registered user and administrator in case of any claim. This system ensures copyright, proprietorship, authentication and security against third party intrusion. The proposed system is implemented in off-line mode to evaluate the robustness and efficiency of the algorithm, and in online mode to verify the system. Graphical user interface is designed for the end user access, to make it user friendly. © 2017 Springer-Verlag GmbH Germany, part of Springer Nature","Dashcam; Graphical user interface; In-car camera; Independent Pass Coding (INPAC); Video watermarking","Automobile drivers; Cameras; Digital storage; Graphical user interfaces; Image compression; Insurance; User interfaces; Virtual storage; Watermarking; Compressed domain; Compression techniques; Dashcam; In-car camera systems; Independent Pass Coding (INPAC); Insurance companies; Server database; Video watermarking; Accidents","Cheggoju, N.; Department of ECEIndia; email: naninaveen.ch@gmail.com",,"Springer Verlag",09424962,,MUSYE,,"English","Multimedia Syst",Article in Press,,Scopus,2-s2.0-85039701540
"Anbuchelian S., Sowmya C.M., Ramesh C.","55320500700;57200116245;57196656241;","Efficient and secure auditing scheme for privacy preserving data storage in cloud",2017,"Cluster Computing",,,,"1","9",,,"10.1007/s10586-017-1486-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039724225&doi=10.1007%2fs10586-017-1486-z&partnerID=40&md5=b086d80a552c9344939e0f50ea438fe5","Ramanujan Computing Centre, Anna University, Chennai, 600 025, India; Department of CSE, Kalasalingam Academy of Research and Education, Krishnankoil, 626 126, India","Anbuchelian, S., Ramanujan Computing Centre, Anna University, Chennai, 600 025, India; Sowmya, C.M., Department of CSE, Kalasalingam Academy of Research and Education, Krishnankoil, 626 126, India; Ramesh, C., Ramanujan Computing Centre, Anna University, Chennai, 600 025, India","An on-demand computing in which data is stored in a remote manner and provision of services is from a pool of resources of computing that is shared is known as Cloud computing. The cloud computing fulfills the need of store and oversee show. Though to get to and secure information, numerous exceptional advancements like parallel and guide diminish strategies are accessible. The burden of usage from maintenance and storage of native data is eliminated and the owner additionally benefits from elimination of the responsibility of security and storage (Gourkhede and Theng, 2014 fourth international conference on communication systems and network technologies (CSNT), pp 677–680, 2014; Modi, J Supercomput 63(2):561–592, 2013; Smys and Bala, Clust Comput 15(3):211–222, 2012). In order to ensure modification of the accuracy of the on-demand data and its due verification on the cloud owners’ behalf, a methodology that is innovative is needed. The encryption and file split up is done using a novel secure cryptography hashing algorithm. Once the data is uploaded the user is provided with a private and public key for trustworthy retrieval of the data file. Those keys are generated using a proposed modified RSA cryptosystem algorithm. A multilevel hash tree algorithm is used to efficiently audit the data file occasionally. The implementation and therefore the results show the potency and efficiency of the proposed algorithm compared to the existing algorithm. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Cloud service provider; Cloud storage; Data dynamics; Integrity and confidentiality; Third party auditor","Cloud computing; Cryptography; Data privacy; Digital storage; Cloud service providers; Cloud storages; Data dynamics; Integrity and confidentiality; Third parties; Trees (mathematics)","Anbuchelian, S.; Ramanujan Computing Centre, Anna UniversityIndia; email: anbuchelianrcc@gmail.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85039724225
"Batra S., Sachdeva S., Bhalla S.","55637568100;35956861000;7005994808;","Entity Attribute Value style modeling approach for archetype based data",2017,"Information (Switzerland)","9","1", 2,"","",,,"10.3390/info9010002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040114764&doi=10.3390%2finfo9010002&partnerID=40&md5=f987dd304e40514cf3c4ca21ee980656","Department of Computer Science and Engineering, Jaypee Institute of Information Technology University, Noida, 201304, India; Division of Information Systems, University of Aizu, Fukushima, 965-8580, Japan","Batra, S., Department of Computer Science and Engineering, Jaypee Institute of Information Technology University, Noida, 201304, India; Sachdeva, S., Department of Computer Science and Engineering, Jaypee Institute of Information Technology University, Noida, 201304, India; Bhalla, S., Division of Information Systems, University of Aizu, Fukushima, 965-8580, Japan","Entity Attribute Value (EAV) storage model is extensively used to manage healthcare data in existing systems, however it lacks search efficiency. This study examines an entity attribute value style modeling approach for standardized Electronic Health Records (EHRs) database. It sustains qualities of EAV (i.e., handling sparseness and frequent schema evolution) and provides better performance for queries in comparison to EAV. It is termed as the Two Dimensional Entity Attribute Value (2D EAV) model. Support for ad-hoc queries is provided through a user interface for better user-interaction. 2D EAV focuses on how to handle template-centric queries as well as other health query scenarios. 2D EAV is analyzed (in terms of minimum non-null density) to make a judgment about the adoption of 2D EAV over n-ary storage model of RDBMS. The primary aim of current research is to handle sparseness, frequent schema evolution, and efficient query support altogether for standardized EHRs. 2D EAV will benefit data administrators to handle standardized heterogeneous data that demands high search efficiency. It will also benefit both skilled and semi-skilled database users (such as, doctors, nurses, and patients) by providing a global semantic interoperable mechanism of data retrieval. © 2018 by the authors.","Archetype based EHRs; Electronic Health Records (EHRs); Entity attribute value model; Standardization","Digital storage; Efficiency; Health; Information management; Query processing; Records management; Semantics; Standardization; User interfaces; Archetype based EHRs; Attribute values; Data administrators; Electronic health record (EHRs); Existing systems; Heterogeneous data; Search efficiency; Semantic interoperability; Search engines","Sachdeva, S.; Department of Computer Science and Engineering, Jaypee Institute of Information Technology UniversityIndia; email: shelly.sachdeva@jiit.ac.in",,"MDPI AG",20782489,,,,"English","Information",Article,Open Access,Scopus,2-s2.0-85040114764
"Rajan G., Kavakuntala M., Rajkumar V.S., Gnanavel S., Vijayaraghavan V.","57194649809;57202281628;57200161832;57202282711;55928396100;","Rural Indian microgrid design optimization - Intelligent battery sizing",2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings","2017-January",,,"1","5",,,"10.1109/GHTC.2017.8239275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047730771&doi=10.1109%2fGHTC.2017.8239275&partnerID=40&md5=9cc181964749f00ad2c2af74fa2a9c61","Solarillion Foundation, India; SRM University, India; Anna University, India","Rajan, G., Solarillion Foundation, India; Kavakuntala, M., SRM University, India; Rajkumar, V.S., Anna University, India; Gnanavel, S., Anna University, India; Vijayaraghavan, V., Solarillion Foundation, India","This paper proposes an enhanced three step design framework for microgrids designed with fixed capacity shortages (CS) that optimizes cost using load prioritization, battery thresholds and predicted solar data in the design phase instead of operational phase to reduce capital expenditure. This is achieved through reduction in battery size. The framework uses HOMER to model microgrids that are cost optimized for a given CS and installation location. As the first step of the redesign, load prioritization is used to resize the system into a new configuration, termed as Default System Size (DSS). The battery size in DSS is subsequently optimized over second and third stages of design. The second stage, Battery Threshold Management (BTM) uses efficiencies brought about by setting battery thresholds using load information for a 24-hour autonomy. In the third step - Prediction Management (PM), the operational efficiency brought about by solar generation prediction data is incorporated into the design framework. The proposed framework is validated using 6 individual microgrids set in different rural Indian locations. © 2017 IEEE.","battery storage; capacity shortage; design optimization; forecasting; load prioritization; Microgrid design; renewable energy sources","Battery storage; Digital storage; Electric batteries; Forecasting; Renewable energy resources; Solar power generation; Capacity shortage; Design optimization; Load prioritization; Micro grid; Renewable energy source; Battery management systems","Rajan, G.; Solarillion FoundationIndia; email: gandhi.rajan@ieee.org",,"Institute of Electrical and Electronics Engineers Inc.",,9781509060467,,,"English","GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047730771
"Kar M., Mandal M.K., Nandi D.","56417407800;56577514400;55558603900;","RGB image encryption using hyper chaotic system",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"354","359",,,"10.1109/ICRCICN.2017.8234534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048954378&doi=10.1109%2fICRCICN.2017.8234534&partnerID=40&md5=45d9d0b2f1e1b8de026cb8a98e0d3f81","Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Department of Computer Science and Engineering, National Institute of Technology Durgapur, Durgapur, 713209, India","Kar, M., Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Mandal, M.K., Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Nandi, D., Department of Computer Science and Engineering, National Institute of Technology Durgapur, Durgapur, 713209, India","In the modern digital era, the storage of digital data in multi-users systems and transmission over the internet is prime important in the society. The cryptographic technique is one of the possible solutions for protecting digital information for unauthorized uses. In this technique, the encryption algorithm should be simple to design and implementation. In the proposed article, a novel color image encryption algorithm is presented employing a 4D Lorenz system. The encryption technique is very sensitive to the input 256 bits key and input plane image. Initially, the color image is split into three different channels R, G, and B. Next each channel is encrypted separately by employing diffusion and confusion mechanism. Finally, all three channels R, G, and B are combined to produce the required encrypted image. Various security tests have been conducted to prove the validity of the presented encryption technique. The encryption time was considerably less as compared to other reported works. © 2017 IEEE.","chaos; decryption; encryption; information entropy; noise attack; NPCR & UACI","Artificial intelligence; Chaos theory; Chaotic systems; Digital storage; Image processing; Color image encryptions; Cryptographic techniques; decryption; Design and implementations; Encryption algorithms; Hyper-chaotic systems; Information entropy; noise attack; Cryptography",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048954378
"Bhushan K., Gupta B.B.","57191279554;34770593700;","Network flow analysis for detection and mitigation of Fraudulent Resource Consumption (FRC) attacks in multimedia cloud computing",2017,"Multimedia Tools and Applications",,,,"1","32",,2,"10.1007/s11042-017-5522-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038631544&doi=10.1007%2fs11042-017-5522-z&partnerID=40&md5=9749963c9ecb1489d41b1c098d135d57","National Institute of Technology Kurukshetra, Kurukshetra, India","Bhushan, K., National Institute of Technology Kurukshetra, Kurukshetra, India; Gupta, B.B., National Institute of Technology Kurukshetra, Kurukshetra, India","Multimedia computing has evolved as a remarkable technology which provides services to view, create, edit, process, and search multimedia contents. All these multimedia services have high computational, bandwidth, and storage requirements. Therefore, multimedia cloud computing has gained appreciable popularity and acceptance in the past one decade. The convenience of cloud computing comes with financial burden. One of the fundamental features of cloud computing, which helps in reducing the financial worries of the multimedia service providers is the cloud’s pay-as-you-go pricing model. However, the cloud’s pricing model has also attracted adversaries that have hindered the migration of services and/or data by various organisations to the cloud. Through the cloud’s pay-as-you-go pricing model, attackers usually target the financial viability of the cloud customers. Therefore, such attacks are capable to affect the long term availability of multimedia-services hosted on the public cloud. These attacks are known as Fraudulent Resource Consumption (FRC) attack. Therefore, research in the area of FRC attack detection and mitigation is important in motivating the organisations to adopt the public cloud platform. In this paper, we propose a novel approach based on network flow analysis at the victim side to detect and mitigate the FRC attacks against cloud-based services. Experiments were conducted using real world benchmark datasets to evaluate the performance of the proposed approach. Experimental outcomes suggest that our proposed approach is able to detect and mitigate the FRC attacks with satisfactory accuracy and low overhead. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Cloud pricing model; Cloud security; EDoS attack; Fraudulent Resource Consumption (FRC) attacks; Low rate DDoS attacks; Multimedia cloud; Network flow analysis; Turing test","Benchmarking; Cloud computing; Costs; Denial-of-service attack; Digital storage; Finance; Multimedia services; Multimedia systems; Network security; Cloud securities; DDoS Attack; EDoS attack; Network flow analysis; Pricing models; Resource consumption; Turing tests; Distributed computer systems","Gupta, B.B.; National Institute of Technology KurukshetraIndia; email: gupta.brij@gmail.com",,"Springer New York LLC",13807501,,MTAPF,,"English","Multimedia Tools Appl",Article in Press,,Scopus,2-s2.0-85038631544
"Kodali R.K., Mahesh K.S.","55616725400;57194412143;","Smart emergency response system",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"712","717",,,"10.1109/TENCON.2017.8227953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044237745&doi=10.1109%2fTENCON.2017.8227953&partnerID=40&md5=e64b4df24ead2f3ff573645aeb94f3f0","Department of Electronics and Communication Engineering, National Institute of Technology, Warangal WARANGAL, 506004, India","Kodali, R.K., Department of Electronics and Communication Engineering, National Institute of Technology, Warangal WARANGAL, 506004, India; Mahesh, K.S., Department of Electronics and Communication Engineering, National Institute of Technology, Warangal WARANGAL, 506004, India","The Internet of Things is one of the trending technologies wherein connecting any device to the Internet and control power to any appliance and in addition possess capability of connecting those appliances to each other in creating a network. In this work, a WiFi enabled micro-controller is interfaced with few sensors like ADXL335, a 3-axis accelerometer for sensing tilt of the object, motion, vibration or shock, Pulse Sensor to give live heart data rate, DHT11 Sensor to sense ambient temperature and humidity. The number of sensors is scalable but constrained depending on WiFi enabled micro-controller capability and permissible limits have been set for each of these sensors in case of the emergency response. The GPS module is also interfaced with the WiFi enabled micro-controller for positioning and tracking purposes. For monitoring purpose, the collected data from each of these sensors is displayed using I2C 128×64 OLED display connected to the micro-controller development board. The WiFi enabled micro-controller is connected to the Thinger.io, a cloud platform used for storage and visualization purposes. The endpoints feature on Thinger.io platform facilitate to send email, push the data to the external services which are particularly useful while using third party services. The free web based service IFTTT is used to send SMS having full emergency response profile to the responder whenever emergency condition occurs. © 2017 IEEE.","Cloud service; IFTTT; IoT; Sensors; WiFi Micro-controller","Controllers; Digital storage; Humidity control; Internet of things; Microcontrollers; Sensors; Wireless local area networks (WLAN); 3-axis accelerometer; Cloud services; Emergency conditions; Emergency response systems; IFTTT; Positioning and tracking; Temperature and humidities; Third party services; Emergency services",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044237745
"Malhotra S., Doja M.N., Alam B., Alam M.","57189062601;6507366412;55193828000;7401493088;","Bigdata analysis and comparison of bigdata analytic approches",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"309","314",,,"10.1109/CCAA.2017.8229821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046365094&doi=10.1109%2fCCAA.2017.8229821&partnerID=40&md5=0159c4f129153436d98bba8de97b7636","Department of Computer Engineering, Jamia Millia Islamia University, New Delhi, India","Malhotra, S., Department of Computer Engineering, Jamia Millia Islamia University, New Delhi, India; Doja, M.N., Department of Computer Engineering, Jamia Millia Islamia University, New Delhi, India; Alam, B., Department of Computer Engineering, Jamia Millia Islamia University, New Delhi, India; Alam, M., Department of Computer Engineering, Jamia Millia Islamia University, New Delhi, India","Recent technological advancements in typical domains (e.g. internet, financial companies, health care, user generated data, supply chain systems etc.) have directed to inundate of data from these domains. Data outburst trend gave the insight meaning to the buzz word 'Bigdata'. If we compare with traditional data, Bigdata exhibits some unique characteristics like it is commonly enormous and unstructured type of data that cannot be handled using traditional databases. Hence new system designs are required for the following processes i.e. data collection, data transmission, storage, and large-scale data processing mechanisms. The definition of Bigdata has been presented from many aspects in this paper. We analyzed Bigdata system architecture and various challenges of Bigdata. The prevalent Hadoop framework, Hive, No SQL, New SQL, MapReduce and HBase for addressing the biggest challenge of Bigdata i.e Data Analytic has also been analyzed and compared. © 2017 IEEE.","Bigdata; Bigdata Analytics; Bigdata System Architecture; Challenges of Bigdata; Solution for the challenges and Analytics","Big data; Chains; Computer architecture; Data acquisition; Digital storage; Supply chains; Big Data Analytics; Data collection; Financial companies; Hadoop frameworks; Large-scale data processing; Supply chain systems; System architectures; Technological advancement; Data handling",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046365094
"Shakya A.K., Ramola A., Pandey D.C.","57201904847;57201910317;57193846749;","Polygonal region of interest based compression of DICOM images",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"1035","1040",,,"10.1109/CCAA.2017.8229993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046413162&doi=10.1109%2fCCAA.2017.8229993&partnerID=40&md5=02f028c0ef942dc6a9a065c1eaf563ff","Department of Electronics and Communication Engineering, Graphic Era University, Dehradun, Uttrakhand, India","Shakya, A.K., Department of Electronics and Communication Engineering, Graphic Era University, Dehradun, Uttrakhand, India; Ramola, A., Department of Electronics and Communication Engineering, Graphic Era University, Dehradun, Uttrakhand, India; Pandey, D.C., Department of Electronics and Communication Engineering, Graphic Era University, Dehradun, Uttrakhand, India","Many classes of digital images contain some spatial regions which are more important than other regions due to various reasons. Compression methods which are capable of maintaining high quality information for important parts without any significant loss prove as useful techniques in such cases. Medical images contain large amount of data and need compression for efficient storage and communication purposes. On the other hand medical images also have a few diagnostically important regions where loss of quality could result in wrong interpretation which cannot be tolerated. Thus compression techniques which provide both lossless as well as lossy compression in different areas of the same image can provide a solution for the medical community. As digital images are in matrix form we have developed a mathematical approach for applying both lossless and lossy compression on the same image. Mathematical operations like matrix subtraction, addition, multiplication and other matrix operations can help to achieve the result of maintaining high quality at the region of interest (ROI) and allow high degree of compression in other regions. Here we have achieved the two objectives of reducing the storage and transmission time as well as retaining the original quality at the ROI successfully. © 2017 IEEE.","Compression techniques; Matrix mathematical operations; Region of interest; Wavelet compression","Digital storage; Image segmentation; Matrix algebra; Medical image processing; Medical imaging; Compression methods; Compression techniques; High quality information; Mathematical approach; Mathematical operations; Region of interest; The region of interest (ROI); Wavelet compression; Image compression",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046413162
"Kamboj H., Sinha B.","57201895651;57201855891;","DEDUP: Deduplication system for encrypted data in cloud",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"795","800",,,"10.1109/CCAA.2017.8229904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044412630&doi=10.1109%2fCCAA.2017.8229904&partnerID=40&md5=4e84a383f9239f7f34946c22cbbb49bc","Department of Computer Engineering, National Institute of Technology, Kurukshetra, Haryana, India","Kamboj, H., Department of Computer Engineering, National Institute of Technology, Kurukshetra, Haryana, India; Sinha, B., Department of Computer Engineering, National Institute of Technology, Kurukshetra, Haryana, India","Cloud computing facilitates different cloud services in which the most popular one is cloud storage. For maintaining the privacy and security of data, the data holders often store their data in encrypted form. Further the encrypted data introduce new problems for deduplication while processing such a crucial big data. The present schemes of data deduplictaion in encrypted form lacks in security. Most schemes do not support access on data thus creating a big challenge of ownership on data being stored on cloud. In this paper, we have proposed a DeDup App which is easy to use application interface based on challenge of ownership and re-encryption. The efficiency of our scheme is a result of the computer simulation and analysis performed. © 2017 IEEE.","Big data; cloud computing; Data deduplication; Hadoop; Proof of ownership","Cloud computing; Cryptography; Digital storage; Security of data; Application interfaces; Data de duplications; De duplications; Encrypted data; Hadoop; Privacy and security; Proof of ownership; Simulation and analysis; Big data",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85044412630
