Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Reddy K.J., Sudhakar N.","57199323238;54914449900;","High voltage gain interleaved boost converter with neural network based mppt controller for fuel cell based electric vehicle applications",2017,"IEEE Access","6",,,"3899","3908",,5,"10.1109/ACCESS.2017.2785832","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040026477&doi=10.1109%2fACCESS.2017.2785832&partnerID=40&md5=cf306778b61baa136135bedebf33a5f2","School of Electrical Engineering, Vellore Institute of Technology, Vellore, 632014, India","Reddy, K.J., School of Electrical Engineering, Vellore Institute of Technology, Vellore, 632014, India; Sudhakar, N., School of Electrical Engineering, Vellore Institute of Technology, Vellore, 632014, India","Due to the more vigorous regulations on carbon gas emissions and fuel economy, Fuel cell electric vehicles (FCEV) are becoming more popular in the automobile industry. This paper presents a neural network-based maximum power point tracking (MPPT) controller for 1.26-kW proton exchange membrane fuel cell (PEMFC), supplying electric vehicle powertrain through a high voltage-gain DC-DC boost converter. The proposed neural network MPPT controller uses a radial basis function network (RBFN) algorithm for tracking the maximum power point of the PEMFC. High switching-frequency and high voltage-gain DC-DC converters are essential for the propulsion of FCEV. In order to attain high voltage-gain, a three-phase high voltage-gain interleaved boost converter is also designed for FCEV system. The interleaving technique reduces the input current ripple and voltage stress on the power semiconductor devices. The performance analysis of the FCEV system with RBFN-based MPPT controller is compared with the fuzzy logic controller in MATLAB/Simulink platform. © 2018 IEEE.","Fuel cell electric vehicle; High voltage gain IBC; MPPT; PEMFC; RBFN","Automotive industry; Carbon; Controllers; DC motors; DC-DC converters; Electric inverters; Electric motors; Electric switches; Electric vehicles; Fuel cells; Fuel economy; Fuzzy logic; Gain measurement; Gas emissions; HVDC power transmission; Maximum power point trackers; Permanent magnets; Power converters; Proton exchange membrane fuel cells (PEMFC); Radial basis function networks; Semiconductor devices; Switches; Vehicles; Voltage control; Fuel cell electric vehicle; High switching frequencies; High voltage gain; Interleaved boost converters; Maximum power point tracking controller (MPPT); Permanent magnet motor; Radial basis function Networks (RBFN); RBFN; Electric machine control","Sudhakar, N.; School of Electrical Engineering, Vellore Institute of TechnologyIndia; email: nsudhakar@vit.ac.in",,"Institute of Electrical and Electronics Engineers Inc.",21693536,,,,"English","IEEE Access",Article,,Scopus,2-s2.0-85040026477
"Kalpana S., Chandramathi S.","57188721246;55874038700;","Authentication based on blind signature and ring signature algorithms during vertical handover in heterogeneous wireless networks",2017,"Cluster Computing",,,,"1","11",,,"10.1007/s10586-017-1549-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039551477&doi=10.1007%2fs10586-017-1549-1&partnerID=40&md5=80f12bb638601c27d9c4508345192c32","Department of Information Technology, Sri Krishna College of Engineering and Technology, Coimbatore, Tamil Nadu  641008, India; Department of Electronics and Communication Engineering, SNS College of Technology, Coimbatore, Tamil Nadu, India","Kalpana, S., Department of Information Technology, Sri Krishna College of Engineering and Technology, Coimbatore, Tamil Nadu  641008, India; Chandramathi, S., Department of Electronics and Communication Engineering, SNS College of Technology, Coimbatore, Tamil Nadu, India","In the present 4G era, with the help of vertical handover (VHO), mobility and handover management are handled effectively across heterogeneous network as seamless and ubiquitous connections. The decision making process of VHO selects the best optimal access point. The research proposes a three tier model for handover and proposes two authentication algorithms, based on blind and ring signature, used during execution of VHO. The VHO model is developed in such a way that multiple parameters are used in every stage which includes selection of candidate networks during discovery, mathematical based decision making and authenticated execution. The network system allows the connections to be switched fairly without break or loss of QoS by properly combining the handover execution with a fair authentication procedure. This reduces unfairness and repudiation coming from distrusted network users. Our proposed model ensures continuous quality service through VHO bringing the solution in terms of correctness and efficiency. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Authentication; Blind signature; Heterogeneous; Ring signature; Standard deviation","Cryptography; Decision making; Heterogeneous networks; Radio systems; Wireless networks; Authentication algorithm; Blind signatures; Decision making process; Heterogeneous; Heterogeneous wireless network; Optimal access points; Ring signatures; Standard deviation; Authentication","Kalpana, S.; Department of Information Technology, Sri Krishna College of Engineering and TechnologyIndia; email: kalpana.skcet@gmail.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85039551477
"Bhatt P., Sarangi S., Pappula S.","57202290455;55633353700;6505567619;","Comparison of CNN models for application in crop health assessment with participatory sensing",2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings","2017-January",,,"1","7",,,"10.1109/GHTC.2017.8239295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047742285&doi=10.1109%2fGHTC.2017.8239295&partnerID=40&md5=af5150c79939ad48986e19dbcbde29a6","TCS Research and Innovation, Mumbai, India","Bhatt, P., TCS Research and Innovation, Mumbai, India; Sarangi, S., TCS Research and Innovation, Mumbai, India; Pappula, S., TCS Research and Innovation, Mumbai, India","Timely and robust diagnosis of plant diseases and nutrient deficiencies play a major role in management of crop yield. Automation is a low cost alternative to human experts and can help to detect early onset of crop diseases which aids faster decision making and in giving recommendations to farmers to curb yield loss. We have developed a smart-phone based participatory sensing application for agriculture which is used by farmers to scout their fields for events of interest, especially those related to crop health. Recently, deep convolutional neural networks (CNN) have emerged as a prominent technique in computer vision related challenges and such deep-learning based models could prove as an important tool to do just-in-time assessment of crop health. With a view to building state-of-the-art diagnostic capabilities on the phone, we present analysis of CNN models in terms of accuracy, memory, and inference time. Effects of change in hyperparameters have been evaluated in terms of accuracy. The trained model gives 99.7% classification accuracy with satisfactory inference time and model size which assures the application of CNN architectures for real-time crop state diagnosis on a large scale with limited hardware capabilities. © 2017 IEEE.",,"Computer aided diagnosis; Decision making; Deep neural networks; Human computer interaction; Neural networks; Smartphones; Telephone sets; Classification accuracy; Deep convolutional neural networks; Health assessments; Learning Based Models; Nutrient deficiency; Participatory Sensing; Participatory sensing applications; State of the art; Crops",,,"Institute of Electrical and Electronics Engineers Inc.",,9781509060467,,,"English","GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047742285
"Dhivya R., Prakash R.","57200013747;57192555671;","Edge detection of satellite image using fuzzy logic",2017,"Cluster Computing",,,,"1","8",,,"10.1007/s10586-017-1508-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038869971&doi=10.1007%2fs10586-017-1508-x&partnerID=40&md5=e14bb2f284d64a597b74402f61d94624","Kingston Engineering College, Vellore, Tamilnadu, India; Vivekananda College of Engineering for Women, Tiruchengode, Tamil Nadu, India","Dhivya, R., Kingston Engineering College, Vellore, Tamilnadu, India; Prakash, R., Vivekananda College of Engineering for Women, Tiruchengode, Tamil Nadu, India","Edge detection plays an important role in the field of image processing. Various edge detection techniques are obtained like Sobel, PSO Preweitt, Laplacian and Laplacian of Gaussian. These techniques consume some restrictions such as fixed edge thickness and some parameter like threshold is problematic to implement. Although many different edge-detection methods have been proposed for gray-scale, color, and multispectral images, they still face difficulties when extracting edge features from hyperspectral images (HSIs) that contain a large number of bands with very narrow gap in the spectral domain. High performance computing (HPC) is a technique used to assemble process and analyze more quantity of remote sensing (satellite) data which needs less processing time. HPC method is used in distributed & cluster Computing, parallel computing and following satellite data analyzing & processing approaches like geo-referencing, image edge detection, image classification, image mosaicking, Morphological/neural approach and image fusion for hyperspectral satellite data. Stimulated by means of the specific clustering of theory called gravitational theory, an original edge detection process. The conservative methods include the usage of linear time invariant filters. Recognition of edge is done by these filters as a These filters recognize an edge as a sudden conversion of grey scale pixel intensity. These techniques are well recognized and computationally effective. Canny, Sobel, Robert, Kirsch, Prewitt and LOG, on idea of spatial differential filters by using local grade. Within the less time these filters process the data and are inclined to noise. But in fuzzy technique, it does not include like this restriction, by altering the rules and output parameters, it is possible to change the thickness of the edge. In this paper, a new technique is created on fuzzy logic, which is suggested for detection of edge in digital images deprived of finding the threshold value. This method starts through segmenting the images into sections by means of fluctuating 3 (Formula presented.) 3 binary matrixes. The pixels of edge are planned to a range of standards separated from each other. The results of this proposed technique is compared with the results obtained from PSO and neural network methods. This suggested technique provides a permanent effect in the lines smoothness and straightness for the straight lines and good roundness for the curved lines. And sharpness in the curves. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Fuzzy logic; High performance computing; Hyperspectral images; Neural edge detection; PSO","Cluster computing; Computation theory; Computer circuits; Data fusion; Distributed computer systems; Edge detection; Fuzzy logic; Hyperspectral imaging; Image classification; Image fusion; Laplace transforms; Particle swarm optimization (PSO); Pixels; Remote sensing; Satellites; Spectroscopy; Temporal logic; Edge detection methods; Gravitational theory; High performance computing; High performance computing (HPC); Hyperspectral satellite; Laplacian of Gaussian; Linear time invariant; Neural network method; Image processing","Dhivya, R.; Kingston Engineering CollegeIndia; email: dhivyarohi@gmail.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85038869971
"Sadhukhan A., Ganguly S., Gayen P.K.","57193700874;57193698218;56703054700;","Reduction of harmonics at output of three-phase VSI using PSO based PWM technique",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"104","108",,,"10.1109/ICRCICN.2017.8234489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049031764&doi=10.1109%2fICRCICN.2017.8234489&partnerID=40&md5=24b019870d49af849cad15ba160e5f21","Electrical Engineering Department, Kalyani Government Engineering College, Kalyani, Nadia, West Bengal, India","Sadhukhan, A., Electrical Engineering Department, Kalyani Government Engineering College, Kalyani, Nadia, West Bengal, India; Ganguly, S., Electrical Engineering Department, Kalyani Government Engineering College, Kalyani, Nadia, West Bengal, India; Gayen, P.K., Electrical Engineering Department, Kalyani Government Engineering College, Kalyani, Nadia, West Bengal, India","This paper presents the particle swarm optimization based harmonic elimination pulse width modulation (HEPWM) technique for three-phase voltage source inverter (VSI) to reduce predominant lower order harmonics at its output. The switching strategy of power semiconductor devices of VSI decides the nature of its output voltage. In this regard, the switching strategy can be broadly classified as lower and higher switching frequency pulse width modulation (PWM) methodology. In this paper, lower switching frequency HEPWM is adopted to reduce switching losses in VSI as well as significant lower order harmonics are almost eliminated. For obtaining the required HEPWM waveform, the switching angles are computed using PSO technique so that the THD up to 43rd order harmonics are considered to be minimized at different values of fundamental component. The PIC microcontroller is used to generate HEPWM signals which are applied to the VSI in hardware platform. © 2017 IEEE.","harmonic elimination pulse width modulation; particle swarm optimization; total harmonic distortion; Voltage source inverter","Artificial intelligence; Electric inverters; Harmonic analysis; Pulse width modulation; Semiconductor devices; Switching; Voltage control; Fundamental component; Harmonic elimination; Lower order harmonics; PIC microcontrollers; Switching strategies; Three-phase voltage source inverters; Total harmonic distortion (THD); Voltage source inverter; Particle swarm optimization (PSO)",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049031764
"Iqbal Z., Hussain S., Bazaz M.A.","57201886017;56267562300;35226206400;","Fuzzy tuned PID controller for power system stability",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"1379","1384",,,"10.1109/CCAA.2017.8230056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046360769&doi=10.1109%2fCCAA.2017.8230056&partnerID=40&md5=0dc2fc858318aa509c7de52d10c5d646","Dept. of Electrical Engineering, NITJandK, India","Iqbal, Z., Dept. of Electrical Engineering, NITJandK, India; Hussain, S., Dept. of Electrical Engineering, NITJandK, India; Bazaz, M.A., Dept. of Electrical Engineering, NITJandK, India","This paper introduces a hybrid fuzzy based PID controller to improve the performance of power system stabilization. The inadequately damped electromechanical motions in power frameworks has been an issue to power engineers for quite a while. This restrains the ability of transfer of power in transmission lines and further incites worry in the mechanical shaft of machine. Owing to large scale interconnections and structured complexity of power systems, some disturbances arise which result in poorly damped low-frequency oscillations that don't damp out with time and at some occasions system is shaken out of equilibrium. The dynamics of this framework is additionally influenced by these oscillations at low frequency. The oscillations can be reduced and in turn the stability can be increased by proper design of controllers. The oscillations can be diminished and thus the solidness can be expanded by appropriate outline of controllers. The essential element of the proposed approach is plan of a fuzzy based PID controller (FPID) that uses a rearranged configuration. FPID controller, which exploits the properties of fuzzy PI and PD controllers, is proposed. This approach doesn't require exact learning of plant's characteristics for execution of the controller. The performance when compared with the conventional controllers, the results of fuzzy controller are quite encouraging and satisfactory. © 2017 IEEE.","A VR; FPID; Fuzzy logic; PID; PSS","Controllers; Electric control equipment; Electric power system stability; Fuzzy logic; Proportional control systems; Three term control systems; Water craft; A VR; Conventional controllers; FPID; Fuzzy tuned pid controllers; Large-scale interconnections; Low frequency oscillations; Power system stability; Power system stabilization; Electric power system control",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046360769
"Shukla P., Abhishek, Verma S.","57201289714;57201289864;55807466700;","A compact fuzzy rule interpretation of SVM classifier for medical whole slide images",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"1588","1592",,,"10.1109/TENCON.2017.8228110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044203160&doi=10.1109%2fTENCON.2017.8228110&partnerID=40&md5=dea8fdd5ad4ff74469dea2d67268e607","Department of IT, Indian Institute of Information Technology, Allahabad, U.P., 211012, India","Shukla, P., Department of IT, Indian Institute of Information Technology, Allahabad, U.P., 211012, India; Abhishek, Department of IT, Indian Institute of Information Technology, Allahabad, U.P., 211012, India; Verma, S., Department of IT, Indian Institute of Information Technology, Allahabad, U.P., 211012, India","In this paper, we address the lack of interpretability of Support Vector Machine (SVM) via rules based on support vectors. The lack of intuitive explanation of the rules in the domain of medical whole slide image classification by determining a reduced subset of Scale-Invariant Feature Transform (SIFT) features and linear dimensionality reduction. This reduced subset of SIFT features that participate in decision making provide an intuitive interpretation of the decision rules via a visual presentation of the features in a slide image. In our work, we have taken whole-slide images of sentinel lymph node to predict the presence of cancer using SVM and developed an equivalent Fuzzy model for better interpretability. The SVM model consisted of 50 support vectors which achieved an accuracy of 94.59%. A two IF-THEN rules equivalent Fuzzy Rule Based Model (FRBS) was created using all 50 support vectors which classified each WSI in either {-1, 1} class for non-cancerous and cancerous respectively. FRBS achieved 91.89% accuracy which shows that it is able to represent SVM working accurately in a human interpretable way. © 2017 IEEE.",,"Decision making; Equivalence classes; Fuzzy inference; Fuzzy rules; Image classification; Mathematical transformations; Medical imaging; Vectors; Fuzzy rule-based models; Interpretability; Linear dimensionality reduction; Scale invariant feature transforms; Sentinel lymph nodes; SVM classifiers; Visual presentation; Whole slide images; Support vector machines",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044203160
"Thakre K., Mohanty K.B., Kommukuri V., Mishra R.N.","57193700991;23995351400;57192915928;56539254700;","Symmetrical and asymmetrical multilevel inverter using less number of switches",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"1032","1036",,,"10.1109/TENCON.2017.8228009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044236860&doi=10.1109%2fTENCON.2017.8228009&partnerID=40&md5=5166a8b77352d1c0926618157d3f0dc0","Department of Electrical Engineering, National Institute of Technology Rourkela, Odisha, India","Thakre, K., Department of Electrical Engineering, National Institute of Technology Rourkela, Odisha, India; Mohanty, K.B., Department of Electrical Engineering, National Institute of Technology Rourkela, Odisha, India; Kommukuri, V., Department of Electrical Engineering, National Institute of Technology Rourkela, Odisha, India; Mishra, R.N., Department of Electrical Engineering, National Institute of Technology Rourkela, Odisha, India","This paper presents a design and implantation of a modified topology for multilevel inverter (MLI). The proposed topology can be utilized in both symmetrical and asymmetrical source configuration. The proposed topology composed of cascaded basic module with H-bridge. The proposed concept is compared with conventional and some recent topologies. As a results proposed topology required less number of power electronics switches, which lead to reduction in size and cost of the circuit. Carrier based pulse width modulation control method is developed to achieve switching signals. The performance and operation of proposed topology is verified through simulation study through MATLAB/Simulink and validated experimentally for 11-level and 15-level inverter. © 2017 IEEE.","carrier based pulse width modulation; less number of switches; MLI topology","Bridge circuits; MATLAB; Modulation; Pulse width modulation; Topology; Voltage control; H-bridges; MATLAB /simulink; Multi Level Inverter (MLI); Multilevel inverter; Number of switches; Pulse width modulation control method; Simulation studies; Switching signals; Electric inverters","Thakre, K.; Department of Electrical Engineering, National Institute of Technology RourkelaIndia; email: thakrekishor26@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044236860
"Priyadarshi A., Kar P.K., Karanki S.B.","57113303300;57201757298;36499267700;","An inductor-less bidirectional DC-DC converter topology for high voltage gain applications",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"303","308",,,"10.1109/TENCON.2017.8227880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044199496&doi=10.1109%2fTENCON.2017.8227880&partnerID=40&md5=b7401b6ef65f279efa271c68fe844b15","School of Electrical Sciences, Indian Institute of Technology, Bhubaneswar, India","Priyadarshi, A., School of Electrical Sciences, Indian Institute of Technology, Bhubaneswar, India; Kar, P.K., School of Electrical Sciences, Indian Institute of Technology, Bhubaneswar, India; Karanki, S.B., School of Electrical Sciences, Indian Institute of Technology, Bhubaneswar, India","Many applications, such as residential grid-connected photovoltaic (PV) system, fuel cells, thermoelectric generators (TEG), and high intensity discharge (HID) lamp ballast used in automotive systems, require high step-up dc-dc converters. In this paper an inductor-less, bidirectional, high step-up dc-dc converter topology is proposed. At high temperature, performance of magnetic components degrades severely. The proposed converter does not possess any inductor or magnetic element, which makes it suitable for high temperature applications. Furthermore, the proposed converter has bidirectional power flow capability, which is an essential requirement for residential grid-connected PV system with battery storage. The proposed converter possesses relatively lower number of components and has lower voltage stress across switches and capacitors as compare to other existing switched capacitors (SC) converters. A comparative analysis of the proposed converter with some popular existing SC converters is presented in this paper. A user friendly, inductor-less, multi voltage gain boost converter has been designed and tested in OrCAD PSpice environment. Finally, simulation results are presented to validate the performance of the proposed converter. © 2017 IEEE.","bidirectional; High gain converter; inductor-less; switched capacitor (SC)","Battery storage; Electric inductors; Electric inverters; Electric load flow; Fuel cells; Gain measurement; High temperature applications; Housing; HVDC power transmission; Thermoelectric equipment; Topology; Bi-directional power flows; bidirectional; Bidirectional DC-DC converters; Grid-connected photovoltaic system; High intensity discharge lamps; High-gain converters; inductor-less; Switched capacitor; DC-DC converters",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044199496
"Kumar A., Kumar V.","57195753455;57202540941;","Artificial bee colony based design of the interval type-2 fuzzy PID controller for robot manipulator",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"602","607",,,"10.1109/TENCON.2017.8227933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044223282&doi=10.1109%2fTENCON.2017.8227933&partnerID=40&md5=b42d3f828af40116f8ad7f4e319dbe42","Electronics and Communication Engineering Indian Institute of Technology, Roorkee, India","Kumar, A., Electronics and Communication Engineering Indian Institute of Technology, Roorkee, India; Kumar, V., Electronics and Communication Engineering Indian Institute of Technology, Roorkee, India","The robot manipulators are an extremely nonlinear MIMO and highly coupled system. Further, the performances of the controlled systems are adversely affected by the existence of model uncertainties and disturbances. Therefore, the controller design for robotic systems is a difficult task for controller developer. In this paper, a novel application of the artificial bee colony (ABC) algorithm to optimize the antecedent MFs of interval type-2 fuzzy PID controller (IT2FPID) is proposed for robot manipulators for trajectory tracking problem. In order to show a fair comparison, the tuning of controllers parameter is done with ABC optimization techniques. For investigating the effectiveness, the robustness analysis is also investigated for model uncertainties and disturbance rejections. After simulations studies and comparison with conventional controllers, it is found that IT2FPID controller can not only guarantee best trajectory tracking but also improve the system robustness for model uncertainties and disturbance rejection. © 2017 IEEE.","Fuzzy logic controller; IT2FPID controller; Robot manipulator; Robustness testing","Controllers; Disturbance rejection; Electric control equipment; Flexible manipulators; Fuzzy logic; Industrial robots; Machine design; Modular robots; Optimization; Proportional control systems; Robot applications; Robots; Three term control systems; Uncertainty analysis; Artificial bee colonies; Artificial bee colony algorithms (ABC); Conventional controllers; Fuzzy logic controllers; Interval type-2 fuzzy; Robot manipulator; Robustness testing; Trajectory tracking problems; Manipulators",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044223282
