Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Jayarajan P., Maheswar R., Kanagachidambaresan G.R.","57200100351;48662436400;54787714400;","Modified energy minimization scheme using queue threshold based on priority queueing model",2017,"Cluster Computing",,,,"1","8",,1,"10.1007/s10586-017-1564-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039544513&doi=10.1007%2fs10586-017-1564-2&partnerID=40&md5=18ce0cbea441ce4ffb45c6fe9896bbce","Department of ECE, Sri Krishna College of Technology, Coimbatore, India; Department of CSE, Veltech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India","Jayarajan, P., Department of ECE, Sri Krishna College of Technology, Coimbatore, India; Maheswar, R., Department of ECE, Sri Krishna College of Technology, Coimbatore, India; Kanagachidambaresan, G.R., Department of CSE, Veltech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India","A wireless sensor network (WSN) is a group of specialized sensor nodes with a communication infrastructure intended to monitor and record conditions at diverse locations. The critical issue in WSNs is represented by the limited availability of energy within the network and hence optimizing energy consumption is very important. One important existing technique used to prolong the network lifetime of WSN is the Energy Minimization Scheme (EMS) using N-Policy Model (NPM) based on queue threshold but this technique increases mean delay. This paper proposes a Modified Energy Minimization Scheme (MEMS) which reduces the mean delay and average energy consumption of individual nodes in the cluster based heterogeneous sensor network using queue threshold based on M/D/1 Priority Queueing Model (PQM) in order to prolong the network lifetime. The expression for the optimal value of queue threshold for which the node consumes minimum energy using PQM is also derived. Results show that the mean delay is highly reduced in PQM when compared to the NPM and the trade-off exist between the average energy consumption and mean delay is explored. We perform simulations and the results obtained show that the simulation results match with the analytical results thus validating the accuracy of the approach. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Energy; Mean delay; NPM; PQM; Queue threshold","Economic and social effects; Energy utilization; Queueing theory; Sensor nodes; Analytical results; Communication infrastructure; Diverse locations; Energy; Energy minimization; Heterogeneous sensor networks; Mean delays; Queue threshold; Wireless sensor networks","Jayarajan, P.; Department of ECE, Sri Krishna College of TechnologyIndia; email: pjayarajan@gmail.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85039544513
"Joshitha K.L., Jayashri S.","56565651300;6506704227;","Performance analysis for lifetime improvement of a regression based clustered network through cluster member allocation and secondary cluster head selection in a distributed WSN",2017,"Cluster Computing",,,,"1","10",,,"10.1007/s10586-017-1592-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039556715&doi=10.1007%2fs10586-017-1592-y&partnerID=40&md5=a35020ec4a30b3eadcc9fd80285ae2e2","Sri Sairam Engineering College, Chennai, India; Adhiparasakthi Engineering College, Melmaruvathur, India","Joshitha, K.L., Sri Sairam Engineering College, Chennai, India; Jayashri, S., Adhiparasakthi Engineering College, Melmaruvathur, India","Emerging boundless applications of the wireless sensor network considers the coverage as the biggest issue in yielding a good quality of service. The term coverage is strongly correlated with the Lifetime of the network. Improving the network lifetime therefore enhances the sensing task of any network. The work takes up two techniques for improving the lifetime of the linear iterative regression based clustered network. As the energy of the cluster head drains below a threshold due to the traffic carried, the cluster member of the dead heading node can be allocated to some existing eligible cluster heads in the network so that the data sensed by these nodes can still be communicated to the sink. Alternately the allocation of secondary cluster head can be done for the aggregation of data which serves for improvement in lifetime of the network. With exhaustive simulation and evaluated results the performance of the two schemes are compared using throughput, Network lifetime and residual energy and it shows that the secondary cluster head allocation scheme is better in performance improvement of the network with the lifetime improvement of 22.8% and throughput improvement of 18.6% as compared to that of the cluster member allocation scheme. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Cluster head; Cluster member; Clustered network; Network coverage; Network lifetime; Residual energy; Throughput","Iterative methods; Quality of service; Sensor nodes; Throughput; Cluster head; Cluster member; Clustered networks; Network coverage; Network lifetime; Residual energy; Wireless sensor networks","Joshitha, K.L.; Sri Sairam Engineering CollegeIndia; email: lakshmijoshitha@yahoo.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85039556715
"Li X., Ibrahim M.H., Kumari S., Sangaiah A.K., Gupta V., Choo K.-K.R.","36509118600;8969648800;48361454000;55616335800;56975755000;8716262400;","Anonymous mutual authentication and key agreement scheme for wearable sensors in wireless body area networks",2017,"Computer Networks","129",,,"429","443",,36,"10.1016/j.comnet.2017.03.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016030664&doi=10.1016%2fj.comnet.2017.03.013&partnerID=40&md5=a78c444c29a38c668d9abf3cc54f5aba","School of Computer science and Engineering, Hunan University of Science and Technology, Xiangtan, 411201, China; Department of Electronics, Communication & Computers, Faculty of Engineering, Helwan University, Helwan, P.O.11792, Cairo, Egypt; Department of Mathematics, Ch. Charan Singh University, Meerut 250 005, Uttar Pradesh, India; School of Computer science and Engineering, VIT University, Vellore-632014, Tamilnadu, India; Department of Computer Science, NSIT, University of DelhiNew Delhi, India; Department of Information Systems and Cyber Security, University of Texas at San Antonio, San Antonio, Texas, United States","Li, X., School of Computer science and Engineering, Hunan University of Science and Technology, Xiangtan, 411201, China; Ibrahim, M.H., Department of Electronics, Communication & Computers, Faculty of Engineering, Helwan University, Helwan, P.O.11792, Cairo, Egypt; Kumari, S., Department of Mathematics, Ch. Charan Singh University, Meerut 250 005, Uttar Pradesh, India; Sangaiah, A.K., School of Computer science and Engineering, VIT University, Vellore-632014, Tamilnadu, India; Gupta, V., Department of Computer Science, NSIT, University of DelhiNew Delhi, India; Choo, K.-K.R., Department of Information Systems and Cyber Security, University of Texas at San Antonio, San Antonio, Texas, United States","Wireless body area networks (WBANs) are used to collect and exchange vital and sensitive information about the physical conditions of patients. Due to the openness and mobility of such networks, even without knowing the context of the exchanged data or linking traffic to the identities of involved sensors, criminals are able to gain useful information about the severe conditions of patients and carry effective undetectable physical attacks. Therefore, confidentiality and mutual authentication services are essential for WBANs, and the transmission must be anonymous and unlinkable as well. Given the limitations of the resources available for these sensors, a lightweight anonymous mutual authentication and key agreement scheme for centralized two-hop WBANs is proposed in this paper, which allows sensor nodes attached to the patient's body to authenticate with the local server/hub node and establish a session key in an anonymous and unlinkable manner. The security of our scheme is proved by rigorous formal proof using BAN logic and also through informal analysis. Besides, the security of our scheme is evaluated by using the Automated Validation of Internet Security Protocols and Applications (AVISPA) as well. Finally, we compare our proposed scheme with other related schemes and the comparison results show that our scheme outperforms previously related schemes. © 2017 Elsevier B.V.","Anonymity; AVISPA; Healthcare; Mutual authentication; WBAN; Wearable sensors","Authentication; Health care; Network security; Patient monitoring; Sensor nodes; Wearable technology; Wireless local area networks (WLAN); Wireless networks; Anonymity; AVISPA; Internet security; Mutual authentication; Physical conditions; Sensitive informations; WBAN; Wireless body area network; Wearable sensors","Li, X.; School of Computer science and Engineering, Hunan University of Science and Technology, Xiangtan, 411201, China; email: lixiongzhq@163.com",,"Elsevier B.V.",13891286,,CNETD,,"English","Comput. Networks",Article,,Scopus,2-s2.0-85016030664
"Rekha P., Rangan V.P., Ramesh M.V., Nibi K.V.","57202326772;55493104700;55411983300;57140660000;","High yield groundnut agronomy: An IoT based precision farming framework",2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings","2017-January",,,"1","5",,1,"10.1109/GHTC.2017.8239287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047739596&doi=10.1109%2fGHTC.2017.8239287&partnerID=40&md5=0bca907b6083cbff31d7155b7125f89c","Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","Rekha, P., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Rangan, V.P., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Ramesh, M.V., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Nibi, K.V., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","Agriculture is one of the main needs for human to survive. Agriculture has to tackle many problems like changing climate, water shortage, changing soil quality, etc. Due to the increasing demand for cereals and other crops for daily usage by the consumers there is a need for smarter implementation of irrigation and also develop farming methods that alter the basic eco systems and is less harmful to other creatures. India is one of highest crop producing countries all over the world. At the same time, India is facing the challenge of farmers committing suicide because of crop failure and debt. Most of the land in India is still being used for agriculture purposes. Still there exists several places that uses very primitive methods for irrigation, fertilization etc. This leads to the reduction in the crop yield and eventually less income for the farmers. This paper discusses the design and development of an IoT framework that helps farmers to improvise their methods of farming and also make the best use of their land for a better yield and income. The major goal of this IoT framework is to sense agriculture characteristics and advice farmers to properly grow and treat the crops. The system deploys a group of wireless sensor networks nodes deployed in the field for sensing agricultural parameters and the RF communication of WSN node is used to transmit the measured data to base station. Base station is connected to a decision support system. Based on the sensed parameters and the optimum values, the decision support system will generate an appropriate message for farmers. By using the collected data from the sensors, the proposed system will provide suggestions about the monitoring crop such as irrigation timings, directions for optimum usage of fertilizers etc. in accordance to the farmers' lands. An android application has been designed to deliver the messages to farmers in their regional language. The android app also gives information regarding the weather forecast and precaution to be taken based on the weather forecast. © 2017 IEEE.","Agriculture; Automation; IoT; Precision Farming; Smart Irrigation; Wireless Sensor Networks","Agriculture; Android (operating system); Artificial intelligence; Automation; Base stations; Crops; Decision support systems; Internet of things; Irrigation; Sensor nodes; Wireless sensor networks; Android applications; Changing climate; Design and Development; Iot frameworks; Optimum value; Precision farming; RF communication; Water shortages; Weather forecasting",,,"Institute of Electrical and Electronics Engineers Inc.",,9781509060467,,,"English","GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047739596
"Menon G.S., Ramesh M.V., Divya P.","57202278872;55411983300;56430791100;","A low cost wireless sensor network for water quality monitoring in natural water bodies",2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings","2017-January",,,"1","8",,,"10.1109/GHTC.2017.8239341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047732894&doi=10.1109%2fGHTC.2017.8239341&partnerID=40&md5=eb95bc5c447ae0ca5b88cd982f0356d3","Centre for Wireless Networks and Application (WNA), Amrita University, Amritapuri, India","Menon, G.S., Centre for Wireless Networks and Application (WNA), Amrita University, Amritapuri, India; Ramesh, M.V., Centre for Wireless Networks and Application (WNA), Amrita University, Amritapuri, India; Divya, P., Centre for Wireless Networks and Application (WNA), Amrita University, Amritapuri, India","Water is one of the precious factors in human life. It plays a vital role in the survival and existence of flora and fauna. But, now a days it is been exploited heavily by dumping of human waste, industrial and chemical waste in to the water bodies which is the resultant of water being contaminated with toxic chemicals. Water scarcity and water contamination has been one of the major issues faced by the society around the world. In many developing countries like India, the main focus is given to industrialization and urbanization. But this has caused an increased water usage and water contamination. This paper deals with the monitoring of water quality by mainly considering the physical and chemical properties of water. For this purpose, a Wireless Sensor node is designed which will contain several sensors to sense the chemical contents of water. The highlight of sensor node is that it is water proof. The main components of WSN include microcontroller for processing the system, communication system for inter and intra node communication and several sensors. The power for the sensor nodes are obtained from the solar panels connected to the sensor nodes. Though, in earlier times, there were water quality monitoring systems, they were power hungry and not real time. Apart from acting as a single system, if this system integrates with other innovative solutions like Smart Home or Smart Building, the application of this system would increase leading to an increased demand for it. This paper highlights on how a real time monitoring system can be made generic, using Network Virtualization. Also, new technologies like Internet of Things (IoT) could be incorporated in this system to make it advanced. © 2017 IEEE.","Low cost; Quality Monitoring; Water Quality; WSN","Automation; Developing countries; Indicators (chemical); Industrial chemicals; Intelligent buildings; Internet of things; Real time systems; Sensor nodes; Water pollution; Water quality; Internet of Things (IOT); Intra-node communication; Low costs; Physical and chemical properties; Quality monitoring; Real time monitoring system; Water quality monitoring; Water quality monitoring systems; Monitoring",,,"Institute of Electrical and Electronics Engineers Inc.",,9781509060467,,,"English","GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047732894
"Selvakumar K., Arieth R.M.","24068114900;57200015939;","Contrast for QOS based clustered energy efficient protocol with PSO and multi-hop gateways in wireless sensor network",2017,"Cluster Computing",,,,"1","8",,,"10.1007/s10586-017-1506-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038855020&doi=10.1007%2fs10586-017-1506-z&partnerID=40&md5=d0e79c0d5db07f35f06afa6af7efa4fc","Department of Information Technology, Annamalai University, Chidambaram, India; Department of Computer Science and Engineering, Annamalai University, Chidambaram, India","Selvakumar, K., Department of Information Technology, Annamalai University, Chidambaram, India; Arieth, R.M., Department of Computer Science and Engineering, Annamalai University, Chidambaram, India","Wireless sensor network is an emerging technology capable of having low-cost and low-power and battery-powered sensor node. At this point the protocol concentric clustered power-efficient gathering in sensor information systems and clustered general self organized tree based energy-balance routing protocol energy efficient protocol are used to increase the energy and to extend network lifetime. For these achievement of clustering techniques, optimization technique particle swarm optimization is used for data transmission through base station. If the base station is inaccessible region from the cluster-head, energy consumption will be augmented and it can shrink the lifetime of wireless sensor network. To conquer these, multi-hop gateway node is implemented with both protocol to achieve maximum lifetime and energy efficiency of wireless sensor network. To improve the quality-of-service (QoS) placing more number of gateways is required. So we propose a new algorithm nearer optimal algorithm which recursively computes least possible adequate dominating sets, at the time constantly preserving QoS requirements across iterations. In this paper comparison is done in terms of throughput, packets delivery ratio and number of nodes alive. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Concentric cluster; Network life time; PEGASIS protocol; Self-organized tree; Wireless sensor networks","Base stations; Energy efficiency; Energy utilization; Internet protocols; Low power electronics; Optimization; Particle swarm optimization (PSO); Power management (telecommunication); Quality of service; Sensor nodes; Wireless sensor networks; Concentric cluster; Emerging technologies; Energy efficient protocols; Network life time; Optimization techniques; PEGASIS; Self-organized tree; Sensor Information Systems; Gateways (computer networks)","Arieth, R.M.; Department of Computer Science and Engineering, Annamalai UniversityIndia; email: madonnamsit@yahoo.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85038855020
"Jeba Malar A.C., Kousalya G., Ma M.","57200013332;56032158800;7202444897;","Markovian model based indoor location tracking for Internet of Things (IoT) applications",2017,"Cluster Computing",,,,"1","8",,,"10.1007/s10586-017-1494-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038826439&doi=10.1007%2fs10586-017-1494-z&partnerID=40&md5=a17bd5dfdf2acffc54e6095f9f43ea9a","Department of Information Technology, Sri Krishna College of Technology, Coimbatore, 641 042, India; Department of CSE, Coimbatore Institute of Technology, Coimbatore, 641 014, India; School of Electrical and Electronic Engineering, Nanyang Technological University, Nanyang Avenue, Singapore, 639798, Singapore","Jeba Malar, A.C., Department of Information Technology, Sri Krishna College of Technology, Coimbatore, 641 042, India; Kousalya, G., Department of CSE, Coimbatore Institute of Technology, Coimbatore, 641 014, India; Ma, M., School of Electrical and Electronic Engineering, Nanyang Technological University, Nanyang Avenue, Singapore, 639798, Singapore","The monitoring of personnel movements, package tracking and other constructional material based tracking is a top concern in pervasive smart environment. Wireless sensor network (WSN) has given its own individuality in tracking scenario. The challenges faced in this paper deals about an effective 2-dimensional movable system tracking and finding the possible prediction of its exact location of the object in the sensing area. An indoor based WSN with wireless sensor nodes has been created, in which RSSI based location sensing methodology is used. The sensing area is classified as shells and the movement of the node is judged with markov model. The proposed algorithm is tested with various speed conditions suitable for IoT applications. Real study shows the effectiveness of the proposed two dimensional algorithms. The obtained results show minimal location error and accurate location of the object. The proposed methodology serves as the better solution for IoT applications. The proposed algorithm outperforms the existing algorithm with reduced error rate and computing iterations or complexity. A cloud enabled IoT based application is developed to location the elderly and post-surgical people. The developed application serves as a better solution for monitoring the elderly people inside the smart home environment without disturbing their privacy. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Location sensing; Pervasive computing; Receiver signal strength indicator (RSSI); Wireless sensor network(WSN)","Automation; Intelligent buildings; Location; Markov processes; Sensor nodes; Signal receivers; Tracking (position); Ubiquitous computing; Wireless sensor networks; Constructional material; Developed applications; Indoor location tracking; Internet of Things (IOT); Location-sensing; Signal strengths; Two-dimensional algorithms; Wireless sensor node; Internet of things","Jeba Malar, A.C.; Department of Information Technology, Sri Krishna College of TechnologyIndia; email: a.christyjebamalar@skct.edu.in",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85038826439
"Tazeen S., Sharma S.","57195544600;56140135900;","Mode-switched grid-based routing for wireless sensor networks",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"464","469",,1,"10.1109/CCAA.2017.8229845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032256392&doi=10.1109%2fCCAA.2017.8229845&partnerID=40&md5=da2e941672f35bece043fa6d37f02509","International Institute of Information Technology, Bhubaneswar, 751003, India","Tazeen, S., International Institute of Information Technology, Bhubaneswar, 751003, India; Sharma, S., International Institute of Information Technology, Bhubaneswar, 751003, India","Several atypical hierarchical routing protocols have been proposed among which grid-based routing protocols are an efficient way of disseminating data towards a mobile sink. The network is partitioned into a virtual equal-sized grids. The proposed protocol, Mode-Switched Grid-based Routing (MSGR) for Wireless Sensor Networks selects one node per grid as the Grid Head. The routing path to the sink is established using Grid Heads. Grid Heads are switched between active and sleep modes alternatively. So, not all Grid Heads take part in the routing process at a time. This saves energy of Grid Heads and improves the network lifetime. The proposed method builds a routing path using each active Grid Head leading towards the sink. The routing path changes only for some Grid Head nodes whenever the mobile sink moves to a different grid. Data are directly transmitted through this path to the sink. © 2017 IEEE.","energy efficiency; Grid Head; grid-based routing; mobile sink; wireless sensor networks","Energy efficiency; Network routing; Routing protocols; Sensor nodes; Wireless sensor networks; Grid Head; Grid-based routing; Grid-based routing protocols; Hierarchical routing protocol; Mobile sinks; Network lifetime; Routing path; Routing process; Power management (telecommunication)",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85032256392
"Mridula K.M., Ameer P.M.","57200047206;13008029700;","Connectivity at wireless network borders under superimposed fading-shadowing effects",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"2041","2046",,,"10.1109/TENCON.2017.8228196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044217345&doi=10.1109%2fTENCON.2017.8228196&partnerID=40&md5=0c473fe3fcc1823f21653e62f4be11e8","Department of Electronics and Communication Engineering, National Institute of Technology, Calicut, India","Mridula, K.M., Department of Electronics and Communication Engineering, National Institute of Technology, Calicut, India; Ameer, P.M., Department of Electronics and Communication Engineering, National Institute of Technology, Calicut, India","Connectivity of wireless sensor network is an important metric that determines the effectiveness of the network. Connectivity at borders is a critical issue in scenarios such as at a boundary between the countries. At the border of a network, connectivity reduces due to the reduction in the total coverage area of the nodes lying on the boundary. This paper presents a model to analyze the connectivity at borders and inner areas, considering the combined effects of fading and shadowing that exist due to the presence of irregularities and obstacles in the environment. Extensive simulation work has been done to validate the analytical results. © 2017 IEEE.","Border effect connectivity; Log-normal shadowing; Mean degree of a node; Poisson point process; Probability of connectivity; Rayleigh fading","Rayleigh fading; Sensor nodes; Wireless networks; Analytical results; Border effects; Combined effect; Degree of a nodes; Extensive simulations; Log-normal shadowing; Poisson point process; Shadowing effects; Wireless sensor networks",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044217345
"Singh V.K., Kumar R., Sahana S.","56900300600;55707347700;55559718600;","To enhance the reliability and energy efficiency of WSN using new clustering approach",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"488","493",,,"10.1109/CCAA.2017.8229849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046357729&doi=10.1109%2fCCAA.2017.8229849&partnerID=40&md5=f91f7bda1dd6b41605becf4cc57dd65c","School of Computing Science and Engineering, Galgotias University, Greater Noida, India","Singh, V.K., School of Computing Science and Engineering, Galgotias University, Greater Noida, India; Kumar, R., School of Computing Science and Engineering, Galgotias University, Greater Noida, India; Sahana, S., School of Computing Science and Engineering, Galgotias University, Greater Noida, India","Wireless sensor network is a set of independent transducers with communication infrastructure for recording and monitoring at different locations. The monitoring parameters are energy, temperature, humidity, pressure, direction and speed of the node in the WSN. The main challenges of WSN are efficiency, scalability, heterogeneity, reliability, robustness, privacy and security. Many researchers are addressing these challenging tasks of WSN but not with both parameters. In this paper, we have proposed to enhance the life of sensor in wireless sensor network which makes it reliable as well as energy efficient using new cluster based approach. The new cluster technique, reliability means to prevent the crashes of cluster head node and energy efficiency means to take care about election of cluster head. © 2017 IEEE.","Backup and Cluster Head; Energy Efficiency; Reliability","Accidents; Reliability; Sensor nodes; Cluster based approach; Cluster head; Cluster-head nodes; Clustering approach; Communication infrastructure; Energy efficient; Monitoring parameters; Privacy and security; Energy efficiency",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046357729
