Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Suganthi K., Malarvizhi S.","57202042151;23991109700;","Millimeter wave CMOS minimum noise amplifier for automotive radars in the frequency band (60–66 GHZ)",2017,"Cluster Computing",,,,"1","10",,,"10.1007/s10586-017-1475-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039053700&doi=10.1007%2fs10586-017-1475-2&partnerID=40&md5=268935a7c663de71b71341a0c7ad7b07","SRM University, Chennai, India","Suganthi, K., SRM University, Chennai, India; Malarvizhi, S., SRM University, Chennai, India","At 60 GHz, millimeter wave circuit design a great gain and small noise figure (NF) is preferable at radio frequency front end. Broad bandwidth is preferred over wireless personal area network and radio detection and ranging. The necessities of a recipient front-end join extraordinary data and yield impedance organizing, high port-to-port separation, low clamor, and high increase over the whole band of intrigue. These requirements are satisfied by the proposed Low-Noise Amplifier design. Conversion gain (S(Formula presented.) of 11.289 dB, NF of 1.819 dB, the stability of 2.167, Bandwidth of 16.5 GHz are achieved. Also, input and output replication factors are S(Formula presented.) = − 12.148 dB and S(Formula presented.) = − 12.238 dB. Impedance matching has finished by transmission lines. Propelled design system has utilized for pre-format and post-format simulation. Low Noise Amplifier is implemented in 180 nm CMOS development. As compared with other traditional strategies the proposed ADS is achieved low power utilization of 7.25 mW from a 1.5 V supply and it accomplishes a voltage achievement of 12 dB, 3-dB bandwidth of 60 GHz. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Advanced design system (ADS); CMOS, CG, Low noise amplifier (LNA); MilliMeter wave (MMW); Noise figure (NF); Radio frequency (RF); Wireless PAN (WPAN)","Amplifiers (electronic); Bandwidth; CMOS integrated circuits; Frequency bands; Integrated circuit design; Microwave circuits; Millimeter waves; Noise figure; Personal communication systems; Printed circuit design; Radio waves; Wireless local area networks (WLAN); Advanced design system; Low noise amplifier designs; Millimeter wave (MMW); Radio detection and ranging; Radio frequencies; Radio frequency front end; Wireless PAN; Wireless personal area networks; Low noise amplifiers","Suganthi, K.; SRM UniversityIndia; email: suganthisrmECE@yahoo.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85039053700
"Dash S.K.K., Khan T., Borthakur M.","56492252100;55189263800;57201799337;","Circularly polarized conical dielectric resonator antenna for X-band applications: An experimental study",2017,"European Microwave Week 2017: ""A Prime Year for a Prime Event"", EuMW 2017 - Conference Proceedings; 47th European Microwave Conference, EuMC 2017","2017-January",,,"1281","1284",,,"10.23919/EuMC.2017.8231085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046535812&doi=10.23919%2fEuMC.2017.8231085&partnerID=40&md5=2f7e81c6f7797a805e3c0f7d30b329f8","Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, Assam, 788010, India","Dash, S.K.K., Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, Assam, 788010, India; Khan, T., Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, Assam, 788010, India; Borthakur, M., Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, Assam, 788010, India","A wideband (WB) and circularly polarized (CP) antenna is modelled, fabricated, and characterized. The wideband antenna comes with a conical dielectric resonator antenna excited by microstrip fed slot coupling mechanism. In addition to this, a set of tapered sheet is suspended on both sides of the feed line up to the WB slot to ensure circular polarization. From authors' point of view this kind of approach for CP is quite new in this domain. This proposed geometry is modelled with commercial finite element solver HFSS v13.0. The measurement results shows a wide band of 11.46 % (over 7.4 GHz-8.3 GHz) and 5.7 dBi peak gain. In addition to this, a circular polarization (AR < 3 dB) of 4.5% bandwidth is obtained over 7.65 GHz-8 GHz. In view of these results, this model satisfies the basic criteria for X-band wireless applications. © 2017 European Microwave Association.",,"Antenna feeders; Bandwidth; Circular polarization; Dielectric resonators; Microwave filters; Slot antennas; Wireless telecommunication systems; Circularly polarized; Circularly polarized antennas; Dielectric resonator antennas; Finite element solver; Microstrip fed; Slot coupling; Wideband antenna; Wireless application; Microwave antennas",,,"Institute of Electrical and Electronics Engineers Inc.",,9782874870477,,,"English","Eur. Microw. Week : ""Prime Year Prime Event"", EuMW - Conf. Proc.; Eur. Microw. Conf., EuMC",Conference Paper,,Scopus,2-s2.0-85046535812
"Varma R., Ghosh J.","57192163979;57194178840;","Dual band double U-slot loaded antenna with ground slot for WiFi and WiMAX applications",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"2920","2922",,,"10.1109/TENCON.2017.8228361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044203447&doi=10.1109%2fTENCON.2017.8228361&partnerID=40&md5=260818f79bd7ade3b37f40d75d3be77c","Department of Electronics and Communication Engineering, National Institute of Technology, Patna, Patna, Bihar, 800005, India","Varma, R., Department of Electronics and Communication Engineering, National Institute of Technology, Patna, Patna, Bihar, 800005, India; Ghosh, J., Department of Electronics and Communication Engineering, National Institute of Technology, Patna, Patna, Bihar, 800005, India","This paper presents a compact dual band rectangular microstrip patch antenna for wireless applications. Dual frequency operation is achieved by inserting a pair of symmetric face-to-face U-slots on a top radiating patch. To increase the bandwidth of the antenna, a rectangular slot is inserted inside a ground plane. In addition to compactness, the embedded slots provide two degrees of freedom for tuning the resonant frequencies independently. The proposed antenna meets the required impedance bandwidth, necessary for WiFi (2.405-2.499 GHz) and WiMAX (3.4670-3.5215 GHz) applications. The corresponding gains are 4.9 dBi and 4.84 dBi, at 2.44 and 3.5 GHz, respectively. Good agreement between the simulation results and measurement results is obtained. © 2017 IEEE.","compact; dual band; microstrip patch antenna; slotted ground; U-slot","Antenna grounds; Bandwidth; Degrees of freedom (mechanics); Electric impedance; Microstrip antennas; Microstrip devices; Microwave antennas; Natural frequencies; Wimax; Wireless local area networks (WLAN); Wireless telecommunication systems; compact; Dual Band; Dual frequency operation; Micro-strip patch antennas; Rectangular microstrip patch; slotted ground; Two degrees of freedom; Wireless application; Slot antennas",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044203447
"Ashitha T., Shahin A., Cheriyan E.P., Ramchand R.","57201290401;24922117000;23007453000;26635891200;","FPGA controlled DSTATCOM under distorted grid condition",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"2594","2599",,,"10.1109/TENCON.2017.8228299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044191347&doi=10.1109%2fTENCON.2017.8228299&partnerID=40&md5=69f9a69acaa25277249569020e61130a","Department of Electrical Engineering, National Institute of Technology, Calicut, 673601, India","Ashitha, T., Department of Electrical Engineering, National Institute of Technology, Calicut, 673601, India; Shahin, A., Department of Electrical Engineering, National Institute of Technology, Calicut, 673601, India; Cheriyan, E.P., Department of Electrical Engineering, National Institute of Technology, Calicut, 673601, India; Ramchand, R., Department of Electrical Engineering, National Institute of Technology, Calicut, 673601, India","This paper presents the role of Distribution Static Synchronous Compensator (DSTATCOM) in the domain of reactive power sharing and harmonics mitigation in distribution systems under distorted grid condition. Extraction of reference current is done using Synchronous Reference Frame (SRF) based strategy which greatly influences the performance of the DSTATCOM. A modified SRF PLL is used for unit vector construction for a three phase three wire DSTATCOM under distorted supply voltage condition. Hardware resources of Field Programmable Gate Array (FPGA) are configured to implement the controller. Fixed point modelling of whole controller is done using system generator compatible with MATLAB/SIMULINK. Here the schematic is directly converted to Hardware Description Language (HDL) and then programmed into FPGA. Experimental validation of the controller is done using WAVECT control and measurement unit. © 2017 IEEE.","DSTATCOM; FPGA; SRF PLL; System generator","Computer hardware description languages; Controllers; Field programmable gate arrays (FPGA); Hardware; MATLAB; Phase locked loops; Units of measurement; Control and measurement; Distribution static synchronous compensators; DSTATCOM; Experimental validations; Hardware description languages (HDL); Srf-pll; Synchronous reference frame; System Generator; Static synchronous compensators",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044191347
"Chauhan S.S., Abegaonkar M.P., Basu A.","57201883257;6602534932;56023912300;","Millimeter wave frequency scanning antenna for body centric communication",2017,"2017 International Symposium on Antennas and Propagation, ISAP 2017","2017-January",,,"1","2",,,"10.1109/ISANP.2017.8228931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046366723&doi=10.1109%2fISANP.2017.8228931&partnerID=40&md5=de2b7b85f47af9dc62756e51155cbf8f","Centre for Applied Research in Electronics (CARE), Indian Institute of Technology (IIT) Delhi Hauz Khas, New Delhi, 110016, India","Chauhan, S.S., Centre for Applied Research in Electronics (CARE), Indian Institute of Technology (IIT) Delhi Hauz Khas, New Delhi, 110016, India; Abegaonkar, M.P., Centre for Applied Research in Electronics (CARE), Indian Institute of Technology (IIT) Delhi Hauz Khas, New Delhi, 110016, India; Basu, A., Centre for Applied Research in Electronics (CARE), Indian Institute of Technology (IIT) Delhi Hauz Khas, New Delhi, 110016, India","Millimeter wave spectrum is the main candidate for body centric wireless applications such as health monitoring, live streaming, and gaming. In this paper, a frequency scanning microstrip antenna array is designed as it provides reconfigurability in the direction of main beam pattern. The designed antenna is an array of 16 elements with the measured impedance bandwidth from 33GHz to 40GHz. The S11 is better than-10 dB and S21 of less than-10 dB is achieved. The beam shift is obtained for frequencies from 33GHz to 36GHz with shifts from-45° to-31.2° and +31.2° to +45°. © 2017 IEEE.","Body centric communication; Frequency scanning; Millimeter wave; Reconfigurability","Antenna arrays; Directional patterns (antenna); Electric impedance; Microstrip antennas; Microwave antennas; Millimeter waves; Wireless telecommunication systems; Body-centric communications; Frequency scanning; Health monitoring; Measured impedance; Millimeter wave frequencies; Millimeter wave spectra; Re-configurability; Wireless application; Scanning antennas",,,"Institute of Electrical and Electronics Engineers Inc.",,9781538604656,,,"English","Int. Symp. Antennas Propag., ISAP",Conference Paper,,Scopus,2-s2.0-85046366723
"Chhabra A., Jain C., Singh S.","57201904028;56785505100;57201904652;","Analysis of square slotted fractal antenna on a square slotted metasurface",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"1432","1435",,,"10.1109/CCAA.2017.8230022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046433889&doi=10.1109%2fCCAA.2017.8230022&partnerID=40&md5=3efce0ad7d1b64c4fcbde85964f40c18","Department of Electronics and Communication, India","Chhabra, A., Department of Electronics and Communication, India; Jain, C., Department of Electronics and Communication, India; Singh, S., Department of Electronics and Communication, India","In modern wireless communication system, antennas having low profile structure with wider bandwidth has become the most trending class of antennas. One proposed method of fulfilling the aforementioned requirements is via the use of a fractal geometry, giving rise to fractal antenna. This paper presents novel metamaterial based fractal antenna. FR4 is used as metamaterial layer. The results of return loss and VSWR of proposed antenna are discussed and analyzed. A comparison of results between fractal antenna with and without metasurface has been presented. The whole analysis of fractal antenna is done by using IE3D Software. © 2017 IEEE.","Fractal Antenna; Metamaterial Substrate and IE 3D Software","Fractals; Metamaterials; Partial discharges; Slot antennas; Wireless telecommunication systems; Analysis of fractals; Fractal antenna; Fractal geometry; Low-profile; Metasurface; Return loss; Wireless communication system; Metamaterial antennas",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046433889
"Belwal M., Sudarshan T.S.B.","56439922100;36893577200;","Source-to-source translation: Impact on the performance of high level synthesis",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"951","956",,,"10.1109/CCAA.2017.8229944","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046487166&doi=10.1109%2fCCAA.2017.8229944&partnerID=40&md5=7ddf6f94cc9a919069d7e14223197ab4","Dept of Computer Science and Engineering, Amrita School of Engineering, Bengaluru Amrita Vishwa Vidyapeetham, Amrita University, India","Belwal, M., Dept of Computer Science and Engineering, Amrita School of Engineering, Bengaluru Amrita Vishwa Vidyapeetham, Amrita University, India; Sudarshan, T.S.B., Dept of Computer Science and Engineering, Amrita School of Engineering, Bengaluru Amrita Vishwa Vidyapeetham, Amrita University, India","The recent advancement in software industry such as Microsoft utilizing FPGAs (Field Programmable Gate Arrays) for acceleration in its search engine Bing and Intel's initiative to have its CPU along with Altera FPGA in the same chip indicates FPGA's potential as well as growing demand in the field of high performance computing. FPGAs provide accelerated computation due to their flexible architecture. However it creates challenges for the system designer as efficient design in terms of latency, power and energy demands hardware programming expertise. Hardware coding is a time consuming as well as an error prone task. High Level Synthesis (HLS) addresses these challenges by enabling programmer to code in High-level languages (HLL) such as C, C++, SystemC, CUDA and translating this code to hardware language such as Verilog or VHDL. Even though HLS tools provide several optimizations, their performance is limited due to the implementation constraints. Some of the software constructs widely used in high level language such as dynamic memory allocation, pointer-based data structures and recursion are very hard to implement well in hardware and thereby restricting the performance of HLS. Source-to-source translation is a mechanism to optimize the code in HLL so that the compiler can perform better in terms of code optimization. This article investigates whether the source-to-source translation widely used in HLL can also benefit high level synthesis. For this study, Bones source-to-source compiler is selected to perform the translation of C code to C (Optimized-C) and OpenMP code. These three types of code: C, Optimized-C and OpenMP were synthesized in LegUP HLS for three benchmarks; the performance statistics were measured for all the nine cases and analysis was conducted in terms of speedup, area reduction, power and energy consumption. OpenMP code performed better as compared to original C code in terms of execution time (speedup range 1.86-3.49), area (gain range 1-6.55) and energy (gain range 1.86-3.55). However optimized-C code did not always perform better than the original C-code in terms of execution time (speedup range 0.27-3.08), area (gain range 0.83-5.7) and energy (gain range 0.27-3.13). The power statistics observed were almost the same for all the three input versions of the code. © 2017 IEEE.","FPGA; High Level Synthesis (HLS); LegUP; performance; Source-to-source","Application programming interfaces (API); Benchmarking; C++ (programming language); Codes (symbols); Computer hardware description languages; Energy utilization; Field programmable gate arrays (FPGA); Hardware; Memory architecture; Program compilers; Search engines; Storage allocation (computer); Translation (languages); Dynamic memory allocation; High performance computing; LegUP; performance; Performance statistics; Pointer-based data structures; Source-to-source; Source-to-source translations; High level synthesis",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046487166
"Singh A.K., Abegaonkar M.P., Koul S.K.","56130491600;6602534932;55849312100;","A negative index metamaterial lens for antenna gain enhancement",2017,"2017 International Symposium on Antennas and Propagation, ISAP 2017","2017-January",,,"1","2",,,"10.1109/ISANP.2017.8228814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046476528&doi=10.1109%2fISANP.2017.8228814&partnerID=40&md5=0abe190881e9132bf551094b027dc646","Centre for Applied Research in Electronics, Indian Institute of Technology Delhi, New Delhi, India","Singh, A.K., Centre for Applied Research in Electronics, Indian Institute of Technology Delhi, New Delhi, India; Abegaonkar, M.P., Centre for Applied Research in Electronics, Indian Institute of Technology Delhi, New Delhi, India; Koul, S.K., Centre for Applied Research in Electronics, Indian Institute of Technology Delhi, New Delhi, India","In this paper, a transmission type negative refractive index metamaterial surface acting as a planer surface lens is presented. A measured 3 dB transmission band of 2 GHz from 8.55 GHz to 10.55 GHz is obtained. Material property of the proposed meta-surface is extracted by using free space technique. The designed meta-surface is radiation beam conversing in nature. Aperture efficiency of the designed meta-surface is 84.30 %. A high gain antenna is designed by placing the proposed double stacked meta-surface lens over a micostrip patch antenna operating at 10.06 GHz. A gain enhancement of 8.55 dB in H-Plane and 6.20 dB in E-Plane at resonating frequency 10 GHz is obtained. The cross polarization level is improved by 8 dB. © 2017 IEEE.","Aperture efficiency; Gain enhancement; Meta-surface Lens; Metamaterial; Patch antenna","Directional patterns (antenna); Efficiency; Metamaterial antennas; Metamaterials; Microstrip antennas; Microwave antennas; Refractive index; Slot antennas; Aperture efficiency; Cross-polarization level; Gain enhancement; High gain antennas; Micostrip patch antennas; Negative index metamaterial; Negative refractive index metamaterial; Resonating frequency; Lens antennas",,,"Institute of Electrical and Electronics Engineers Inc.",,9781538604656,,,"English","Int. Symp. Antennas Propag., ISAP",Conference Paper,,Scopus,2-s2.0-85046476528
"Sharma V., Deo Upadhayay M., Singh A.V.","57195330226;56347916100;41462092500;","Step shape antenna for MIMO applications",2017,"2017 International Symposium on Antennas and Propagation, ISAP 2017","2017-January",,,"1","2",,,"10.1109/ISANP.2017.8229013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046337792&doi=10.1109%2fISANP.2017.8229013&partnerID=40&md5=5254dde17663bf96a938e2717fcbae27","Department of Electrical, Engineering Shiv Nadar University, Gautam Buddha Nagar, India","Sharma, V., Department of Electrical, Engineering Shiv Nadar University, Gautam Buddha Nagar, India; Deo Upadhayay, M., Department of Electrical, Engineering Shiv Nadar University, Gautam Buddha Nagar, India; Singh, A.V., Department of Electrical, Engineering Shiv Nadar University, Gautam Buddha Nagar, India","In this paper a novel planar antenna is proposed for 5.2GHz band application. The area of designed antenna has been reduced by 52% in comparison to a conventional rectangular microstrip patch antenna. The antenna has three vertical stripes and one horizontal stripe. The length and width of these stripes are varied to tune the antenna for a certain operating frequency. The antenna is fed by using a 50 ohm microstrip line connected at the center of horizontal stripe. The fabricated antenna has return loss of 22dB at 5.27GHz and impedance bandwidth of 120MHz. A parametric study has been carried out to analyze and to find the design sensitive parameters. © 2017 IEEE.","Microtrip antenna; MIMO antenna","Electric impedance; Slot antennas; Impedance bandwidths; MIMO antenna; MIMO applications; Operating frequency; Parametric study; Planar antennas; Rectangular microstrip patch; Sensitive parameter; Microstrip antennas",,,"Institute of Electrical and Electronics Engineers Inc.",,9781538604656,,,"English","Int. Symp. Antennas Propag., ISAP",Conference Paper,,Scopus,2-s2.0-85046337792
"Singh S., Sahu B., Singh S.P.","57189646281;56005097900;56175833100;","Hyperthermia performance of conformal applicator for limb tumor in presence of water bolus",2017,"2017 International Symposium on Antennas and Propagation, ISAP 2017","2017-January",,,"1","2",,,"10.1109/ISANP.2017.8228875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046431949&doi=10.1109%2fISANP.2017.8228875&partnerID=40&md5=27fffe718ebc514163ebaf7cf6acef82","Department of Electronics Engineering, Indian Institute of Technology, Banaras Hindu University, Varanasi, Varanasi, 221 005, India","Singh, S., Department of Electronics Engineering, Indian Institute of Technology, Banaras Hindu University, Varanasi, Varanasi, 221 005, India; Sahu, B., Department of Electronics Engineering, Indian Institute of Technology, Banaras Hindu University, Varanasi, Varanasi, 221 005, India; Singh, S.P., Department of Electronics Engineering, Indian Institute of Technology, Banaras Hindu University, Varanasi, Varanasi, 221 005, India","This paper examines the influence of water bolus coupling layer on the specific absorption rate and temperature distributions respectively in the tissue during hyperthermia treatment of human limb tumor using a previously reported microstrip slot antenna integrated with a compact artificial magnetic conductor (AMC) reflector at 2.45 GHz. The simulation study reveals the effectiveness of the antenna-AMC combination for hyperthermia treatment of arm and thigh tumors. Further, the results indicate that during treatment, hotspot in the skin can be reduced by optimizing water bolus temperature. © 2017 IEEE.","conformal; hyperthermia; temperature distributions; tumor; water bolus","Biological radiation effects; Electromagnetic field effects; Microstrip antennas; Microwave antennas; Slot antennas; Temperature distribution; Tumors; Water absorption; Artificial magnetic conductors; conformal; hyperthermia; Hyperthermia treatments; Influence of water; Microstrip slot antennas; Simulation studies; Specific absorption rate; Hyperthermia therapy",,,"Institute of Electrical and Electronics Engineers Inc.",,9781538604656,,,"English","Int. Symp. Antennas Propag., ISAP",Conference Paper,,Scopus,2-s2.0-85046431949
