Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Ganesh V.R., Ramesh H.","57201700065;56494595300;","Effectiveness of contrast limited adaptive histogram equalization technique on multispectral satellite imagery",2017,"ACM International Conference Proceeding Series",,,,"234","239",,,"10.1145/3177404.3177409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045832122&doi=10.1145%2f3177404.3177409&partnerID=40&md5=d6c47af2d8033f673993ff4f2b6ddb41","Department of Remote Sensing, Birla Institute of Technology, Mesra, Ranchi, India; Department of Applied Mechanics and Hydraulics, National Institute of Technology, Surathkal, India","Ganesh, V.R., Department of Remote Sensing, Birla Institute of Technology, Mesra, Ranchi, India; Ramesh, H., Department of Applied Mechanics and Hydraulics, National Institute of Technology, Surathkal, India","Contrast Limited Adaptive Histogram Equalization technique (CLAHE) is a widely used form of contrast enhancement, used predominantly in enhancing medical imagery like X-rays and to enhance features in ordinary photographs. This paper aimed to understand the effectiveness of using this technique in multispectral satellite imagery and to study its effectiveness in different regions of the electromagnetic spectrum. This study also aimed at analyzing variations of spatial and spectral resolutions of a sensor affect the performance of the CLAHE technique by means of comparing quantitative parameters of the enhanced images between the sensors. A general idea of the feature that can be enhanced in each spectral region was also studied. The results showed that a comparative study between the CLAHE technique and the conventional global histogram equalization technique resulted in the former technique emerging superior of the two and thereby reconstructed images of better quality. © 2017 Association for Computing Machinery.","Contrast Limited Adaptive Histogram Equalization (CLAHE); Mean square error; Multispectral satellite imagery; Peak signal-to-noise ratio","Equalizers; Graphic methods; Image enhancement; Image segmentation; Mean square error; Signal to noise ratio; Video signal processing; Adaptive histogram equalization; Contrast Enhancement; Contrast Limited Adaptive Histogram Equalization (CLAHE); Electromagnetic spectra; Histogram equalizations; Multispectral satellite imagery; Peak signal to noise ratio; Quantitative parameters; Satellite imagery",,,"Association for Computing Machinery",,9781450353830,,,"English","ACM Int. Conf. Proc. Ser.",Conference Paper,,Scopus,2-s2.0-85045832122
"Raj P.T.V., Vishvaksenan K.S.","57191581224;35800425000;","Performance of image transmission over MC-CDMA based on super resolution technique",2017,"Cluster Computing",,,,"1","9",,,"10.1007/s10586-017-1537-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039071844&doi=10.1007%2fs10586-017-1537-5&partnerID=40&md5=0d08f0a7b366a0ee3dec122aabae5589","SSN College of Engineering, Chennai, 603110, India","Raj, P.T.V., SSN College of Engineering, Chennai, 603110, India; Vishvaksenan, K.S., SSN College of Engineering, Chennai, 603110, India","Multi-carrier code-division-multiple-access (MC-CDMA) is a promising technique to obtain high data rate in wireless communication. Contemplation of medical image transmission for various patient’s information using MC-CDMA system through wireless media is discussed. Arnold cat map encryption algorithm is ensured to enhance the image transmission securely. At each mobile station, transmitted bit stream of encrypted images is estimated using minimum-mean-square error (MMSE) algorithm. The picture quality is ensured at the receiver by adopting super resolution through sparse technique. The performance of considered system through stanford channel model specification is illustrated. PSNR metric is also considered for image transmission. From the analysis, it is observed that considered MC-CDMA system with encryption algorithm and sparse based super resolution technique mitigates multi-user interference effects while retaining the quality of individual medical images. Further, it is witnessed that the channel encoded proposed system’s performance achieves the promising bit-error-rate for MMSE receiver. Furthermore, from the simulation it is discerned that the computational time for super resolution is minimized using considered sparse technique. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Arnold cat map (ACM); Code division multiple access (CDMA); Integer wavelet transform (IWT); Orthogonal frequency-division-multiplexing (OFDM); Rayleigh-fading channel; Super resolution (SR)","Bit error rate; Cryptography; Fading channels; Image enhancement; Imaging systems; Mean square error; Medical imaging; Medical information systems; Multicarrier modulation; Optical resolving power; Orthogonal frequency division multiplexing; Radio communication; Rayleigh fading; Signal receivers; Turbo codes; Wavelet transforms; Wireless telecommunication systems; Cat map; Encryption algorithms; Integer wavelet transforms; Minimum mean square error algorithms; Multi-user interference; Multicarrier code-division multiple access; Super resolution; Wireless communications; Code division multiple access","Raj, P.T.V.; SSN College of EngineeringIndia; email: vasanthrajpt@ssn.edu.in",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85039071844
"Maiti G., Shankar B.R., Kumar T.N., Goutam P., Prasad S.V.H., Soundarakumar M.","57201897393;57202670514;57201908613;36442125100;34880783600;57195521421;","Variable fractional rate digital down converter for satellite communication",2017,"2017 IEEE 9th Latin-American Conference on Communications, LATINCOM 2017","2017-January",,,"1","9",,,"10.1109/LATINCOM.2017.8240153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046399511&doi=10.1109%2fLATINCOM.2017.8240153&partnerID=40&md5=9c44928da34b81e12170e2867b91fd89","Dept. Digital and Modem, Centre for Development of Telematics (C-DOT), Bangalore, 560100, India","Maiti, G., Dept. Digital and Modem, Centre for Development of Telematics (C-DOT), Bangalore, 560100, India; Shankar, B.R., Dept. Digital and Modem, Centre for Development of Telematics (C-DOT), Bangalore, 560100, India; Kumar, T.N., Dept. Digital and Modem, Centre for Development of Telematics (C-DOT), Bangalore, 560100, India; Goutam, P., Dept. Digital and Modem, Centre for Development of Telematics (C-DOT), Bangalore, 560100, India; Prasad, S.V.H., Dept. Digital and Modem, Centre for Development of Telematics (C-DOT), Bangalore, 560100, India; Soundarakumar, M., Dept. Digital and Modem, Centre for Development of Telematics (C-DOT), Bangalore, 560100, India","This paper demonstrates an innovative variable fractional rate Digital Down Converter(DDC) architecture for satellite communication where the carrier frequency and output sample rate can be changed dynamically at run time. The proposed algorithm is highly modular and generic so that the DDC can decimate by any fractional ratio i.e. the ADC sampling rate may be any integer or non-integer multiple of output sample rate from DDC. The algorithm is verified by evaluating the bit error rate(BER) performance of Binary Phase Shift Keying(BPSK) modulation with theoretical BER in the presence of additive white Gaussian noise (AWGN) in Matlab. Xilinx FPGA (Kintex-7) realizes the novel DDC hardware along with the demodulator implemented in DSP processor which performs timing synchronization, frequency offset estimation and correction. Though the primary use of the design is in satellite communication, the same applies to other multi-standard radio based communication like GSM, CDMA, WCDMA, WiMAX, LTE. © 2017 IEEE.","Digital down converter; Residual decimating factor; Variable sample rate conversion","Binary phase shift keying; Carrier communication; Frequency allocation; Frequency estimation; Gaussian noise (electronic); Mobile telecommunication systems; Radio communication; Satellite communication systems; Satellites; White noise; Wireless telecommunication systems; Additive White Gaussian noise; Binary phase-shift keying modulations; Bit error rate (BER) performance; Digital down converter; Frequency offset estimation; Residual decimating factor; Sample rate conversion; Satellite communications; Bit error rate",,"Velasquez-Villada C.E.","Institute of Electrical and Electronics Engineers Inc.",,9781538620984,,,"English","IEEE Latin-Am. Conf. Commun., LATINCOM",Conference Paper,,Scopus,2-s2.0-85046399511
"Thakur R., Kotagi V.J., Murthy C.S.R.","55839479800;57115487900;7102087090;","Resource allocation and cell selection framework for LTE-Unlicensed femtocell networks",2017,"Computer Networks","129",,,"273","283",,1,"10.1016/j.comnet.2017.10.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032215401&doi=10.1016%2fj.comnet.2017.10.004&partnerID=40&md5=d707dbf6585830a27c98293821551300","Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India","Thakur, R., Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India; Kotagi, V.J., Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India; Murthy, C.S.R., Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India","The availability of enormous bandwidth in 5 GHz WiFi band has advocated its use for the LTE communication. For this, LTE-Unlicensed (LTE-U) technology is standardized in 3GPP Release 12. The use of coexistence mechanism such as Listen-Before-Talk (LBT) can help protecting the quality of service of mobile users operating in the WiFi band by guaranteeing them channel access. Additionally, allocation of wireless resources to each mobile user in the WiFi band should be controlled to facilitate interference-free transmissions to other mobile users in the same band. In this paper, we propose two resource allocation techniques for femtocell networks which efficiently allocate resources such as spectrum and transmit power among competing mobile users in the LTE and WiFi bands. For the LTE band, we propose the use of spreading based spectrum and power allocation, and model the throughput of femtocells using a non-cooperative game theoretic framework. To improve the co-existence performance of femtocells operating in the WiFi band, we propose a Q-leaning based resource allocation technique for femtocell transmit power and duty cycle calculation. In a scenario where multiple base stations are available for user-base station association, considering only the signal strength to make association decision is not an optimal approach, specially when user load and available resources at base stations vary significantly with time. Considering this, we suggest a cell selection scheme that assigns mobile users to femtocells considering the bitrate they are expected to receive in both LTE and WiFi bands. Our resource allocation techniques, when combined with the proposed cell selection scheme, show a minimum improvement of 23.4% in network throughput and 19.6% reduction in energy consumption. This, in turn, also improves the energy efficiency of the network by at least 35%. © 2017 Elsevier B.V.","Cell selection; Energy efficiency; LTE-U femtocell network; Spectrum and power allocation; Spreading","Base stations; Cells; Cytology; Energy efficiency; Energy utilization; Femtocell; Game theory; Mobile telecommunication systems; Quality of service; Resource allocation; Wi-Fi; Wireless local area networks (WLAN); Cell selection; Duty-cycle calculations; Femtocell Networks; Noncooperative game; Optimal approaches; Power allocations; Resource allocation techniques; Spreading; Wireless telecommunication systems","Thakur, R.; Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India; email: rahult@cse.iitm.ac.in",,"Elsevier B.V.",13891286,,CNETD,,"English","Comput. Networks",Article,,Scopus,2-s2.0-85032215401
"Joshi A.R., Tarte I., Suresh S., Koolagudi S.G.","57202290645;57202291104;57202289437;23397105900;","Damage identification and assessment using image processing on post-disaster satellite imagery",2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings","2017-January",,,"1","7",,,"10.1109/GHTC.2017.8239286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047725641&doi=10.1109%2fGHTC.2017.8239286&partnerID=40&md5=7cf39e105cc62a2d3f3f3f1752ab328c","Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India","Joshi, A.R., Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India; Tarte, I., Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India; Suresh, S., Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India; Koolagudi, S.G., Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India","Natural disasters such as earthquakes and tsunamis often have a devastating effect on human life and cause noticeable damage to infrastructure. Active research has been ongoing to mitigate the impact of these catastrophes and preclude the economic losses. The existing methods that utilize pre-event and post-event images not only require the immediate and guaranteed availability of the appropriate data set but are also encumbered by manual mapping of the images, necessitating the indication of corresponding control points in the two images. This paper highlights the use of only post-event imagery in the absence of reference data to achieve a more timely delivery to produce damage maps as the output. This eliminates the need for manual georeferencing of images. Our method incorporates simple linear iterative clustering (SLIC) for segmenting the images into uniform superpixels and extraction of 62 features for each superpixel. We used various classifiers of which Random Forest classifier was found to give a comparatively high accuracy of 90.4% over others. To enumerate the accuracy of the method proposed, we used 1500 data regions of which 20% were used for testing, and 80% were used for training. The aerial images taken by GeoEye1 after the 2011 Christchurch earthquake and 2011 Japan earthquake and tsunami are utilized in this study to detect building damage. In the case of availability of ground truth, we compare the histograms of the pre- and post-imagery to quantify similarity as the SSD (Sum of Squared Distances) value and thus, our approach produces an assessment as an output map displaying the extent of damage in the area covered by each superpixel. We consider 6 levels of damage ranging from 1 to 6, where 1 signifies no damage, and 6, maximum damage. © 2017 IEEE.","Damage Assessment; Image Processing; Random Forest Classifier; Segmentation; Texture Features","Antennas; Decision trees; Disasters; Earthquakes; Image processing; Image segmentation; Iterative methods; Losses; Pixels; Satellite imagery; Superpixels; Tsunamis; 2011 Christchurch earthquakes; Corresponding control points; Damage assessments; Damage Identification; Devastating effects; Random forest classifier; Simple Linear Iterative Clustering; Texture features; Damage detection",,,"Institute of Electrical and Electronics Engineers Inc.",,9781509060467,,,"English","GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047725641
"Dhar S., Roy H., Majumder M., Biswas C., Sarkar A.","55608396500;56594518700;57194697664;57202678534;57202686607;","A novel method for underwater image segmentation based on M-band wavelet transform and human psychovisual phenomenon(HVS)",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"21","25",,,"10.1109/ICRCICN.2017.8234475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049051474&doi=10.1109%2fICRCICN.2017.8234475&partnerID=40&md5=726fe9505fafa3226377e0925c7370c6","RCC Institute of Information Technology, India","Dhar, S., RCC Institute of Information Technology, India; Roy, H., RCC Institute of Information Technology, India; Majumder, M., RCC Institute of Information Technology, India; Biswas, C., RCC Institute of Information Technology, India; Sarkar, A., RCC Institute of Information Technology, India","Underwater image segmentation becomes a difficult and challenging task due to various perturbations present in the water. In this paper we propose a novel method for underwater image segmentation based on M-band wavelet transform and human psychovisual phenomenon(HVS). The M-band wavelet transform captures the texture of the underwater image by decomposing the image into sub bands with different scales and orientations. The proper sub bands for segmentation are selected depending on the HVS. The HVS imitates the original visual technique of a human being and it is used to divide each sub band into Weber, De-Vries Rose and Saturation regions. A sub band is selected for segmentation depending on those three regions. The performance of the proposed method is found to be superior than that of the stare-of-the-art methods for underwater image segmentation on standard data set. © 2017 IEEE.","HVS; M-band wavelet; segmentation; Underwater image","Artificial intelligence; Image compression; Underwater imaging; Wavelet transforms; Art methods; Data set; De vries; Human being; M-band wavelet transform; M-band wavelets; Saturation region; Visual techniques; Image segmentation",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049051474
"Mukhopadhyay D., Bhawsar R., Deshpande V., Deshpande V., Banthia P.","22980908600;57201880305;42261360900;57201879807;57201879562;","A framework of a hybrid wave communication channel for transmitting voice over light-fidelity (VoLF)",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"1364","1369",,,"10.1109/CCAA.2017.8230028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046371048&doi=10.1109%2fCCAA.2017.8230028&partnerID=40&md5=10a6e5ea3c33dd02cd6993905c3f6958","Department of Information Technology, Maharashtra Institute of Technology, Pune, India","Mukhopadhyay, D., Department of Information Technology, Maharashtra Institute of Technology, Pune, India; Bhawsar, R., Department of Information Technology, Maharashtra Institute of Technology, Pune, India; Deshpande, V., Department of Information Technology, Maharashtra Institute of Technology, Pune, India; Deshpande, V., Department of Information Technology, Maharashtra Institute of Technology, Pune, India; Banthia, P., Department of Information Technology, Maharashtra Institute of Technology, Pune, India","The 21st century saw the advent of Visible Light Communication (VLC) networks. Li-Fi is a fully networked wireless communication technology and is a subset of Optical Wireless Communication (OWC). It is a bidirectional, high speed network, which could be a supplement to Wi-Fi networks or even a possible replacement. The proposed concept of Voice over Li-Fi network, hypothesizes the use of an unprecedented wave, hybrid in nature. This wave possesses the ability of transmitting Digital and Analog data over Light in parallel. The wave would comprise of the analog component of sound, as well as the digital component of bits. Digital data would be transmitted without loss and analog data transmission would be lossy. This VoLF system has the potential to supersede most analog and digital networks. © 2017 IEEE.","Analog System; Digital System; VoLF","HIgh speed networks; Light; Visible light communication; Wireless telecommunication systems; Analog components; Analog systems; Digital components; Digital system; Optical wireless communications; Visible light communications (VLC); VoLF; Wireless communication technology; Wi-Fi",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046371048
"Nirmala K., Venkateswaran N., Kumar C.V.","57197401440;14421679900;57197087179;","HoG based Naive Bayes classifier for glaucoma detection",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"2331","2336",,,"10.1109/TENCON.2017.8228250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044200670&doi=10.1109%2fTENCON.2017.8228250&partnerID=40&md5=9b38032b045b543da17306b01799e2c8","SSN College of Engineering, Chennai, India","Nirmala, K., SSN College of Engineering, Chennai, India; Venkateswaran, N., SSN College of Engineering, Chennai, India; Kumar, C.V., SSN College of Engineering, Chennai, India","Glaucoma is caused due to neuro degeneration of the optic nerve leading to vision loss. The Optic nerve that is responsible for transmission of visual information to the brain can be viewed in a fundus image. In this paper, a new approach for determination of the presence of glaucoma based on the features extracted from the fundus image is proposed. Histogram oriented features (HoG) are extracted from Region of Interest, that shows a significant difference between normal and glaucoma affected image. A Naive Bayes classifier is used to demonstrate the performance of extracted HoG feature against the transform domain features extracted from Wavelet, Contourlet, and Wavelet based Contourlet decomposition. The proposed HoG based decision support system is tested on publically available fundus image database. Experimental results indicate that HoG feature based Naive Bayes classifier outperforms the classifier based on transform domain features and yields an accuracy of 94%. © 2017 IEEE.","Adaptive Histogram Equalization; Histogram Oriented Gradient Features; Morphological Operations; Naïve Bayes classifier","Artificial intelligence; Classifiers; Decision support systems; Eye protection; Graphic methods; Image processing; Image segmentation; Learning systems; Mathematical morphology; Object recognition; Ophthalmology; Wavelet decomposition; Adaptive histogram equalization; Bayes Classifier; Contourlet decompositions; Glaucoma detection; Morphological operations; Naive Bayes classifiers; Oriented gradients; Transform domain features; Classification (of information)",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044200670
"Huidrom R., Chanu Y.J., Singh K.M.","57095085200;55263553000;55428904700;","A fast automated lung segmentation method for the diagnosis of lung cancer",2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON","2017-December",,,"1499","1502",,,"10.1109/TENCON.2017.8228094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044198634&doi=10.1109%2fTENCON.2017.8228094&partnerID=40&md5=157a0dd16d6f8d912e70a1ba9578e86a","Department of Computer Science and Engineering, National Institute of Technology, Manipur, India","Huidrom, R., Department of Computer Science and Engineering, National Institute of Technology, Manipur, India; Chanu, Y.J., Department of Computer Science and Engineering, National Institute of Technology, Manipur, India; Singh, K.M., Department of Computer Science and Engineering, National Institute of Technology, Manipur, India","Lung Segmentation is the first and important image processing step for the detection and the diagnosis of lung cancer, namely CADe and CADx respectively. In this paper, a new Lung Segmentation method is introduced which performs faster than any other existing methods without compromising the accuracy of the segmentation. © 2017 IEEE.","Computer Aided Diagnosis system; Image Processing; Image Thresholding; Lung Cancer; Lung Segmentation","Biological organs; Computer aided diagnosis; Diseases; Image segmentation; Computer aided diagnosis systems; Diagnosis of lung cancer; Image thresholding; Lung Cancer; Lung segmentation; Image processing",,,"Institute of Electrical and Electronics Engineers Inc.",21593442,9781509011339,85QXA,,"English","IEEE Reg 10 Annu Int Conf Proc TENCON",Conference Paper,,Scopus,2-s2.0-85044198634
"Kanungo S., Shukla A.","56785588000;55247111900;","A novel clustering framework using farthest neighbour approach",2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017","2017-January",,,"164","169",,1,"10.1109/CCAA.2017.8229793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046347991&doi=10.1109%2fCCAA.2017.8229793&partnerID=40&md5=5d72b850be0c23a6875f79c73ba0393d","Department of Computer Scienceand Engineering, Birla Institute of Technology, Mesra, India","Kanungo, S., Department of Computer Scienceand Engineering, Birla Institute of Technology, Mesra, India; Shukla, A., Department of Computer Scienceand Engineering, Birla Institute of Technology, Mesra, India","In this digital world, we are facing the flood of data, but depriving for knowledge. The eminent need of mining is useful to extract the hidden pattern from the wide availability of vast amount of data. Clustering is one such useful mining tool to handle this unfavorable situation by carrying out crucial steps refers as cluster analysis. It is the process of a grouping of patterns into clusters based on similarity. Partition based clustering algorithms are widely accepted for much diverse application such as pattern analysis, image segmentation, identification system. Among the different variations of the partition based clustering, due to its monotony and ease of implementation K-means algorithm gained a lot of attraction in the various field of research. A severe problem associated with the algorithm is that it is highly sophisticated while selecting the initial centroid and may converge to a local optimum solution of the criterion function value if the initial centroid is not chosen accurately. Additionally, it requires the prior information regarding a number of clusters to be formed and the computation of K-means are expensive. K-means algorithm is a two-step process includes initialization and assignment step. This paper works on initialization step of the algorithm and proposed an efficient enhanced K-means clustering algorithm which eliminates the deficiency of the existing one. A new initialization approach has been introduced in the paper to drawn an initial cluster centers for K means Algorithm. The paper also compares proposed technique with K-means technique. © 2017 IEEE.","Clustering; Data Mining; Initial Centroids; K-means algorithm","Cluster analysis; Data mining; Image segmentation; Clustering; Diverse applications; Initial Centroids; Initial cluster centers; k-Means algorithm; K-Means clustering algorithm; Local optimum solution; Partition-based clustering; Clustering algorithms",,"Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.","Institute of Electrical and Electronics Engineers Inc.",,9781509064717,,,"English","Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046347991
