Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Alphonse A.S., Dharma D.",57195373051;57195373533;,"Enhanced Gabor (E-Gabor), Hypersphere-based normalization and Pearson General Kernel-based discriminant analysis for dimension reduction and classification of facial emotions",2017,Expert Systems with Applications,90,,,127,145,,1,10.1016/j.eswa.2017.08.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027501922&doi=10.1016%2fj.eswa.2017.08.013&partnerID=40&md5=b55857645fde1d92996b99782b6188ad,"CSE Department, Regional Campus of Anna University, Tirunelveli, 627007, India","Alphonse, A.S., CSE Department, Regional Campus of Anna University, Tirunelveli, 627007, India; Dharma, D., CSE Department, Regional Campus of Anna University, Tirunelveli, 627007, India","This paper puts forward an Enhanced Gabor feature descriptor termed as E-Gabor for obtaining high classification accuracy of emotions with low dimension. Two methods have been used for further classification. In the first method, E-Gabor is used as a stand-alone feature for classification. Hypersphere-based normalization has been used for normalizing the E-Gabor features, thereby improving the efficiency in the classification of emotions. In the second method, the E-Gabor feature descriptor is fused with Pyramid Histogram of Gradient (PHOG) feature descriptor and projected to a common subspace of six dimensions using the proposed Pearson General Kernel-based Discriminant Analysis (PGK-DA) before classification. In both the methods, Pearson General Kernel-based Extreme Learning Machine (PGK-ELM) is used for classification. Experiments conducted on Japanese Female Facial Expression (JAFFE), Cohn Kanade (CK+), Multimedia Understanding Group (MUG), Static Facial Expressions in the Wild (SFEW), Oulu-Chinese Academy of Science, Institute of Automation (Oulu-CASIA) and Man–Machine Interaction (MMI) datasets report a classification accuracy of 97.6%, 97.9%, 95.7%, 35.4%, 87.7% and 82.7% with method I and 95.7%, 97.2%, 94.9%, 35.2%, 87.1% and 82.1% with method II, respectively, for seven class emotion detection, which is high when compared to other state-of-the-art methods. © 2017 Elsevier Ltd",Discriminant analysis; ELM; Emotion; Facial expression; Gabor,Discriminant analysis; Learning systems; Chinese Academy of Sciences; Classification accuracy; Classification of emotions; Emotion; Extreme learning machine; Facial Expressions; Gabor; State-of-the-art methods; Classification (of information),"Alphonse, A.S.; CSE Department, Regional Campus of Anna UniversityIndia; email: sherls82@gmail.com",,Elsevier Ltd,9574174,,ESAPE,,English,Expert Sys Appl,Article,,Scopus,2-s2.0-85027501922
"Suganya R., Rajaram S.",56805014700;57202289032;,An efficient categorization of liver cirrhosis using convolution neural networks for health informatics,2017,Cluster Computing,,,,1,10,,,10.1007/s10586-017-1629-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039695155&doi=10.1007%2fs10586-017-1629-2&partnerID=40&md5=9ce33d9963899b08bde203c796de15d5,"Department of Information Technology, Thiagarajar College of Engineering, Madurai, India; Department of ECE, Thiagarajar College of Engineering, Madurai, India","Suganya, R., Department of Information Technology, Thiagarajar College of Engineering, Madurai, India; Rajaram, S., Department of ECE, Thiagarajar College of Engineering, Madurai, India","Accurate categorization of cirrhosis liver image in ultrasound modality is of great importance in medical diagnosis and treatment. Health informatics is important as it provides quick predictions on diseases based on nearness of symptoms. Modelling solutions for the same on cloud using deep learning is the motivation of this paper. Here, we propose a deep learning model associated with correlation based feature selection method for cirrhosis image classification. We compare the results with three other conventional classifiers algorithms to improve the better classification accuracy. First in pre-processing stage, noises are eliminated from pathological scan images by using modified laplacian pyramid non-linear diffusion filter. From the pre-processed scan images, each cirrhosis region is obtained under the guidance of radiology or physicians. Then, after extracting the complete features of each patch by gray level, local binary pattern and scale invariant feature, a feature selection technique is applied to choice the predominant texture features for each classifier. Finally a convolution neural network is implemented to improve the performance of classifiers in terms of sensitivity, specificity and accuracy. Convolution neural network algorithm with two hidden layers gives more accuracy in classifying cirrhosis image with 98% sensitivity. Experiments are carried out with 990 cirrhosis image patches which demonstrates that our proposed deep learning classifier perform 100% well than original classifiers in terms of accuracy. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Convolution neural network; Correlation based feature selection; Liver cirrhosis classification; Modified diffusion filter; Texture features,Convolution; Deep learning; Diagnosis; Feature extraction; Image classification; Image processing; Medical imaging; Ultrasonic applications; Classification accuracy; Convolution neural network; Diffusion filter; Feature selection methods; Liver cirrhosis; Performance of classifier; Scale invariant features; Texture features; Classification (of information),"Suganya, R.; Department of Information Technology, Thiagarajar College of EngineeringIndia; email: rsuganya@tce.edu",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039695155
"Kumaresan T., Saravanakumar S., Balamurugan R.",56878942000;57190255364;6603333193;,Visual and textual features based email spam classification using S-Cuckoo search and hybrid kernel support vector machine,2017,Cluster Computing,,,,1,14,,1,10.1007/s10586-017-1615-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039701994&doi=10.1007%2fs10586-017-1615-8&partnerID=40&md5=bc2ce0b8142e4ab7273c75d7232b632d,"Bannari Amman Institute of Technology, Erode, Tamil Nadu, India; Adithya Institute of Technology, Coimbatore, Tamilnadu, India; Bharat Institute of Engineering and Technology, Ibrahimpatanam, Hyderabad, Telangana, India","Kumaresan, T., Bannari Amman Institute of Technology, Erode, Tamil Nadu, India; Saravanakumar, S., Adithya Institute of Technology, Coimbatore, Tamilnadu, India; Balamurugan, R., Bharat Institute of Engineering and Technology, Ibrahimpatanam, Hyderabad, Telangana, India","Spam mail classification has been playing a vital role in recent days due to the uncontrollable growth happening in the electronic media. Literature presents several algorithms for email spam classification based on classification methods. In this paper, we propose a spam classification framework using S-Cuckoo and hybrid kernel based support vector machine (HKSVM). At first, the features are extracted from the e-mails based on the text as well as the image. For the textual features, TF-term frequency is used. For the image dependent features, correrlogram and wavelet moment are taken. The hybrid features have then high dimension so the optimum features are identified with the help of hybrid algorithm, called S-Cuckoo search. Then, the classification is done using proposed classifier HKSVM model which is designed based on the hybrid kernel by blending three different kernel functions and then it is used in the SVM classifier. The additional features provided based on image and the modification of SVM classifier provides significant improvement as compared with existing algorithms. The spam classification performance is measured by db1 (combining bare-ling spam and Spam Archive corpus) and db2 (combining lemm-ling spam and Spam Archive corpus). Experimental results show that the proposed spam classification framework has outperformed by having better accuracy of 97.235% when compared with existing approach which is able to achieve only 94.117%. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Correlogram; Cuckoo search; S-Cuckoo search; Spam; Support vector machine,Electronic mail; Image enhancement; Optimization; Support vector machines; Classification methods; Correlograms; Cuckoo searches; Electronic media; Hybrid algorithms; Spam; Spam classification; Textual features; Classification (of information),"Kumaresan, T.; Bannari Amman Institute of TechnologyIndia; email: kumaresant@bitsathy.ac.in",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039701994
"Singh B.K., Verma K., Panigrahi L., Thoke A.S.",55480042200;7203047398;55355324500;15926333500;,Integrating radiologist feedback with computer aided diagnostic systems for breast cancer risk prediction in ultrasonic images: An experimental investigation in machine learning paradigm,2017,Expert Systems with Applications,90,,,209,223,,2,10.1016/j.eswa.2017.08.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027710107&doi=10.1016%2fj.eswa.2017.08.020&partnerID=40&md5=26a4ced0f77e8b0b3eb9b3592611e7c4,"Department of Biomedical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India; Department of Computer Applications, National Institute of Technology, Raipur, Chhattisgarh, India; Department of Electrical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India","Singh, B.K., Department of Biomedical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India; Verma, K., Department of Computer Applications, National Institute of Technology, Raipur, Chhattisgarh, India; Panigrahi, L., Department of Computer Applications, National Institute of Technology, Raipur, Chhattisgarh, India; Thoke, A.S., Department of Electrical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India","With advancements in machine learning algorithms and computer aided diagnostic (CAD) systems, the performance of automated analysis of radiological images has improved substantially in recent times. However, the lack of integration between the radiologist and CAD systems restrains the rate of progress as well as the reach of such advancements in clinical use. This article aims to improve the clinical efficiency of ultrasound based CAD systems for classification of breast lesions by integrating back-propagation artificial neural network (BPANN), support vector machine (SVM) and radiologist feedback. The acquired breast ultrasound images were subjected to wavelet based filtering in order to reduce speckle noise followed by feature extraction, feature selection and classification. Experiments on a database of 178 ultrasound images of breast anomalies (88 benign and 90 malignant) show that the proposed methodology achieves classification accuracy of 98.621% and 98.276%, respectively, when all 457 and 19 most relevant features selected by multi-criteria feature selection method were used for classification. The accuracy achieved is significantly higher than that using conventional classifiers based on BPANN and SVM. Further, it is found that integrating expert opinion in CAD systems improves its overall performance. The quantitative results obtained are discussed in light of some recently reported studies. © 2017 Elsevier Ltd",Breast tumor classification; Machine learning; Neural network; Radiologist opinion; Support vector machine; Ultrasound,Artificial intelligence; Backpropagation; Computer aided analysis; Computer aided diagnosis; Computer aided instruction; Diagnosis; Feature extraction; Learning algorithms; Learning systems; Medical imaging; Neural networks; Support vector machines; Ultrasonic imaging; Ultrasonics; Wavelet analysis; Back propagation artificial neural network (BPANN); Breast tumor classifications; Breast ultrasound images; Computer aided diagnostics; Experimental investigations; Feature selection and classification; Feature selection methods; Radiologist opinion; Classification (of information),"Singh, B.K.; Department of Biomedical Engineering, National Institute of Technology Raipur, G.E. Road Raipur, India; email: bsingh.bme@nitrr.ac.in",,Elsevier Ltd,9574174,,ESAPE,,English,Expert Sys Appl,Article,,Scopus,2-s2.0-85027710107
"Gupta G., Bose I.",57194042347;52663129200;,A bibliometric analysis of two decades of research on business models,2017,ACM International Conference Proceeding Series,,,,133,136,,,10.1145/3178212.3178228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045877717&doi=10.1145%2f3178212.3178228&partnerID=40&md5=01676367b1429f43435b725ad7957acd,"Indian Institute of Management Calcutta, India","Gupta, G., Indian Institute of Management Calcutta, India; Bose, I., Indian Institute of Management Calcutta, India","Owing to the huge volume of literature on business models, this study investigates the primary conceptual categories of research on this topic. It attempts to identify major research trends about business models through a systematic categorization of extant academic literature. The paper provides a bibliometric analysis of articles published between 1997-2017. A burst analysis of the seminal articles is also provided to identify the influence of the research articles. This study identifies the most influential authors, seminal articles and the most productive journals that have published research on business models. The results of this study develops a systematic analysis of two decades of research on the topic of business models and further aims to help future scholars develop a holistic understanding of the evolution of research on the topic over time. © 2017 Association for Computing Machinery.",Bibliometric analysis; Business model; Citations; Classification; Web of Science,Classification (of information); Computer applications; Computer programming; Academic literature; Bibliometric analysis; Business modeling; Business models; Citations; Research trends; Systematic analysis; Web of Science; Electronic commerce,,,Association for Computing Machinery,,9.78145E+12,,,English,ACM Int. Conf. Proc. Ser.,Conference Paper,,Scopus,2-s2.0-85045877717
"Simi M.S., Nayaki K.S., Parameswaran M., Sivadasan S.",57195942861;56716488900;57202288673;57202287658;,Exploring female infertility using predictive analytic,2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings",2017-January,,,1,6,,,10.1109/GHTC.2017.8239343,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047773272&doi=10.1109%2fGHTC.2017.8239343&partnerID=40&md5=fe791ba77ee10182e49c7ebe3fe5758a,"Dept. of Computer Science, Adi Shankara Institute of Engineering and Technology, Eranakulam, India; Dept. of IT, Adi Shankara Institute of Engineering and Technology, Eranakulam, India; Dept. of Reproductive Medicine, Sabine Hospital, Muvattupuzha, Eranakulam, India","Simi, M.S., Dept. of Computer Science, Adi Shankara Institute of Engineering and Technology, Eranakulam, India; Nayaki, K.S., Dept. of IT, Adi Shankara Institute of Engineering and Technology, Eranakulam, India; Parameswaran, M., Dept. of Computer Science, Adi Shankara Institute of Engineering and Technology, Eranakulam, India; Sivadasan, S., Dept. of Reproductive Medicine, Sabine Hospital, Muvattupuzha, Eranakulam, India","With the availability of medical data for large number of patients in hospitals, early detection of diseases has been made easier in the recent past. Conditions like Infertility which are hard to detect or diagnose can be now diagnosed with greater precision with the help of predictive modeling. One of the key challenges for early detection and timely treatment is in identifying and recording key variables that contribute to specific variance of infertility. In this paper, we consider 26 variables and identify relevant variables for early detection of 8 variant classes of female infertility. We compared various techniques and determined that the Random forest is the best method offerings 88% of accuracy for a reasonably large hospital dataset of size 965. © 2017 IEEE.",Classification; Data analytics; Healthcare; Infertility; J48; Medical Data; Predictive modeling; Random Forest,Classification (of information); Decision trees; Health care; Hospitals; Data analytics; Infertility; Medical data; Predictive modeling; Random forests; Predictive analytics,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047773272
"Choudhary P., Kumar S., Bachhawat A.K., Pandit S.B.",56154580600;57189458438;7003844556;7101938377;,CSmetaPred: A consensus method for prediction of catalytic residues,2017,BMC Bioinformatics,18,1,583,,,,,10.1186/s12859-017-1987-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038911004&doi=10.1186%2fs12859-017-1987-z&partnerID=40&md5=80a7ec04e2b61d5a752f37f82c63407d,"Indian Institute of Science Education and Research, Mohali, Department of Biological Sciences, Knowledge City, Sector 81, SAS Nagar, Manuali PO, 140306, India; Laboratory of Biochemistry and Genetics, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Bethesda, MD  20892, United States","Choudhary, P., Indian Institute of Science Education and Research, Mohali, Department of Biological Sciences, Knowledge City, Sector 81, SAS Nagar, Manuali PO, 140306, India; Kumar, S., Indian Institute of Science Education and Research, Mohali, Department of Biological Sciences, Knowledge City, Sector 81, SAS Nagar, Manuali PO, 140306, India, Laboratory of Biochemistry and Genetics, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Bethesda, MD  20892, United States; Bachhawat, A.K., Indian Institute of Science Education and Research, Mohali, Department of Biological Sciences, Knowledge City, Sector 81, SAS Nagar, Manuali PO, 140306, India; Pandit, S.B., Indian Institute of Science Education and Research, Mohali, Department of Biological Sciences, Knowledge City, Sector 81, SAS Nagar, Manuali PO, 140306, India","Background: Knowledge of catalytic residues can play an essential role in elucidating mechanistic details of an enzyme. However, experimental identification of catalytic residues is a tedious and time-consuming task, which can be expedited by computational predictions. Despite significant development in active-site prediction methods, one of the remaining issues is ranked positions of putative catalytic residues among all ranked residues. In order to improve ranking of catalytic residues and their prediction accuracy, we have developed a meta-approach based method CSmetaPred. In this approach, residues are ranked based on the mean of normalized residue scores derived from four well-known catalytic residue predictors. The mean residue score of CSmetaPred is combined with predicted pocket information to improve prediction performance in meta-predictor, CSmetaPred_poc. Results: Both meta-predictors are evaluated on two comprehensive benchmark datasets and three legacy datasets using Receiver Operating Characteristic (ROC) and Precision Recall (PR) curves. The visual and quantitative analysis of ROC and PR curves shows that meta-predictors outperform their constituent methods and CSmetaPred_poc is the best of evaluated methods. For instance, on CSAMAC dataset CSmetaPred_poc (CSmetaPred) achieves highest Mean Average Specificity (MAS), a scalar measure for ROC curve, of 0.97 (0.96). Importantly, median predicted rank of catalytic residues is the lowest (best) for CSmetaPred_poc. Considering residues ranked ?20 classified as true positive in binary classification, CSmetaPred_poc achieves prediction accuracy of 0.94 on CSAMAC dataset. Moreover, on the same dataset CSmetaPred_poc predicts all catalytic residues within top 20 ranks for ~73% of enzymes. Furthermore, benchmarking of prediction on comparative modelled structures showed that models result in better prediction than only sequence based predictions. These analyses suggest that CSmetaPred_poc is able to rank putative catalytic residues at lower (better) ranked positions, which can facilitate and expedite their experimental characterization. Conclusions: The benchmarking studies showed that employing meta-approach in combining residue-level scores derived from well-known catalytic residue predictors can improve prediction accuracy as well as provide improved ranked positions of known catalytic residues. Hence, such predictions can assist experimentalist to prioritize residues for mutational studies in their efforts to characterize catalytic residues. Both meta-predictors are available as webserver at: http://14.139.227.206/csmetapred/. © 2017 The Author(s).",Active site residues; Catalytic residue prediction; Meta-approach,Benchmarking; Classification (of information); Enzymes; Active site residues; Catalytic residue; Computational predictions; Experimental characterization; Experimental identification; Meta-approach; Prediction performance; Receiver operating characteristics; Forecasting; benchmarking; catalysis; classification; consensus; prediction; quantitative analysis; recall; receiver operating characteristic,"Pandit, S.B.; Indian Institute of Science Education and Research, Mohali, Department of Biological Sciences, Knowledge City, Sector 81, India; email: shashibp@iisermohali.ac.in",,BioMed Central Ltd.,14712105,,BBMIC,,English,BMC Bioinform.,Article,,Scopus,2-s2.0-85038911004
"Manoj Kumar P., Surya C.M., Gopi V.P.",57202643339;57202646657;36537070400;,Identification of ayurvedic medicinal plants by image processing of leaf samples,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,231,238,,1,10.1109/ICRCICN.2017.8234512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048965837&doi=10.1109%2fICRCICN.2017.8234512&partnerID=40&md5=c847c46ff00bb5af21768eec7aa64e5b,"Department of Electronics and Communication Engineering, Government Engineering College, Wayanad, Kerala, India","Manoj Kumar, P., Department of Electronics and Communication Engineering, Government Engineering College, Wayanad, Kerala, India; Surya, C.M., Department of Electronics and Communication Engineering, Government Engineering College, Wayanad, Kerala, India; Gopi, V.P., Department of Electronics and Communication Engineering, Government Engineering College, Wayanad, Kerala, India","Identification of the correct medicinal plants that goes in to the preparation of a medicine is very important in ayurvedic medicinal industry. The main features required to identify a medicinal plant is its leaf shape, colour and texture. Colour and texture from both sides of the leaf contain deterministic parameters to identify the species. This paper explores feature vectors from both the front and back side of a green leaf along with morphological features to arrive at a unique optimum combination of features that maximizes the identification rate. A database of medicinal plant leaves is created from scanned images of front and back side of leaves of commonly used ayurvedic medicinal plants. The leaves are classified based on the unique feature combination. Identification rates up to 99% have been obtained when tested over a wide spectrum of classifiers. The above work has been extended to include identification by dry leaves and a combination of feature vectors is obtained, using which, identification rates exceeding 94% have been achieved. © 2017 IEEE.",classification; feature extraction; morphological features; optimization; Plant identification; texture features,Artificial intelligence; Classification (of information); Feature extraction; Image processing; Optimization; Feature vectors; Identification rates; Medicinal plants; Morphological features; Optimum combination; Plant identification; Texture features; Unique features; Plants (botany),,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048965837
"Abdulkadhar S., Murugesan G., Natarajan J.",57191280552;57191277485;55372581000;,Recurrent convolution neural networks for classification of protein-protein interaction articles from biomedical literature,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,192,197,,,10.1109/ICRCICN.2017.8234505,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049027442&doi=10.1109%2fICRCICN.2017.8234505&partnerID=40&md5=3b2c543552696f8562c553b64837d8c2,"Data Mining and Text Mining Lab, Department of Bioinformatics, Bharathiar University, Coimbatore, Tamilnadu, India","Abdulkadhar, S., Data Mining and Text Mining Lab, Department of Bioinformatics, Bharathiar University, Coimbatore, Tamilnadu, India; Murugesan, G., Data Mining and Text Mining Lab, Department of Bioinformatics, Bharathiar University, Coimbatore, Tamilnadu, India; Natarajan, J., Data Mining and Text Mining Lab, Department of Bioinformatics, Bharathiar University, Coimbatore, Tamilnadu, India","Text classification (TC) is a task that assigns a text to one or more classes and predefined categories. Constructing text classifiers with high accuracy is a vital task in biomedical field, given the wealth of information hidden in unlabelled documents. Because of large feature spaces, traditionally discriminative approaches, such as logistic regression and support vector machines with n-gram and semantic features have been utilizedfor biomedical text classification. In this study, we propose Recurrent Convolution Neural Networks (RCNN) based automated technique for classifying protein-protein interaction (PPI) articles. In RCNN model we utilized a recurrent structure to detain the contextual information from word embedding features. Max pooling layer was configured to extract important semantic keywords from the text. We evaluated our approach on two benchmark PPI datasets BioCreative II and BioCreative III. An experimental results show that RCNN based protein-protein interaction classification approach performs better than other state of the art approaches. © 2017 IEEE.",BioCreative; protein-protein interaction; recurrent convolution neural networks; text classification; word embedding features,Convolution; Proteins; Recurrent neural networks; Semantics; Text processing; Vector spaces; BioCreative; Convolution neural network; Protein-protein interactions; Text classification; Word embedding; Classification (of information),,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049027442
"Bhattacharjee S., Singh Y.J., Ray D.",57202684065;55001892600;14023170300;,Comparative performance analysis of machine learning classifiers on ovarian cancer dataset,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,213,218,,1,10.1109/ICRCICN.2017.8234509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049036463&doi=10.1109%2fICRCICN.2017.8234509&partnerID=40&md5=b79b4db3b759279184623e234a5d3e54,"National Institute of Electronics and Information Technology (NIELIT), Jadavpur University, Kolkata, India; Indian Institute of Technology, Indian School of Mines, Dhanbad, India","Bhattacharjee, S., National Institute of Electronics and Information Technology (NIELIT), Jadavpur University, Kolkata, India; Singh, Y.J., National Institute of Electronics and Information Technology (NIELIT), Jadavpur University, Kolkata, India; Ray, D., Indian Institute of Technology, Indian School of Mines, Dhanbad, India","Machine learning classifiers help physicians to make near-perfect diagnoses, minimizing costs and time. Since medical data usually contains a high degree of uncertainty and ambiguity, proper ordering and classification require a proper comparative performance analysis of machine learning classifiers. Machine learning classifiers are applied on the Ovarian Cancer Dataset. Ovarian cancer is the fifth leading cause of cancer-related death among women, and is the deadliest of gynecological cancers. The mortality rate of ovarian cancer ranks first. Thus, early diagnosis and treatment are critical for improving the patients' cure rate and prolonging their survival. Here we have investigated Mass spectrometry (MS) field data to develop a computer-aided system for the purpose. Using machine learning techniques, data is classified in different categories to identify benign and malignant cancerous cells and a comparative study has been done to identify the most suitable technique under different operational conditions and datasets. Our Comparative studies show that the Multilayer Perceptron (MLP) is the best options for such detection considering its performance metrics such as Accuracy, Sensitivity, Specificity and Errors. © 2017 IEEE.",Biomarkers; Machine Learning; Mass spectrometry; Ovarian Cancer; Proteomics,Artificial intelligence; Biomarkers; Classification (of information); Diagnosis; Diseases; Mass spectrometry; Molecular biology; Patient treatment; Uncertainty analysis; Comparative performance analysis; Computer-aided systems; Degree of uncertainty; Machine learning techniques; Multi layer perceptron; Operational conditions; Ovarian cancers; Proteomics; Learning systems,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049036463
