Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Anbuchelian S., Sowmya C.M., Ramesh C.",55320500700;57200116245;57196656241;,Efficient and secure auditing scheme for privacy preserving data storage in cloud,2017,Cluster Computing,,,,1,9,,,10.1007/s10586-017-1486-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039724225&doi=10.1007%2fs10586-017-1486-z&partnerID=40&md5=b086d80a552c9344939e0f50ea438fe5,"Ramanujan Computing Centre, Anna University, Chennai, 600 025, India; Department of CSE, Kalasalingam Academy of Research and Education, Krishnankoil, 626 126, India","Anbuchelian, S., Ramanujan Computing Centre, Anna University, Chennai, 600 025, India; Sowmya, C.M., Department of CSE, Kalasalingam Academy of Research and Education, Krishnankoil, 626 126, India; Ramesh, C., Ramanujan Computing Centre, Anna University, Chennai, 600 025, India","An on-demand computing in which data is stored in a remote manner and provision of services is from a pool of resources of computing that is shared is known as Cloud computing. The cloud computing fulfills the need of store and oversee show. Though to get to and secure information, numerous exceptional advancements like parallel and guide diminish strategies are accessible. The burden of usage from maintenance and storage of native data is eliminated and the owner additionally benefits from elimination of the responsibility of security and storage (Gourkhede and Theng, 2014 fourth international conference on communication systems and network technologies (CSNT), pp 677–680, 2014; Modi, J Supercomput 63(2):561–592, 2013; Smys and Bala, Clust Comput 15(3):211–222, 2012). In order to ensure modification of the accuracy of the on-demand data and its due verification on the cloud owners’ behalf, a methodology that is innovative is needed. The encryption and file split up is done using a novel secure cryptography hashing algorithm. Once the data is uploaded the user is provided with a private and public key for trustworthy retrieval of the data file. Those keys are generated using a proposed modified RSA cryptosystem algorithm. A multilevel hash tree algorithm is used to efficiently audit the data file occasionally. The implementation and therefore the results show the potency and efficiency of the proposed algorithm compared to the existing algorithm. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Cloud service provider; Cloud storage; Data dynamics; Integrity and confidentiality; Third party auditor,Cloud computing; Cryptography; Data privacy; Digital storage; Cloud service providers; Cloud storages; Data dynamics; Integrity and confidentiality; Third parties; Trees (mathematics),"Anbuchelian, S.; Ramanujan Computing Centre, Anna UniversityIndia; email: anbuchelianrcc@gmail.com",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039724225
"Kalpana S., Chandramathi S.",57188721246;55874038700;,Authentication based on blind signature and ring signature algorithms during vertical handover in heterogeneous wireless networks,2017,Cluster Computing,,,,1,11,,,10.1007/s10586-017-1549-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039551477&doi=10.1007%2fs10586-017-1549-1&partnerID=40&md5=80f12bb638601c27d9c4508345192c32,"Department of Information Technology, Sri Krishna College of Engineering and Technology, Coimbatore, Tamil Nadu  641008, India; Department of Electronics and Communication Engineering, SNS College of Technology, Coimbatore, Tamil Nadu, India","Kalpana, S., Department of Information Technology, Sri Krishna College of Engineering and Technology, Coimbatore, Tamil Nadu  641008, India; Chandramathi, S., Department of Electronics and Communication Engineering, SNS College of Technology, Coimbatore, Tamil Nadu, India","In the present 4G era, with the help of vertical handover (VHO), mobility and handover management are handled effectively across heterogeneous network as seamless and ubiquitous connections. The decision making process of VHO selects the best optimal access point. The research proposes a three tier model for handover and proposes two authentication algorithms, based on blind and ring signature, used during execution of VHO. The VHO model is developed in such a way that multiple parameters are used in every stage which includes selection of candidate networks during discovery, mathematical based decision making and authenticated execution. The network system allows the connections to be switched fairly without break or loss of QoS by properly combining the handover execution with a fair authentication procedure. This reduces unfairness and repudiation coming from distrusted network users. Our proposed model ensures continuous quality service through VHO bringing the solution in terms of correctness and efficiency. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Authentication; Blind signature; Heterogeneous; Ring signature; Standard deviation,Cryptography; Decision making; Heterogeneous networks; Radio systems; Wireless networks; Authentication algorithm; Blind signatures; Decision making process; Heterogeneous; Heterogeneous wireless network; Optimal access points; Ring signatures; Standard deviation; Authentication,"Kalpana, S.; Department of Information Technology, Sri Krishna College of Engineering and TechnologyIndia; email: kalpana.skcet@gmail.com",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039551477
"Raj P.T.V., Vishvaksenan K.S.",57191581224;35800425000;,Performance of image transmission over MC-CDMA based on super resolution technique,2017,Cluster Computing,,,,1,9,,,10.1007/s10586-017-1537-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039071844&doi=10.1007%2fs10586-017-1537-5&partnerID=40&md5=0d08f0a7b366a0ee3dec122aabae5589,"SSN College of Engineering, Chennai, 603110, India","Raj, P.T.V., SSN College of Engineering, Chennai, 603110, India; Vishvaksenan, K.S., SSN College of Engineering, Chennai, 603110, India","Multi-carrier code-division-multiple-access (MC-CDMA) is a promising technique to obtain high data rate in wireless communication. Contemplation of medical image transmission for various patient’s information using MC-CDMA system through wireless media is discussed. Arnold cat map encryption algorithm is ensured to enhance the image transmission securely. At each mobile station, transmitted bit stream of encrypted images is estimated using minimum-mean-square error (MMSE) algorithm. The picture quality is ensured at the receiver by adopting super resolution through sparse technique. The performance of considered system through stanford channel model specification is illustrated. PSNR metric is also considered for image transmission. From the analysis, it is observed that considered MC-CDMA system with encryption algorithm and sparse based super resolution technique mitigates multi-user interference effects while retaining the quality of individual medical images. Further, it is witnessed that the channel encoded proposed system’s performance achieves the promising bit-error-rate for MMSE receiver. Furthermore, from the simulation it is discerned that the computational time for super resolution is minimized using considered sparse technique. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Arnold cat map (ACM); Code division multiple access (CDMA); Integer wavelet transform (IWT); Orthogonal frequency-division-multiplexing (OFDM); Rayleigh-fading channel; Super resolution (SR),Bit error rate; Cryptography; Fading channels; Image enhancement; Imaging systems; Mean square error; Medical imaging; Medical information systems; Multicarrier modulation; Optical resolving power; Orthogonal frequency division multiplexing; Radio communication; Rayleigh fading; Signal receivers; Turbo codes; Wavelet transforms; Wireless telecommunication systems; Cat map; Encryption algorithms; Integer wavelet transforms; Minimum mean square error algorithms; Multi-user interference; Multicarrier code-division multiple access; Super resolution; Wireless communications; Code division multiple access,"Raj, P.T.V.; SSN College of EngineeringIndia; email: vasanthrajpt@ssn.edu.in",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039071844
"Salma B.U., Lawrence A.A.",57200068796;7203042119;,Improved group key management region based cluster protocol in cloud,2017,Cluster Computing,,,,1,13,,,10.1007/s10586-017-1455-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039057344&doi=10.1007%2fs10586-017-1455-6&partnerID=40&md5=455727582b832d36fe58ded249e60bb0,"Computer Science, Bharathiar University, Coimbatore, India; Computer Science and Engineering, Rajiv Gandhi Institute of Technology, Bangalore, India","Salma, B.U., Computer Science, Bharathiar University, Coimbatore, India; Lawrence, A.A., Computer Science and Engineering, Rajiv Gandhi Institute of Technology, Bangalore, India","Group key management protocol (GKMP) is an emergent protocol for secured group communication services like videoconferencing, video on demand, etc. GKMP provides the creation and distribution of keys within groups. The intervention of a centralized key manager is avoided with this technique. To improve the security in multicast environments, GKMP effectively combines region-clustering approach based on the theory of hyper sphere and re-encryption using projective geometry. This forms a region based cluster protocol. Security is handled in an effective way through digital signature technique namely EdDSA and projective geometry. This paper concentrates on applying the intelligent security algorithm over the group controller in a distributed environment. The comparison with conventional techniques prove that the proposed algorithm outperforms well in terms of improved security and reduced overhead in multicast environments. The region based cluster protocol scheme increases the scalability of GKMP scheme in cloud environments. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Clusters; Digital signature; Group controller; Group key management; Multicast,Authentication; Cryptography; Electronic document identification systems; Multicasting; Video conferencing; Clusters; Conventional techniques; Distributed environments; Group communications; Group controllers; Group key management; Group key management protocols; Intelligent security; Video on demand,"Salma, B.U.; Computer Science, Bharathiar UniversityIndia; email: ummisa2909@gmail.com",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039057344
"Hossain K., Jana S., Mukherjee S., Parekh R.",36994493800;56645866300;57203490019;22980725400;,A novel approach to secure biomedical images and videos for transmission,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,120,125,,,10.1109/ICRCICN.2017.8234492,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048997851&doi=10.1109%2fICRCICN.2017.8234492&partnerID=40&md5=a63d1b8e0113bac728eba433635af9a0,"School of Education Technology, Jadavpur University, Kolkata, India","Hossain, K., School of Education Technology, Jadavpur University, Kolkata, India; Jana, S., School of Education Technology, Jadavpur University, Kolkata, India; Mukherjee, S., School of Education Technology, Jadavpur University, Kolkata, India; Parekh, R., School of Education Technology, Jadavpur University, Kolkata, India","Digital representation of biomedical images and videos has grown enormously in scope and gained importance in recent years. Preserving security and integrity in wireless transmission of biomedical images and videos is an utmost challenge. Manipulation of sensitive biomedical data in the path of transmission can mislead critical diagnosis and treatment. To overcome this, multi-level security is provided by applying encryption and stegonagraphy techniques to protect biomedical images and videos. In the proposed approach, biomedical images are considered to be RGB images and each segmented video frames are treated as RGB images. Discrete Cosine Transform (DCT), Pixel flipping and Least Significant Bit (LSB) substitution mechanisms are applied to form the stego-image followed by image encryption that increases robustness and hiding technique. Original images and videos can be retrieved by using key-based decryption algorithm, LSB, and Pixel flipping mechanism. © 2017 IEEE.",Biomedical data; Cryptography; DCT; Encrypted video frame; LSB; Pixel flipping; Steganography; Stego-image,Artificial intelligence; Cryptography; Discrete cosine transforms; Pixels; Steganography; Biomedical data; Digital representations; Discrete Cosine Transform(DCT); Least significant bit (LSB) substitution; Multi-level security; Stego image; Video frame; Wireless transmissions; Image compression,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048997851
"Das R., Dutta S.",26633650000;8348043100;,An approach for secured image encryption scheme using user defined operator based steganographic technique with pixels repositioning schemes,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,309,314,,,10.1109/ICRCICN.2017.8234526,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048968008&doi=10.1109%2fICRCICN.2017.8234526&partnerID=40&md5=9db7d46cab3e26bbe55cb180959e62d7,"Department of Computer Applications, Haldia Institute of Technology, Haldia, India; Department of Computer Applications, Dr. B. C. Roy Engineering College, Durgapur, India","Das, R., Department of Computer Applications, Haldia Institute of Technology, Haldia, India; Dutta, S., Department of Computer Applications, Dr. B. C. Roy Engineering College, Durgapur, India","Steganography is the practice of concealing information of one object within other non secret object. We replace least significant bits from enveloped image with the bits of original image at the time of LSB based image steganography. This approach is not as secured as retrieving the least significant bits from the enveloped image will provide all the information of original image. So in the proposed system, we rearrange all the pixels of the original and the enveloped image using prime and non-prime positions of the pixels. Again we reposition all the pixels using one of the user defined pixel repositioning algorithms (PRONE (positional reverse odd normal even), PRENO (positional reverse even normal odd), CRENO (continuous reverse even normal odd), CRONE (continuous reverse odd normal even)) chosen by the user for original and enveloped image separately. Lastly we perform user defined BWMAS operation (Bitwise Masking & Alternate Sequence) between the bits of original image and the least significant bits of the enveloped image. As all the pixels of both enveloped and original images are repositioned, so the pixels from original image are chosen actually in non sequential manner and the pixels, taken from enveloped image for BWMAS operation are also in non sequential manner. Only the proper sequences of the encrypted pixels defined by the user defined algorithms are being able to retrieve the information of the original image. We introduce Bitwise Masking & Alternate Sequence operation for the first time in state of XOR operation. Thus an attempt is made to increase the security of the image encryption system. © 2017 IEEE.",Image Steganography; Pixel Repositioning Scheme; Prime/Non Prime pixel sequencing; User defined operator (BWMAS),Artificial intelligence; Cryptography; Image processing; Steganography; Image encryption scheme; Image encryptions; Image steganography; Least significant bits; Original images; Prime/Non Prime pixel sequencing; Sequential manners; User defined operator (BWMAS); Pixels,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048968008
"Saha T., Sengupta S., Dasgupta T.",57202643156;57202641874;56308805300;,Chaotic cipher based spatial domain steganography with strong resistance against statistical attacks,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,365,370,,,10.1109/ICRCICN.2017.8234536,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048987891&doi=10.1109%2fICRCICN.2017.8234536&partnerID=40&md5=d0dfeb80edab6b3cd12ce6c3a74f4975,"Department of Electronics and Communication Engineering, Techno India University, West-Bengal, India; Department of Electrical Engineering, Jadavpur University, Kolkata, India","Saha, T., Department of Electronics and Communication Engineering, Techno India University, West-Bengal, India; Sengupta, S., Department of Electronics and Communication Engineering, Techno India University, West-Bengal, India; Dasgupta, T., Department of Electrical Engineering, Jadavpur University, Kolkata, India","Steganography is a form of secret communication in which a secret message (text, image) is hidden inside a carrier message (text, image). While in cryptography, the goal is to make everything unreadable to the ones who do not know the password, in steganography, on the other hand, the goal is to camouflage a message inside an apparently innocent carrier. In other words, while cryptography conceals the message itself, steganography conceals the existence of the message. Since, this form of communication potentially attracts unsavoury people to secretly hide messages in plain sight, there have been many efforts on different fronts to detect the possibility of the existence of steganography in images and other multimedia objects. Most of such algorithms use different statistical analysis based attacks for detecting potential cases of steganography. In light of this, the present methodology demonstrates the development of a set of algorithms designed to implement a spatial domain steganography technique that is capable of withstanding such attacks. The merits of the present methodology has also been assessed quantitatively. © 2017 IEEE.",chaotic systems; cryptography; mathematical morphology; Shannon entropy; Steganography,Artificial intelligence; Chaotic systems; Cryptography; Mathematical morphology; Chaotic ciphers; Multimedia object; Secret communications; Secret messages; Shannon entropy; Spatial domain steganography; Statistical attacks; Steganography,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048987891
"Kar M., Mandal M.K., Nandi D.",56417407800;56577514400;55558603900;,RGB image encryption using hyper chaotic system,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,354,359,,,10.1109/ICRCICN.2017.8234534,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048954378&doi=10.1109%2fICRCICN.2017.8234534&partnerID=40&md5=45d9d0b2f1e1b8de026cb8a98e0d3f81,"Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Department of Computer Science and Engineering, National Institute of Technology Durgapur, Durgapur, 713209, India","Kar, M., Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Mandal, M.K., Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Nandi, D., Department of Computer Science and Engineering, National Institute of Technology Durgapur, Durgapur, 713209, India","In the modern digital era, the storage of digital data in multi-users systems and transmission over the internet is prime important in the society. The cryptographic technique is one of the possible solutions for protecting digital information for unauthorized uses. In this technique, the encryption algorithm should be simple to design and implementation. In the proposed article, a novel color image encryption algorithm is presented employing a 4D Lorenz system. The encryption technique is very sensitive to the input 256 bits key and input plane image. Initially, the color image is split into three different channels R, G, and B. Next each channel is encrypted separately by employing diffusion and confusion mechanism. Finally, all three channels R, G, and B are combined to produce the required encrypted image. Various security tests have been conducted to prove the validity of the presented encryption technique. The encryption time was considerably less as compared to other reported works. © 2017 IEEE.",chaos; decryption; encryption; information entropy; noise attack; NPCR & UACI,Artificial intelligence; Chaos theory; Chaotic systems; Digital storage; Image processing; Color image encryptions; Cryptographic techniques; decryption; Design and implementations; Encryption algorithms; Hyper-chaotic systems; Information entropy; noise attack; Cryptography,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048954378
"Pramod C.P., Jaiswal M.",57201914413;57201907176;,An advanced AES algorithm using swap and 400 bit data block with flexible S-Box in Cloud Computing,2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017",2017-January,,,428,433,,,10.1109/CCAA.2017.8229888,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046420318&doi=10.1109%2fCCAA.2017.8229888&partnerID=40&md5=976a9496f1c426bd5c395f3b15d7f448,"Dept. of C.S.E., Guru Ghasidas Vishwavidyalaya, Bilaspur, Chhattisgarh, India","Pramod, C.P., Dept. of C.S.E., Guru Ghasidas Vishwavidyalaya, Bilaspur, Chhattisgarh, India; Jaiswal, M., Dept. of C.S.E., Guru Ghasidas Vishwavidyalaya, Bilaspur, Chhattisgarh, India","This paper suggests a new Advance Encryption Standard (AES) encryption technique. New Algorithm uses 400 bit block encryption scheme and a key dependent rotated S-Box which varies according to the 200 bit key provided by the user. Fixed S-box allows hackers to study S-box and find weaker points, whereas using key-dependent S-Box, it is harder for attacker to do any offline analysis of an attack on one particular set of S-boxes. This helps to store data in cloud securely and to transfer data without any obstruction or modification in Cloud Computing and big data. © 2017 IEEE.",AES; Block Encryption; Cloud Computing; Data Transmission; Encryption Techniques; S-Box Rotation; Swap,Big data; Cloud computing; Data communication systems; Personal computing; Advance encryption standards (AES); AES algorithms; Block encryption; Data blocks; Encryption technique; Off-line analysis; S-boxes; Swap; Cryptography,,Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046420318
"D'souza F.J., Panchal D.",55574992900;56785961100;,Advanced encryption standard (AES) security enhancement using hybrid approach,2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017",2017-January,,,647,652,,1,10.1109/CCAA.2017.8229881,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046480847&doi=10.1109%2fCCAA.2017.8229881&partnerID=40&md5=3a6aebad2b835572e38a1286551cd388,"Computer Engineering, St. Francis Institute of Technology, Mumbai, India","D'souza, F.J., Computer Engineering, St. Francis Institute of Technology, Mumbai, India; Panchal, D., Computer Engineering, St. Francis Institute of Technology, Mumbai, India","Security is major concern in data handling, communication, message transmission and electronic transaction on public network. Cryptography (secret writing) is the encryption process of transformation of messages to make information secure and resistant to attack. AES is symmetric encryption standard recommended by NIST. AES is proved to be highly secure, faster and strong encryption algorithm. AES is used commonly because of its great competence and easiness. But in recent years cyber-attacks are continuously developing, therefore security specialists must stay busy in the lab inventing new schemes to keep attackers at bay. Possible attacks on symmetric algorithm can be Brute-force Attack, Differential Attack, Algebraic Attack and Linear Attack. So to provide strong security in message transmission, AES algorithm with hybrid approach of Dynamic Key Generation and Dynamic S-box Generation is proposed. In hybrid approach first we will add more complexity in data to increase Confusion and Diffusion in Cipher text by using Dynamic Key Generation and then by using Dynamic S-Box Generation we will make it difficult for attacker to do any down study of static set of S-box. © 2017 IEEE.",AES; Decryption; Dynamic Key; Dynamic S-box; Encryption; S-box,Data privacy; Network security; Advanced Encryption Standard; Decryption; Dynamic keys; Dynamic s-boxes; Electronic transaction; Encryption algorithms; S-box; Security enhancements; Cryptography,,Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046480847
