Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Jingle I.B.J., Celin J.J.A.",57200137904;56466077700;,Mining optimized positive and negative association rule using advance ABC algorithm,2017,Journal of Theoretical and Applied Information Technology,95,24,,6846,6855,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039914615&partnerID=40&md5=a5b25fe6515f8497c796a3c6c5d62e3e,"Noorul Islam University, Department of CSETamilnadu, India; Hindustan Arts and Science College, Department of computer ApplicationTamilnadu, India","Jingle, I.B.J., Noorul Islam University, Department of CSETamilnadu, India; Celin, J.J.A., Hindustan Arts and Science College, Department of computer ApplicationTamilnadu, India","One of the imperative mining used in data mining is the association rule mining which mines many eventual information and association from outsized databases. The Association rule mining has many research challenges. The generation of accurate frequent and infrequent itemset by reducing the candidate itemset and reducing the space in the memory is one of the challenges. The generation of positive and negative association rule with high confidence and high quality is another challenge. The next research challenge is to mine an optimized positive and negative association rule. Numerous existing algorithms have been used to overcome these challenges but many such algorithms cause data loss, lack of efficiency and accuracy which also results in redundant rules and loss of space in memory. The major issue in using this analytic optimizing method is specifying the activist initialization limit were the quality of the association rule relays on. In the Proposed work, it is proved that an efficient optimized Positive and negative association rule can be mined by the proposed Advance ABC algorithm. The advance ABC (Artificial Bee Colony) algorithm is swarm intelligence based algorithm highly efficient optimization algorithm. The Advance ABC Meta heuristic technique is stimulated through the natural food foraging behaviour of the honey bee creature. The result shows that the proposed algorithm can mine incredibly high confidence non redundant positive and negative association rule with less time. © 2005 – ongoing JATIT & LLS.",Accurate multi level and multi support; Advanceabcalgorithm; Apriori algorithm; Association rule mining; Data mining; GPNAR,,,,Asian Research Publishing Network,19928645,,,,English,J. Theor. Appl. Inf. Technol.,Article,,Scopus,2-s2.0-85039914615
Krishnamoorthy S.,24450494400;,HMiner: Efficiently mining high utility itemsets,2017,Expert Systems with Applications,90,,,168,183,,1,10.1016/j.eswa.2017.08.028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027585254&doi=10.1016%2fj.eswa.2017.08.028&partnerID=40&md5=4b20a0ce915f701f47a8255543b85d43,"Indian Institute of Management, Ahmedabad, India","Krishnamoorthy, S., Indian Institute of Management, Ahmedabad, India","High utility itemset mining problem uses the notion of utilities to discover interesting and actionable patterns. Several data structures and heuristic methods have been proposed in the literature to efficiently mine high utility itemsets. This paper advances the state-of-the-art and presents HMiner, a high utility itemset mining method. HMiner utilizes a few novel ideas and presents a compact utility list and virtual hyperlink data structure for storing itemset information. It also makes use of several pruning strategies for efficiently mining high utility itemsets. The proposed ideas were evaluated on a set of benchmark sparse and dense datasets. The execution time improvements ranged from a modest thirty percent to three orders of magnitude across several benchmark datasets. The memory consumption requirements also showed up to an order of magnitude improvement over the state-of-the-art methods. In general, HMiner was found to work well in the dense regions of both sparse and dense benchmark datasets. © 2017 Elsevier Ltd",Data mining; Frequent itemset mining; High utility mining,Data mining; Data structures; Hypertext systems; Benchmark datasets; Frequent itemset mining; High utility itemset minings; High utility itemsets; Memory consumption; State-of-the-art methods; Three orders of magnitude; Utility mining; Heuristic methods,,,Elsevier Ltd,9574174,,ESAPE,,English,Expert Sys Appl,Article,,Scopus,2-s2.0-85027585254
"Padhy N., Singh R.P., Satapathy S.C.",56417506600;55608265800;16643664100;,Enhanced evolutionary computing based artificial intelligence model for web-solutions software reusability estimation,2017,Cluster Computing,,,,1,18,,1,10.1007/s10586-017-1558-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039729883&doi=10.1007%2fs10586-017-1558-0&partnerID=40&md5=17892d3deda98cfec0417ac4b8aded71,"Department of Computer Science and Engineering, Sri Satya Sai University of Technology and Medical Science (SSSUTM), Sehore, India; Department of Electronics and Communication Engineering, Sri Satya Sai University of Technology and Medical Science (SSSUTM), Sehore, India; Department of Computer Science and Engineering, PVP Siddhartha Institute of Technology, Vijayawada, India","Padhy, N., Department of Computer Science and Engineering, Sri Satya Sai University of Technology and Medical Science (SSSUTM), Sehore, India; Singh, R.P., Department of Electronics and Communication Engineering, Sri Satya Sai University of Technology and Medical Science (SSSUTM), Sehore, India; Satapathy, S.C., Department of Computer Science and Engineering, PVP Siddhartha Institute of Technology, Vijayawada, India","Ensuring the aging resilient software design can be of paramount significance to enable faultless software system. Particularly assessing reusability extent of the software components can enable efficient software design. The probability of aging proneness can be characterized based on key OO-SM like cohesion, coupling and complexity of a software component. In this paper, aging resilient software reusability prediction model is proposed for object oriented design based Web of Service (WoS) software systems. This work introduces multilevel optimization to accomplish a novel reusability prediction model. Considering coupling, cohesion and complexity as the software characteristics to signify aging proneness, six CK metrics; WMC, CBO, DIT, LCOM, NOC, and RFC are obtained from 100 WoS software. The extracted CK metrics are processed for min–max normalization that alleviates data-unbalancing and hence avoids saturation during learning. The 10-fold Cross-validation followed by outlier detection is considered to enrich data quality for further feature extraction. To reduce computational overheads RSA algorithm is applied. SoftAudit tool is applied to estimate reusability of each class, while binary ULR estimates calculates (reuse proneness) threshold. Applying different classification algorithms such as LM, ANN algorithms, ELM, and evolutionary computing enriched ANN reuse-proneness prediction has been done. The performance assessment affirms that AGA based ANN model outperforms other techniques and hence can be used for earlier aging-resilient reusability optimization for WoS software design. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Aging-resilient; ANN; Evolutionary computing; Software reusability prediction; Web of Service,Adhesion; Computer software; Computer software selection and evaluation; Data mining; Evolutionary algorithms; Feature extraction; Forecasting; Object oriented programming; Optimization; Reusability; Software design; Web services; 10-fold cross-validation; Classification algorithm; Computational overheads; Evolutionary computing; Multilevel optimization; Performance assessment; Software characteristic; Web of Service; Computer software reusability,"Padhy, N.; Department of Computer Science and Engineering, Sri Satya Sai University of Technology and Medical Science (SSSUTM)India; email: neelamadhabphd@gmail.com",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039729883
"Basha S.M., Rajput D.S.",57195586589;57189366629;,Evaluating the impact of feature selection on overall performance of sentiment analysis,2017,ACM International Conference Proceeding Series,,,,96,102,,,10.1145/3176653.3176665,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045507972&doi=10.1145%2f3176653.3176665&partnerID=40&md5=d4f5dd9a88d27f65373032ae536317ca,"VIT University, Vellore, India","Basha, S.M., VIT University, Vellore, India; Rajput, D.S., VIT University, Vellore, India","Now a days the importance of analyzing the hidden sentiments from user reviews playing a prominent role towards increasing profitability in any organization. To address the challenges being faced in analyzing the text information and transforming the same in to polarities values with an objective of saving time in understanding the public opinion on particular product or service. Traditionally, there are different approaches carried out in transforming text data in to values based on different features of Text. In our research we make use of Stanford CoreNLP, Alias-i's Lingpipe (uses Logistic regression for document classification), Senti WordNet and synthesize libraries from different sources to include several other techniques that are used for text mining to evaluate the impact of feature selection on overall sentiment analysis by scoring a sentences in a review using different scoring Techniques. we also included NTU Lib Linear to make use of linear SVM for document classification. The Features considered on our experiments are Term Frequency and N-Gram (1Gram & 2Gram) with Decision Tree as Prediction model to evaluate the Accuracy, Area under ROC Curve and Kappa value. Finally, Compared the polarities of the reviews obtained using three different sentiment scoring approaches. The findings in our research is, Term Frequency have good impact of (0.932) on classifying the sentiment, In contrast, 2Gram have an impact of (0.8505). © 2017 Association for Computing Machinery.",Alias-i's lingpipe; Sentiment analysis; SentiWordNet; Stanford CoreNLP; YTextMiner,Data mining; Decision trees; Feature extraction; Information retrieval systems; Knowledge engineering; Metadata; Natural language processing systems; Sentiment analysis; Social aspects; Alias-i's lingpipe; Area under roc curve (AUC); Document Classification; Logistic regressions; Scoring techniques; SentiWordNet; Stanford; YTextMiner; Text processing,,,Association for Computing Machinery,,9.78145E+12,,,English,ACM Int. Conf. Proc. Ser.,Conference Paper,,Scopus,2-s2.0-85045507972
"Das S., Kolya A.K.",57202083232;35230063600;,Sense GST: Text mining & sentiment analysis of GST tweets by Naive Bayes algorithm,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,239,244,,1,10.1109/ICRCICN.2017.8234513,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048982752&doi=10.1109%2fICRCICN.2017.8234513&partnerID=40&md5=228a4df02b536b9e125325c172f1b72f,"Dept. of Computer Science and Engg., RCC Institute of Information Technology, Kolkata, India","Das, S., Dept. of Computer Science and Engg., RCC Institute of Information Technology, Kolkata, India; Kolya, A.K., Dept. of Computer Science and Engg., RCC Institute of Information Technology, Kolkata, India","In this modern era of communication, people are always connected to the internet. Hence, everyone tends to express their opinions on social media or e-commerce websites about commercial products, movies, sports, social and geopolitical matters and even on government policies. These opinions reflect the corresponding person's view or sentiment about that particular matter, which ultimately leads to the formation of opinion polarity regarding a specific issue. In today's context, Twitter, Facebook or other social platforms often witness a lot of opinion waves regarding some of the today's most hot topics, and one of them surely is the introduction of Goods and Services Tax or GST in India. The rising sentiment analysis and opinion mining regarding this issue is helping researchers to understand the insight of public emotion. It can be also implemented to gain an idea of allover opinion polarity of people in this matter. GST was one of the most rending topic on social network platforms during Jun-July 2017, so in this paper, we present a simple and robust work to gather, analyze and graphically represent people's opinion about India's new taxation system using Naive Bayes algorithm. © 2017 IEEE.",GST; Machine Learning; Naive Bayes; Sentiment Analysis; Text Mining,Artificial intelligence; Classifiers; Learning systems; Natural language processing systems; Sentiment analysis; Social networking (online); Taxation; Text processing; Always-connected; Commercial products; E-commerce websites; Naive bayes; Naive-Bayes algorithm; Network platforms; Social media; Text mining; Data mining,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048982752
"Ahmed K., Hassanien A.E., Bhattacharyya S.",57188981676;57192178208;57201919601;,A novel chaotic chicken swarm optimization algorithm for feature selection,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,259,264,,,10.1109/ICRCICN.2017.8234517,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048962450&doi=10.1109%2fICRCICN.2017.8234517&partnerID=40&md5=6384f57db3b7c301723d86da44640d68,"Faculty of Computers and Information, Cairo University, Egypt; Scientific Research Group in Egypt (SRGE), Egypt; RCC Institute of Information Technology, Kolkata, 700 015, India","Ahmed, K., Faculty of Computers and Information, Cairo University, Egypt; Hassanien, A.E., Scientific Research Group in Egypt (SRGE), Egypt; Bhattacharyya, S., RCC Institute of Information Technology, Kolkata, 700 015, India","Feature selection is an important task in data mining, which aims to reduce the dimensionality of the data sets while at least maintaining the classification performance. Chicken swarm optimization algorithm (CSO) has been widely applied to feature selection because of its efficiency and effectiveness. However, since feature selection is a challenging task with a complex search space, CSO quickly gets stuck the local minimum problem. This paper aims to improve the CSO searching ability by applying logistic and tend chaotic maps to assist the CSO swarm in exploring the search space better. The proposed chaotic chicken swarm algorithm (CCSO)-based feature selection algorithm is compared with four feature selection algorithms on five benchmark data sets. A comparison among several types of popular classifiers is done to figure out the sensitivity of each classifier corresponding to the selected features and the dimension reduction. During iterations, the best fitness value shows remarkable improvement of the classification accuracy. © 2017 IEEE.",bio inspired swarm algorithm; Chaotic chicken swarm; chaotic maps; Feature selection; optimized supervised feature selection model; wrapper algorithm,Animals; Artificial intelligence; Chaotic systems; Classification (of information); Data mining; Evolutionary algorithms; Lyapunov methods; Optimization; Chaotic chicken swarm; Chaotic map; Classification accuracy; Classification performance; Complex search spaces; Feature selection algorithm; Swarm algorithms; Swarm optimization algorithms; Feature extraction,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048962450
"Paliwal K.K., Singh S., Gaba P.",35093156100;7406401376;57201902916;,Feature selection approach of hyperspectral image using GSA-FODPSO-SVM,2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017",2017-January,,,1070,1075,,,10.1109/CCAA.2017.8229954,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046470465&doi=10.1109%2fCCAA.2017.8229954&partnerID=40&md5=78fd2543939f5500dc83d81dd75e07f9,"Computer Science Department, Panipat Institute of Engineering and Technology, Samalkha, India","Paliwal, K.K., Computer Science Department, Panipat Institute of Engineering and Technology, Samalkha, India; Singh, S., Computer Science Department, Panipat Institute of Engineering and Technology, Samalkha, India; Gaba, P., Computer Science Department, Panipat Institute of Engineering and Technology, Samalkha, India",The aim of this paper is to classify the object in hyper spectral images which are high dimensional images and consists of many data channels. Another aim is to use machine learning classification algorithm like support vector machine (SVM) which is good for high dimensional data case. SVM provides a good accuracy of classification. A statistical model is developed to learn and classify hyper spectral data using the low dimensional representation. For this purpose we used a combination of evolutionary optimisation algorithms which are GSA (gravitational search algorithm) and FODPSO (finite order Darwinian particle swarm optimisation). © 2017 IEEE.,CPU processing time; DPSO; FODPSO; GSA; Kappa Coefficient; SVM,Clustering algorithms; Data mining; Particle swarm optimization (PSO); Spectroscopy; Accuracy of classifications; Cpu processing time; DPSO; FODPSO; Gravitational search algorithms; Kappa coefficient; Low-dimensional representation; Machine learning classification; Support vector machines,,Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046470465
"Mehrotra C., Chitransh N., Singh A.S.",57201877219;57201881642;56784706400;,Building blocks for visualanalytics,2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017",2017-January,,,1224,1228,,,10.1109/CCAA.2017.8229986,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046467800&doi=10.1109%2fCCAA.2017.8229986&partnerID=40&md5=97331431cb2079665506bba30a3a4fcc,"Computer Science Department, Galgotias University, Greater Noida, India","Mehrotra, C., Computer Science Department, Galgotias University, Greater Noida, India; Chitransh, N., Computer Science Department, Galgotias University, Greater Noida, India; Singh, A.S., Computer Science Department, Galgotias University, Greater Noida, India","The enormous amount of data being generated every day is a major issue for organisations. Analysing it and taking decisions from it is a major concern. Visual analytics can be a solution to visualize the data and draw better conclusions from data which was otherwise not possible. Instead of reports and written documents, graphics can play an important role in interpreting results. Visual analytics is a much researched topic nowadays. It is a very emerging field. This paper focuses on this field and the major building blocks of visual analytics on which the concept of visual analytics relies. The three building blocks are namely information visualization, interaction techniques and data analysis. © 2017 IEEE.",data analysis; visual analytics; visual data mining; visualization,Data handling; Data mining; Data reduction; Flow visualization; Information systems; Visualization; Building blockes; Information visualization; Interaction techniques; Visual analytics; Visual data mining; Written documents; Data visualization,,Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046467800
"Chauhan C., Sehgal S.",57201875699;56198495600;,Sentiment analysis on product reviews,2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017",2017-January,,,26,31,,,10.1109/CCAA.2017.8229825,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046349271&doi=10.1109%2fCCAA.2017.8229825&partnerID=40&md5=edce34a4f0e0d0ad66ff487f262adf4e,"Department of Computer Science and Engineering, Amity University, India","Chauhan, C., Department of Computer Science and Engineering, Amity University, India; Sehgal, S., Department of Computer Science and Engineering, Amity University, India","Sentiment analysis is used for Natural language Processing, text analysis, text preprocessing, Stemming etc. are the major research field in current time. Sentiment analysis using different techniques and tools for analyze the unstructured data in a manner that objective results can be generated from them. Basically, these techniques allow a computer to understand what is being said by humans. Sentiment analysis uses different techniques to determine the sentiment of a text or sentence. The Internet is a large repository of natural language. People share their thoughts and experiences which are subjective in nature. Many a time, getting suitable information about a product can became tedious for customers. Companies may not be fully aware of customer requirements. Product reviews can be analyzed to understand the sentiment of the people towards a particular topic. However, these are voluminous; therefore a summary of positive and negative reviews needs to be generated. In this paper, the main focus is on the review of algorithms and techniques used for extract feature wise summary of the product and analyzed them to form an authentic review. Future work will include more product reviews websites and will focus on higher level natural language processing tasks. Using best and new techniques or tool for more accurate result in which the system except only those keywords which are in dataset rest of the words are eliminated by the system. © 2017 IEEE.",Natural language processing; Part-of-speech tagging; polarity; Product reviews; Senti-word net; Sentiment analysis,Computational linguistics; Data mining; Sentiment analysis; Customer requirements; Part of speech tagging; polarity; Product reviews; Techniques and tools; Text preprocessing; Unstructured data; Word net; Natural language processing systems,,Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046349271
"Garg P., Garg H., Ranga V.",57136300000;57196054279;55599423900;,Sentiment analysis of the Uri terror attack using Twitter,2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017",2017-January,,,17,20,,,10.1109/CCAA.2017.8229812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046344476&doi=10.1109%2fCCAA.2017.8229812&partnerID=40&md5=addad651c97f6332cd70dd0270794e0c,"Department of Computer Engineering, National Institute of Technology KurukshetraHaryana, India","Garg, P., Department of Computer Engineering, National Institute of Technology KurukshetraHaryana, India; Garg, H., Department of Computer Engineering, National Institute of Technology KurukshetraHaryana, India; Ranga, V., Department of Computer Engineering, National Institute of Technology KurukshetraHaryana, India","With more and more people coming online, social media is becoming a medium for opinion sharing. On 18 September 2016, security forces were attacked by a group of four terrorists. In this paper, we study sentiments and survival of tweets post-terror attack by extracting tweets from Twitter. Factors like last retweet, number of retweets, number of favorites are used to study information flow of data posted on Twitter. Higher the number of retweets, higher is the reach. The event caused widespread reaction on social media. We discuss our results on sentiments along with the survival of tweets. © 2017 IEEE.",Machine Learning; NB-SVM; Sentiment Analysis; Twitter,Data mining; Learning systems; Sentiment analysis; Terrorism; Information flows; Retweet; Security forces; Social media; Terror attacks; Twitter; Social networking (online),,Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046344476
