Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Thakur P., Kumar A., Pandit S., Singh G., Satashia S.N.","57193120976;57198890835;55786615000;16040602600;55756695300;","Performance analysis of cooperative spectrum monitoring in cognitive radio network",2017,"Wireless Networks",,,,"1","9",,,"10.1007/s11276-017-1644-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039066195&doi=10.1007%2fs11276-017-1644-5&partnerID=40&md5=b8fabf392ccaa0a6e3ed0d5f62a718fa","Department of Electronics and Communication Engineering, Jaypee University of Information Technology, Waknaghat, 173215, India; Space Application Centre, Indian Space Research Organization, Ahmedabad, 380015, India","Thakur, P., Department of Electronics and Communication Engineering, Jaypee University of Information Technology, Waknaghat, 173215, India; Kumar, A., Department of Electronics and Communication Engineering, Jaypee University of Information Technology, Waknaghat, 173215, India; Pandit, S., Department of Electronics and Communication Engineering, Jaypee University of Information Technology, Waknaghat, 173215, India; Singh, G., Department of Electronics and Communication Engineering, Jaypee University of Information Technology, Waknaghat, 173215, India; Satashia, S.N., Space Application Centre, Indian Space Research Organization, Ahmedabad, 380015, India","The imperfect spectrum monitoring (SM) is a major obstacle to detect the emergence of primary user (PU) quickly during the cognitive users’ (CUs’) data transmission which results data-loss and introduces the interference at PU. The cooperation in CUs for SM is an effective solution to improve its performance.Therefore, in this paper, a scenario, where CUs can cooperate with each other for SM is presented and have analyzed the effect of cooperation on various performance metrics namely, the data-loss, interference efficiency, and energy efficiency. An algorithm is illustrated for the computation of data-loss under various conditions of the traffic intensity of PU and probability of SM error. Moreover, the closed-form expressions of these metrics are derived for the cooperative and non-cooperative SM. Further, the simulation results are presented for various scenarios of traffic intensity, probability of SM error and channel gain between the CUs’ transmitter to PU receiver. Furthermore, the Monte-Carlo simulation results are exploited to consider the random nature of the PUs’ traffic intensity as well as to support the numerically simulated results. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Cognitive radio; Data loss; Energy efficiency; Interference efficiency; Spectrum monitoring; Throughput","Energy efficiency; Intelligent systems; Monte Carlo methods; Throughput; Closed-form expression; Cognitive radio network; Data loss; Effective solution; Performance analysis; Performance metrics; Spectrum monitoring; Traffic intensity; Cognitive radio","Singh, G.; Department of Electronics and Communication Engineering, Jaypee University of Information TechnologyIndia; email: ghanshyam.singh@juit.ac.in",,"Springer New York LLC",10220038,,WINEF,,"English","Wireless Networks",Article in Press,,Scopus,2-s2.0-85039066195
"Thakur R., Kotagi V.J., Murthy C.S.R.","55839479800;57115487900;7102087090;","Resource allocation and cell selection framework for LTE-Unlicensed femtocell networks",2017,"Computer Networks","129",,,"273","283",,1,"10.1016/j.comnet.2017.10.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032215401&doi=10.1016%2fj.comnet.2017.10.004&partnerID=40&md5=d707dbf6585830a27c98293821551300","Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India","Thakur, R., Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India; Kotagi, V.J., Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India; Murthy, C.S.R., Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India","The availability of enormous bandwidth in 5 GHz WiFi band has advocated its use for the LTE communication. For this, LTE-Unlicensed (LTE-U) technology is standardized in 3GPP Release 12. The use of coexistence mechanism such as Listen-Before-Talk (LBT) can help protecting the quality of service of mobile users operating in the WiFi band by guaranteeing them channel access. Additionally, allocation of wireless resources to each mobile user in the WiFi band should be controlled to facilitate interference-free transmissions to other mobile users in the same band. In this paper, we propose two resource allocation techniques for femtocell networks which efficiently allocate resources such as spectrum and transmit power among competing mobile users in the LTE and WiFi bands. For the LTE band, we propose the use of spreading based spectrum and power allocation, and model the throughput of femtocells using a non-cooperative game theoretic framework. To improve the co-existence performance of femtocells operating in the WiFi band, we propose a Q-leaning based resource allocation technique for femtocell transmit power and duty cycle calculation. In a scenario where multiple base stations are available for user-base station association, considering only the signal strength to make association decision is not an optimal approach, specially when user load and available resources at base stations vary significantly with time. Considering this, we suggest a cell selection scheme that assigns mobile users to femtocells considering the bitrate they are expected to receive in both LTE and WiFi bands. Our resource allocation techniques, when combined with the proposed cell selection scheme, show a minimum improvement of 23.4% in network throughput and 19.6% reduction in energy consumption. This, in turn, also improves the energy efficiency of the network by at least 35%. © 2017 Elsevier B.V.","Cell selection; Energy efficiency; LTE-U femtocell network; Spectrum and power allocation; Spreading","Base stations; Cells; Cytology; Energy efficiency; Energy utilization; Femtocell; Game theory; Mobile telecommunication systems; Quality of service; Resource allocation; Wi-Fi; Wireless local area networks (WLAN); Cell selection; Duty-cycle calculations; Femtocell Networks; Noncooperative game; Optimal approaches; Power allocations; Resource allocation techniques; Spreading; Wireless telecommunication systems","Thakur, R.; Department of Computer Science and Engineering, Indian Institute of Technology Madras, 600036, India; email: rahult@cse.iitm.ac.in",,"Elsevier B.V.",13891286,,CNETD,,"English","Comput. Networks",Article,,Scopus,2-s2.0-85032215401
"Dhivvya J.P., Jayakrishnan V.M., Thomas E.K., Ramesh M.V., Divya P.","57195362374;55602758900;57202280321;55411983300;56430791100;","Towards energy conservation in campus using Wireless Sensor Network",2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings","2017-January",,,"1","6",,,"10.1109/GHTC.2017.8239336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047760746&doi=10.1109%2fGHTC.2017.8239336&partnerID=40&md5=b8b06ad1c63444ff99d7364eb6463123","Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","Dhivvya, J.P., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Jayakrishnan, V.M., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Thomas, E.K., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Ramesh, M.V., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Divya, P., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","Educational institutions, should set a role model, in the reduction of the carbon foot print, to protect mother earth. In this paper we focus on designing a Wireless Sensor Network (WSN) based system, which can efficiently conserve the energy of class rooms and labs. We have identified temperature, light, pressure sensors to be utilized for this application. Infra Red receiver and transmitter is used to detect an event whether a person is leaving the room or not. Server room is checked for humidity, temperature, smoke by an integrated sensor, which sends the sensed data to the cloud. So all the sensors send the data periodically to the cloud, which processes the collected data and send the triggered response to the necessary output device and message the facility manager to take administrative actions. The status of each room in each floor is ultimately received at the central monitoring station at the ground floor of the building. The proposed system is designed in such a manner, it can be replicated cost-efficiently in multiple buildings within a campus by using low cost sensors and with the existing communication devices. Therefore this Green Campus System (GCS) design based on wireless sensor networks help in meeting the target of sustainable cities by reducing the overall energy consumption and improving the efficiency in the energy resource management. © 2017 IEEE.","Energy conservation in buildings; Wireless sensor network","Energy conservation; Energy efficiency; Energy utilization; Floors; Historic preservation; Administrative action; Carbon foot prints; Central monitoring stations; Communication device; Educational institutions; Energy resource managements; In-buildings; Sustainable cities; Wireless sensor networks",,,"Institute of Electrical and Electronics Engineers Inc.",,9781509060467,,,"English","GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047760746
"Durga P., Narayanan G., Gayathri B., Ramesh M.V., Divya P.","57202417546;56400546900;57201985155;55411983300;56430791100;","Modelling a smart agriculture system for multiple cropping using wireless sensor networks",2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings","2017-January",,,"1","7",,1,"10.1109/GHTC.2017.8239342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047780210&doi=10.1109%2fGHTC.2017.8239342&partnerID=40&md5=ed1d0243b99339c950b5263bc6ac09d7","Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Dept. of Electronics and Communication Engineering, Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, India","Durga, P., Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Narayanan, G., Dept. of Electronics and Communication Engineering, Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, India; Gayathri, B., Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Ramesh, M.V., Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Divya, P., Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","The field of wireless sensor networks is progressing at a very rapid pace with one of its major application in the area of agriculture. Several research problems have been addressed and solutions have been proposed. Most of these works are based on single crop scenario. Research done in the multiple-cropping scenario, where two or more crops are sown in a single field in the same year, are very few. Here, a unique solution for multiple cropping scenarios, in a system design perspective is proposed. The system forms a closed loop by including MAC protocol, data aggregation, routing and localization developed specifically for this scenario. © 2017 IEEE.","energy efficiency; localization; MAC; multiple cropping; routing; wireless sensor network","Crops; Energy efficiency; Medium access control; Power management (telecommunication); Closed loops; Data aggregation; localization; MAC protocol; multiple cropping; Research problems; routing; Smart agricultures; Wireless sensor networks",,,"Institute of Electrical and Electronics Engineers Inc.",,9781509060467,,,"English","GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047780210
"Dhivya R., Prakash R.","57200013747;57192555671;","Edge detection of satellite image using fuzzy logic",2017,"Cluster Computing",,,,"1","8",,,"10.1007/s10586-017-1508-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038869971&doi=10.1007%2fs10586-017-1508-x&partnerID=40&md5=e14bb2f284d64a597b74402f61d94624","Kingston Engineering College, Vellore, Tamilnadu, India; Vivekananda College of Engineering for Women, Tiruchengode, Tamil Nadu, India","Dhivya, R., Kingston Engineering College, Vellore, Tamilnadu, India; Prakash, R., Vivekananda College of Engineering for Women, Tiruchengode, Tamil Nadu, India","Edge detection plays an important role in the field of image processing. Various edge detection techniques are obtained like Sobel, PSO Preweitt, Laplacian and Laplacian of Gaussian. These techniques consume some restrictions such as fixed edge thickness and some parameter like threshold is problematic to implement. Although many different edge-detection methods have been proposed for gray-scale, color, and multispectral images, they still face difficulties when extracting edge features from hyperspectral images (HSIs) that contain a large number of bands with very narrow gap in the spectral domain. High performance computing (HPC) is a technique used to assemble process and analyze more quantity of remote sensing (satellite) data which needs less processing time. HPC method is used in distributed & cluster Computing, parallel computing and following satellite data analyzing & processing approaches like geo-referencing, image edge detection, image classification, image mosaicking, Morphological/neural approach and image fusion for hyperspectral satellite data. Stimulated by means of the specific clustering of theory called gravitational theory, an original edge detection process. The conservative methods include the usage of linear time invariant filters. Recognition of edge is done by these filters as a These filters recognize an edge as a sudden conversion of grey scale pixel intensity. These techniques are well recognized and computationally effective. Canny, Sobel, Robert, Kirsch, Prewitt and LOG, on idea of spatial differential filters by using local grade. Within the less time these filters process the data and are inclined to noise. But in fuzzy technique, it does not include like this restriction, by altering the rules and output parameters, it is possible to change the thickness of the edge. In this paper, a new technique is created on fuzzy logic, which is suggested for detection of edge in digital images deprived of finding the threshold value. This method starts through segmenting the images into sections by means of fluctuating 3 (Formula presented.) 3 binary matrixes. The pixels of edge are planned to a range of standards separated from each other. The results of this proposed technique is compared with the results obtained from PSO and neural network methods. This suggested technique provides a permanent effect in the lines smoothness and straightness for the straight lines and good roundness for the curved lines. And sharpness in the curves. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Fuzzy logic; High performance computing; Hyperspectral images; Neural edge detection; PSO","Cluster computing; Computation theory; Computer circuits; Data fusion; Distributed computer systems; Edge detection; Fuzzy logic; Hyperspectral imaging; Image classification; Image fusion; Laplace transforms; Particle swarm optimization (PSO); Pixels; Remote sensing; Satellites; Spectroscopy; Temporal logic; Edge detection methods; Gravitational theory; High performance computing; High performance computing (HPC); Hyperspectral satellite; Laplacian of Gaussian; Linear time invariant; Neural network method; Image processing","Dhivya, R.; Kingston Engineering CollegeIndia; email: dhivyarohi@gmail.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85038869971
"Selvakumar K., Arieth R.M.","24068114900;57200015939;","Contrast for QOS based clustered energy efficient protocol with PSO and multi-hop gateways in wireless sensor network",2017,"Cluster Computing",,,,"1","8",,,"10.1007/s10586-017-1506-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038855020&doi=10.1007%2fs10586-017-1506-z&partnerID=40&md5=d0e79c0d5db07f35f06afa6af7efa4fc","Department of Information Technology, Annamalai University, Chidambaram, India; Department of Computer Science and Engineering, Annamalai University, Chidambaram, India","Selvakumar, K., Department of Information Technology, Annamalai University, Chidambaram, India; Arieth, R.M., Department of Computer Science and Engineering, Annamalai University, Chidambaram, India","Wireless sensor network is an emerging technology capable of having low-cost and low-power and battery-powered sensor node. At this point the protocol concentric clustered power-efficient gathering in sensor information systems and clustered general self organized tree based energy-balance routing protocol energy efficient protocol are used to increase the energy and to extend network lifetime. For these achievement of clustering techniques, optimization technique particle swarm optimization is used for data transmission through base station. If the base station is inaccessible region from the cluster-head, energy consumption will be augmented and it can shrink the lifetime of wireless sensor network. To conquer these, multi-hop gateway node is implemented with both protocol to achieve maximum lifetime and energy efficiency of wireless sensor network. To improve the quality-of-service (QoS) placing more number of gateways is required. So we propose a new algorithm nearer optimal algorithm which recursively computes least possible adequate dominating sets, at the time constantly preserving QoS requirements across iterations. In this paper comparison is done in terms of throughput, packets delivery ratio and number of nodes alive. © 2017 Springer Science+Business Media, LLC, part of Springer Nature","Concentric cluster; Network life time; PEGASIS protocol; Self-organized tree; Wireless sensor networks","Base stations; Energy efficiency; Energy utilization; Internet protocols; Low power electronics; Optimization; Particle swarm optimization (PSO); Power management (telecommunication); Quality of service; Sensor nodes; Wireless sensor networks; Concentric cluster; Emerging technologies; Energy efficient protocols; Network life time; Optimization techniques; PEGASIS; Self-organized tree; Sensor Information Systems; Gateways (computer networks)","Arieth, R.M.; Department of Computer Science and Engineering, Annamalai UniversityIndia; email: madonnamsit@yahoo.com",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,,Scopus,2-s2.0-85038855020
"Saha A., Kumar A., Sahu A.K.","57202680612;57202686557;57202683682;","FPV drone with GPS used for surveillance in remote areas",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"62","67",,,"10.1109/ICRCICN.2017.8234482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049024405&doi=10.1109%2fICRCICN.2017.8234482&partnerID=40&md5=4c91fe4d1af4e70e27dccc272feae4a9","Dr. SPM International Institute of Information Technology, Naya Raipur, Chhattisgarh, 493661, India","Saha, A., Dr. SPM International Institute of Information Technology, Naya Raipur, Chhattisgarh, 493661, India; Kumar, A., Dr. SPM International Institute of Information Technology, Naya Raipur, Chhattisgarh, 493661, India; Sahu, A.K., Dr. SPM International Institute of Information Technology, Naya Raipur, Chhattisgarh, 493661, India","Paper presents a brief idea about drones, their technology, the process to make that technology energy-efficient and can be used for different purposes. Major aim of our prototype is for surveillance of terrifying notions and hidden activities which can be captured in the camera which gives us an aerial view of objects. Our major aim is to increase the flight time of the drone as much as possible so to get more time for surveillance and to reduce the noise produced by cloaking it. An additional feature which is added to the prototype is transmission of video in FPV goggles. Our aim is making it available at an affordable rate for the private agencies, institutions and governmental bodies for efficient surveillance. There is lot of hidden observations and development for this prototype in future. Quad copters are types of drone which have four wings attached to them. Depending upon the criteria different feature can be added. © 2017 IEEE.","energy efficient drone; FPV drone; GPS; GSM; less noise; surveillance drone","Antennas; Artificial intelligence; Energy efficiency; Global positioning system; Global system for mobile communications; Monitoring; Security systems; Energy efficient; Flight time; less noise; Private agencies; Remote areas; Drones",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049024405
"Banerjee S., Sahoo P., Sultana M., Chaudhuri A., Sengupta D., Chaudhuri A.","57202642686;57201602402;55609436300;37080171800;55608215000;7202928830;","Toffoli netlist based synthesis of four variable reversible functions",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"315","320",,1,"10.1109/ICRCICN.2017.8234527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048974148&doi=10.1109%2fICRCICN.2017.8234527&partnerID=40&md5=79ef732e6a1b2719f156a8c693e8de3f","Dept. of MCA, Jadavpur University, Kolkata, India; Dept. of IT, Techno India, College of Technology, Kolkata, India; Dept. of CSE, Techno India - Batanagar, Kolkata, India; Dept. of CSE, Jadavpur University, Kolkata, India","Banerjee, S., Dept. of MCA, Jadavpur University, Kolkata, India; Sahoo, P., Dept. of MCA, Jadavpur University, Kolkata, India; Sultana, M., Dept. of IT, Techno India, College of Technology, Kolkata, India; Chaudhuri, A., Dept. of IT, Techno India, College of Technology, Kolkata, India; Sengupta, D., Dept. of CSE, Techno India - Batanagar, Kolkata, India; Chaudhuri, A., Dept. of CSE, Jadavpur University, Kolkata, India","The growing research in reversible computation has been duly complimented by several proposals of reversible circuit synthesis algorithms. A certain amount of proposals have also been presented for optimizing reversible circuit designs. This communication proposes a fresh synthesis algorithm for four bit reversible functions based on a pre-defined library of Control Line Sets. The library contains a set of Toffoli Netlists for a certain transformation. An optimal Netlist selection choice based on Hamming Distance synthesizes an optimized reversible circuit for a given four variable reversible function which eliminates need of post synthesis optimization. The study has been compared with a peer synthesis algorithm and found to generate better reversible circuits. © 2017 IEEE.","Four Variable Reversible Gate; Quantum Computing; Reversible Logic; Reversible Logic Synthesis Algorithm; Toffoli Netlist","Artificial intelligence; Computation theory; Hamming distance; Integrated circuit manufacture; Logic gates; Quantum computers; Netlist; Quantum Computing; Reversible gates; Reversible Logic; Reversible logic synthesis; Logic Synthesis",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048974148
"Sarkar S., Baidya S., Maiti J.","56819584400;57202679019;6603146128;","Application of rough set theory in accident analysis at work: A case study",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"245","250",,,"10.1109/ICRCICN.2017.8234514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049000231&doi=10.1109%2fICRCICN.2017.8234514&partnerID=40&md5=d3d028461cb519c7e5d9cbc7b8fc6106","Department of Industrial and Systems Engineering, IIT Kharagpur, India; Department of Mining Engineering, IIT Kharagpur, India","Sarkar, S., Department of Industrial and Systems Engineering, IIT Kharagpur, India; Baidya, S., Department of Mining Engineering, IIT Kharagpur, India; Maiti, J., Department of Industrial and Systems Engineering, IIT Kharagpur, India","Though accident data have been collected across industries, they may inherently contain uncertainty of randomness and fuzziness which in turn leads to misleading interpretation of the analysis. To handle the issue of uncertainty within accident data, the present work proposes a rough set theory (RST)-based approach to provide rule-based solution to the industry to minimize the number of accidents at work. Using RST and RST-based rule generation algorithm Learning by Example Module: Version 2 (LEM2), 279 important rules are extracted from the accident data obtained from an integrated steel industry to analyze the incident outcomes (injury, near miss and property damage). The results of the proposed methodology explore some of the important findings which are useful for the industry perspective. Therefore, the RST-based approach can be effective and efficient as well because of its potential to produce good results in the presence of uncertainty in data. © 2017 IEEE.","LEM2; Occupational accidents; Rough Set Theory; Rule generation; Steel industry","Accident prevention; Accidents; Artificial intelligence; Computation theory; Iron and steel industry; Steelmaking; Uncertainty analysis; Accident analysis; Accident data; Accidents at work; LEM2; Occupational accident; Property damage; Rough set theory (RST); Rule generation; Rough set theory",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049000231
"Sengupta D., Sultana M., Chaudhuri A.","55608215000;55609436300;7202928830;","Proposal for fast BCD addition",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017","2017-December",,,"343","348",,,"10.1109/ICRCICN.2017.8234532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048949753&doi=10.1109%2fICRCICN.2017.8234532&partnerID=40&md5=1f0e0a4d9a9265c7ff2795950a68bd9a","Dept. of CSE, Techno India - Batanagar, Kolkata, India; Dept. of IT, Techno India, College of Tehnology, Kolkata, India; Dept. of CSE, Jadavpur University, Kolkata, India","Sengupta, D., Dept. of CSE, Techno India - Batanagar, Kolkata, India; Sultana, M., Dept. of IT, Techno India, College of Tehnology, Kolkata, India; Chaudhuri, A., Dept. of CSE, Jadavpur University, Kolkata, India","Decimal Arithmetic Hardware Research accelerated phenomenally in the last decade with introduction of Decimal Floating Point formats in IEEE 754-2008. 'Addition' being one of the primitive arithmetic operations has attracted numerous literary proposals involving the 8421 standard BCD code as well as nonstandard decimal digit representation codes (4221, 5211 etc.). This paper concentrates on Fixed Point Addition and introduces two decimal adder designs; Design D1 and D2. D1 exhibits a novel Single Digit Fast BCD Adder adding two single digit BCD operands generating a valid double BCD result. Cascade of D1 forms D2, generating Two 16 Digit Operand Word Wide Adder. D1 theoretically lags behind the conventional BCD Adder by mere three gate level delays whereas D2 radically outperforms the conventional counterpart. We have performed theoretical logic level delay calculations and FPGA implementations which supporting the theoretical results. D2 has been compared with a literary counterpart and found to excel. © 2017 IEEE.","BCD Adder; BCD Arithmetic; Decimal Adder; Decimal Arithmetic Hardware; Decimal Numeric Processors; Radix 10 Adder","Artificial intelligence; Computation theory; Digital arithmetic; Hardware; Arithmetic operations; BCD adder; Decimal adders; Decimal arithmetic; Decimal floating points; Delay calculation; Digit representation; FPGA implementations; Adders",,"Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.","Institute of Electrical and Electronics Engineers Inc.",,9781538619315,,,"English","Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048949753
