Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Suganya R., Rajaram S.",56805014700;57202289032;,An efficient categorization of liver cirrhosis using convolution neural networks for health informatics,2017,Cluster Computing,,,,1,10,,,10.1007/s10586-017-1629-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039695155&doi=10.1007%2fs10586-017-1629-2&partnerID=40&md5=9ce33d9963899b08bde203c796de15d5,"Department of Information Technology, Thiagarajar College of Engineering, Madurai, India; Department of ECE, Thiagarajar College of Engineering, Madurai, India","Suganya, R., Department of Information Technology, Thiagarajar College of Engineering, Madurai, India; Rajaram, S., Department of ECE, Thiagarajar College of Engineering, Madurai, India","Accurate categorization of cirrhosis liver image in ultrasound modality is of great importance in medical diagnosis and treatment. Health informatics is important as it provides quick predictions on diseases based on nearness of symptoms. Modelling solutions for the same on cloud using deep learning is the motivation of this paper. Here, we propose a deep learning model associated with correlation based feature selection method for cirrhosis image classification. We compare the results with three other conventional classifiers algorithms to improve the better classification accuracy. First in pre-processing stage, noises are eliminated from pathological scan images by using modified laplacian pyramid non-linear diffusion filter. From the pre-processed scan images, each cirrhosis region is obtained under the guidance of radiology or physicians. Then, after extracting the complete features of each patch by gray level, local binary pattern and scale invariant feature, a feature selection technique is applied to choice the predominant texture features for each classifier. Finally a convolution neural network is implemented to improve the performance of classifiers in terms of sensitivity, specificity and accuracy. Convolution neural network algorithm with two hidden layers gives more accuracy in classifying cirrhosis image with 98% sensitivity. Experiments are carried out with 990 cirrhosis image patches which demonstrates that our proposed deep learning classifier perform 100% well than original classifiers in terms of accuracy. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Convolution neural network; Correlation based feature selection; Liver cirrhosis classification; Modified diffusion filter; Texture features,Convolution; Deep learning; Diagnosis; Feature extraction; Image classification; Image processing; Medical imaging; Ultrasonic applications; Classification accuracy; Convolution neural network; Diffusion filter; Feature selection methods; Liver cirrhosis; Performance of classifier; Scale invariant features; Texture features; Classification (of information),"Suganya, R.; Department of Information Technology, Thiagarajar College of EngineeringIndia; email: rsuganya@tce.edu",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039695155
"Voleti V., Mohan P., Iqbal J., Gupta S.",56572690000;57203106556;57202922015;57200998560;,Simple real-time pattern recognition for industrial automation,2017,ACM International Conference Proceeding Series,,,,107,111,,,10.1145/3178264.3178272,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049862002&doi=10.1145%2f3178264.3178272&partnerID=40&md5=344e4314c93ed7573b8ca6bb4f291bf8,"GreyOrange India Pte Ltd., Gurgaon, Haryana, India","Voleti, V., GreyOrange India Pte Ltd., Gurgaon, Haryana, India; Mohan, P., GreyOrange India Pte Ltd., Gurgaon, Haryana, India; Iqbal, J., GreyOrange India Pte Ltd., Gurgaon, Haryana, India; Gupta, S., GreyOrange India Pte Ltd., Gurgaon, Haryana, India","Industrial automation often involves time-intensive operations on real-time inputs, and accuracy is critical to the functioning of the full industrial pipeline. While older methods are simplistic but inaccurate, newer methods are more accurate but often complex and time-consuming. In this paper, we achieve 100% accuracy using simple methods on an image classification task. We take advantage of the electronic systems involved in the industrial pipeline, and offer a methodology that is applicable to other tasks as well. This paper describes our method, and details all the technicalities considered while designing it. An analysis of the edge cases of our method is also made. © 2017 Association for Computing Machinery.",Image processing; Industrial automation; Pattern recognition,Automation; Image processing; Pipelines; Product design; Electronic systems; Industrial automation; Real time; SIMPLE method; Pattern recognition,,,Association for Computing Machinery,,9.78145E+12,,,English,ACM Int. Conf. Proc. Ser.,Conference Paper,,Scopus,2-s2.0-85049862002
"Jetta M., Iliyas S.K., Pranihith T.",57201699797;57201699318;57201702366;,A Fourth Order Diffusion Filter for Speckle Noise Removal,2017,ACM International Conference Proceeding Series,,,,197,201,,,10.1145/3177404.3177405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045853451&doi=10.1145%2f3177404.3177405&partnerID=40&md5=2a7d2dd4811ebb189fc303672c2c480e,"Mahindra Ecole Centrale Survey, No:62/1A,Bahadurpally, Hyderabad, India","Jetta, M., Mahindra Ecole Centrale Survey, No:62/1A,Bahadurpally, Hyderabad, India; Iliyas, S.K., Mahindra Ecole Centrale Survey, No:62/1A,Bahadurpally, Hyderabad, India; Pranihith, T., Mahindra Ecole Centrale Survey, No:62/1A,Bahadurpally, Hyderabad, India","Standard second order speckle reducing diffusion filters produce staircase artefacts (step edges) in the filtered image. In this paper we present an anisotropic fourth order diffusion filter with diffusion coefficients as functions of speckle statistics.This filter steers the diffusion unevenly in the directions of gradient and level set, and hence preserves the edges while removing the noise. The experiments show that the proposed filter outperforms the existing second order speckle reducing filters in terms of staircase artefacts without destructing the edges. © 2017 Associationfor Computing Machinery.",Diffusion filters; Noise estimation; Speckle noise; Stair-case artefacts,Bandpass filters; Diffusion; Speckle; Stairs; Video signal processing; Anisotropic fourth-order diffusions; Diffusion filter; Filtered images; Fourth order diffusion; Noise estimation; Speckle noise; Speckle noise removal; Stair-case; Image processing,,,Association for Computing Machinery,,9.78145E+12,,,English,ACM Int. Conf. Proc. Ser.,Conference Paper,,Scopus,2-s2.0-85045853451
"Atrish A., Singh N., Kumar K., Kumar V.",57201698313;57202966374;57198856466;57202909408;,An automated hierarchical framework for player recognition in sports image,2017,ACM International Conference Proceeding Series,,,,103,108,,,10.1145/3177404.3177432,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045841194&doi=10.1145%2f3177404.3177432&partnerID=40&md5=5029e63d9e12e563036ad92596327dbd,"NIT Uttarakhand, India; IIT, Roorkee, India","Atrish, A., NIT Uttarakhand, India; Singh, N., NIT Uttarakhand, India; Kumar, K., NIT Uttarakhand, India; Kumar, V., IIT, Roorkee, India","The recognition of player in the soccer game is a challenging task due to the continuous variation in the position, view, orientation and distance of the players as well as the camera. In order to resolve this problem, the player’s identification number (which is printed on their jersey) is recognized and based on the number, players are identified. This paper proposes a noble Optical Character Recognition (OCR) system that automatically extracts and recognizes the player’s jersey number in the image. A hierarchical computational framework is introduced which uses high and low-level vision features of the image to identify the player. While following the hierarchical approach a parsing tree is constructed by segmenting the image into snippets based on different algorithms. The entire parsing tree is divided into 4 levels: Level 1 deals with the playfield detection and shot classification, Level 2 tackles the player localization and extraction, Level 3 covers the player’s number extraction and shape restoration, and Level 4 recognizes the player’s number. The proposed OCR system has consistently shown outstanding results in terms of efficiency, effectiveness, and robustness over a large soccer dataset. © 2017 Association for Computing Machinery.",Hierarchical framework; Optical character recognition; Pattern recognition; Player identification; Sports image analysis,Extraction; Forestry; Optical character recognition; Optical data processing; Pattern recognition; Sports; Video signal processing; Computational framework; Hierarchical approach; Hierarchical framework; Identification number; Optical character recognition (OCR); Player localizations; Player recognition; Shot classification; Image processing,,,Association for Computing Machinery,,9.78145E+12,,,English,ACM Int. Conf. Proc. Ser.,Conference Paper,,Scopus,2-s2.0-85045841194
"Joshi A.R., Tarte I., Suresh S., Koolagudi S.G.",57202290645;57202291104;57202289437;23397105900;,Damage identification and assessment using image processing on post-disaster satellite imagery,2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings",2017-January,,,1,7,,,10.1109/GHTC.2017.8239286,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047725641&doi=10.1109%2fGHTC.2017.8239286&partnerID=40&md5=7cf39e105cc62a2d3f3f3f1752ab328c,"Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India","Joshi, A.R., Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India; Tarte, I., Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India; Suresh, S., Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India; Koolagudi, S.G., Department of Computer Science and Engineering, National Institute of TechnologyKarnataka, India","Natural disasters such as earthquakes and tsunamis often have a devastating effect on human life and cause noticeable damage to infrastructure. Active research has been ongoing to mitigate the impact of these catastrophes and preclude the economic losses. The existing methods that utilize pre-event and post-event images not only require the immediate and guaranteed availability of the appropriate data set but are also encumbered by manual mapping of the images, necessitating the indication of corresponding control points in the two images. This paper highlights the use of only post-event imagery in the absence of reference data to achieve a more timely delivery to produce damage maps as the output. This eliminates the need for manual georeferencing of images. Our method incorporates simple linear iterative clustering (SLIC) for segmenting the images into uniform superpixels and extraction of 62 features for each superpixel. We used various classifiers of which Random Forest classifier was found to give a comparatively high accuracy of 90.4% over others. To enumerate the accuracy of the method proposed, we used 1500 data regions of which 20% were used for testing, and 80% were used for training. The aerial images taken by GeoEye1 after the 2011 Christchurch earthquake and 2011 Japan earthquake and tsunami are utilized in this study to detect building damage. In the case of availability of ground truth, we compare the histograms of the pre- and post-imagery to quantify similarity as the SSD (Sum of Squared Distances) value and thus, our approach produces an assessment as an output map displaying the extent of damage in the area covered by each superpixel. We consider 6 levels of damage ranging from 1 to 6, where 1 signifies no damage, and 6, maximum damage. © 2017 IEEE.",Damage Assessment; Image Processing; Random Forest Classifier; Segmentation; Texture Features,Antennas; Decision trees; Disasters; Earthquakes; Image processing; Image segmentation; Iterative methods; Losses; Pixels; Satellite imagery; Superpixels; Tsunamis; 2011 Christchurch earthquakes; Corresponding control points; Damage assessments; Damage Identification; Devastating effects; Random forest classifier; Simple Linear Iterative Clustering; Texture features; Damage detection,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047725641
"Dhivya R., Prakash R.",57200013747;57192555671;,Edge detection of satellite image using fuzzy logic,2017,Cluster Computing,,,,1,8,,,10.1007/s10586-017-1508-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038869971&doi=10.1007%2fs10586-017-1508-x&partnerID=40&md5=e14bb2f284d64a597b74402f61d94624,"Kingston Engineering College, Vellore, Tamilnadu, India; Vivekananda College of Engineering for Women, Tiruchengode, Tamil Nadu, India","Dhivya, R., Kingston Engineering College, Vellore, Tamilnadu, India; Prakash, R., Vivekananda College of Engineering for Women, Tiruchengode, Tamil Nadu, India","Edge detection plays an important role in the field of image processing. Various edge detection techniques are obtained like Sobel, PSO Preweitt, Laplacian and Laplacian of Gaussian. These techniques consume some restrictions such as fixed edge thickness and some parameter like threshold is problematic to implement. Although many different edge-detection methods have been proposed for gray-scale, color, and multispectral images, they still face difficulties when extracting edge features from hyperspectral images (HSIs) that contain a large number of bands with very narrow gap in the spectral domain. High performance computing (HPC) is a technique used to assemble process and analyze more quantity of remote sensing (satellite) data which needs less processing time. HPC method is used in distributed & cluster Computing, parallel computing and following satellite data analyzing & processing approaches like geo-referencing, image edge detection, image classification, image mosaicking, Morphological/neural approach and image fusion for hyperspectral satellite data. Stimulated by means of the specific clustering of theory called gravitational theory, an original edge detection process. The conservative methods include the usage of linear time invariant filters. Recognition of edge is done by these filters as a These filters recognize an edge as a sudden conversion of grey scale pixel intensity. These techniques are well recognized and computationally effective. Canny, Sobel, Robert, Kirsch, Prewitt and LOG, on idea of spatial differential filters by using local grade. Within the less time these filters process the data and are inclined to noise. But in fuzzy technique, it does not include like this restriction, by altering the rules and output parameters, it is possible to change the thickness of the edge. In this paper, a new technique is created on fuzzy logic, which is suggested for detection of edge in digital images deprived of finding the threshold value. This method starts through segmenting the images into sections by means of fluctuating 3 (Formula presented.) 3 binary matrixes. The pixels of edge are planned to a range of standards separated from each other. The results of this proposed technique is compared with the results obtained from PSO and neural network methods. This suggested technique provides a permanent effect in the lines smoothness and straightness for the straight lines and good roundness for the curved lines. And sharpness in the curves. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Fuzzy logic; High performance computing; Hyperspectral images; Neural edge detection; PSO,Cluster computing; Computation theory; Computer circuits; Data fusion; Distributed computer systems; Edge detection; Fuzzy logic; Hyperspectral imaging; Image classification; Image fusion; Laplace transforms; Particle swarm optimization (PSO); Pixels; Remote sensing; Satellites; Spectroscopy; Temporal logic; Edge detection methods; Gravitational theory; High performance computing; High performance computing (HPC); Hyperspectral satellite; Laplacian of Gaussian; Linear time invariant; Neural network method; Image processing,"Dhivya, R.; Kingston Engineering CollegeIndia; email: dhivyarohi@gmail.com",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85038869971
"Nagpal S., Singh M., Singh R., Vatsa M., Noore A., Majumdar A.",56168241000;57203297299;15061841400;55908650100;6701728917;23971203100;,Face Sketch Matching via Coupled Deep Transform Learning,2017,Proceedings of the IEEE International Conference on Computer Vision,2017-October,,8237841,5429,5438,,,10.1109/ICCV.2017.579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041916438&doi=10.1109%2fICCV.2017.579&partnerID=40&md5=a5d3c27674a92240cb25bc71324bb220,"IIIT-Delhi, India; West Virginia University, United States","Nagpal, S., IIIT-Delhi, India; Singh, M., IIIT-Delhi, India; Singh, R., IIIT-Delhi, India, West Virginia University, United States; Vatsa, M., IIIT-Delhi, India, West Virginia University, United States; Noore, A., West Virginia University, United States; Majumdar, A., IIIT-Delhi, India","Face sketch to digital image matching is an important challenge of face recognition that involves matching across different domains. Current research efforts have primarily focused on extracting domain invariant representations or learning a mapping from one domain to the other. In this research, we propose a novel transform learning based approach termed as DeepTransformer, which learns a transformation and mapping function between the features of two domains. The proposed formulation is independent of the input information and can be applied with any existing learned or hand-crafted feature. Since the mapping function is directional in nature, we propose two variants of DeepTransformer: (i) semi-coupled and (ii) symmetrically-coupled deep transform learning. This research also uses a novel IIIT-D Composite Sketch with Age (CSA) variations database which contains sketch images of 150 subjects along with age-separated digital photos. The performance of the proposed models is evaluated on a novel application of sketch-to-sketch matching, along with sketch-to-digital photo matching. Experimental results demonstrate the robustness of the proposed models in comparison to existing state-of-the-art sketch matching algorithms and a commercial face recognition system. © 2017 IEEE.",,Computer graphics; Computer vision; Face recognition; Image matching; Image processing; Mapping; Different domains; Face recognition systems; Invariant representation; Learning-based approach; Mapping functions; Matching algorithm; Novel applications; State of the art; Deep learning,,,Institute of Electrical and Electronics Engineers Inc.,15505499,9.78154E+12,PICVE,,English,Proc IEEE Int Conf Comput Vision,Conference Paper,,Scopus,2-s2.0-85041916438
"Manoj Kumar P., Surya C.M., Gopi V.P.",57202643339;57202646657;36537070400;,Identification of ayurvedic medicinal plants by image processing of leaf samples,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,231,238,,1,10.1109/ICRCICN.2017.8234512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048965837&doi=10.1109%2fICRCICN.2017.8234512&partnerID=40&md5=c847c46ff00bb5af21768eec7aa64e5b,"Department of Electronics and Communication Engineering, Government Engineering College, Wayanad, Kerala, India","Manoj Kumar, P., Department of Electronics and Communication Engineering, Government Engineering College, Wayanad, Kerala, India; Surya, C.M., Department of Electronics and Communication Engineering, Government Engineering College, Wayanad, Kerala, India; Gopi, V.P., Department of Electronics and Communication Engineering, Government Engineering College, Wayanad, Kerala, India","Identification of the correct medicinal plants that goes in to the preparation of a medicine is very important in ayurvedic medicinal industry. The main features required to identify a medicinal plant is its leaf shape, colour and texture. Colour and texture from both sides of the leaf contain deterministic parameters to identify the species. This paper explores feature vectors from both the front and back side of a green leaf along with morphological features to arrive at a unique optimum combination of features that maximizes the identification rate. A database of medicinal plant leaves is created from scanned images of front and back side of leaves of commonly used ayurvedic medicinal plants. The leaves are classified based on the unique feature combination. Identification rates up to 99% have been obtained when tested over a wide spectrum of classifiers. The above work has been extended to include identification by dry leaves and a combination of feature vectors is obtained, using which, identification rates exceeding 94% have been achieved. © 2017 IEEE.",classification; feature extraction; morphological features; optimization; Plant identification; texture features,Artificial intelligence; Classification (of information); Feature extraction; Image processing; Optimization; Feature vectors; Identification rates; Medicinal plants; Morphological features; Optimum combination; Plant identification; Texture features; Unique features; Plants (botany),,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048965837
"Das R., Dutta S.",26633650000;8348043100;,An approach for secured image encryption scheme using user defined operator based steganographic technique with pixels repositioning schemes,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,309,314,,,10.1109/ICRCICN.2017.8234526,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048968008&doi=10.1109%2fICRCICN.2017.8234526&partnerID=40&md5=9db7d46cab3e26bbe55cb180959e62d7,"Department of Computer Applications, Haldia Institute of Technology, Haldia, India; Department of Computer Applications, Dr. B. C. Roy Engineering College, Durgapur, India","Das, R., Department of Computer Applications, Haldia Institute of Technology, Haldia, India; Dutta, S., Department of Computer Applications, Dr. B. C. Roy Engineering College, Durgapur, India","Steganography is the practice of concealing information of one object within other non secret object. We replace least significant bits from enveloped image with the bits of original image at the time of LSB based image steganography. This approach is not as secured as retrieving the least significant bits from the enveloped image will provide all the information of original image. So in the proposed system, we rearrange all the pixels of the original and the enveloped image using prime and non-prime positions of the pixels. Again we reposition all the pixels using one of the user defined pixel repositioning algorithms (PRONE (positional reverse odd normal even), PRENO (positional reverse even normal odd), CRENO (continuous reverse even normal odd), CRONE (continuous reverse odd normal even)) chosen by the user for original and enveloped image separately. Lastly we perform user defined BWMAS operation (Bitwise Masking & Alternate Sequence) between the bits of original image and the least significant bits of the enveloped image. As all the pixels of both enveloped and original images are repositioned, so the pixels from original image are chosen actually in non sequential manner and the pixels, taken from enveloped image for BWMAS operation are also in non sequential manner. Only the proper sequences of the encrypted pixels defined by the user defined algorithms are being able to retrieve the information of the original image. We introduce Bitwise Masking & Alternate Sequence operation for the first time in state of XOR operation. Thus an attempt is made to increase the security of the image encryption system. © 2017 IEEE.",Image Steganography; Pixel Repositioning Scheme; Prime/Non Prime pixel sequencing; User defined operator (BWMAS),Artificial intelligence; Cryptography; Image processing; Steganography; Image encryption scheme; Image encryptions; Image steganography; Least significant bits; Original images; Prime/Non Prime pixel sequencing; Sequential manners; User defined operator (BWMAS); Pixels,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048968008
"Kar M., Mandal M.K., Nandi D.",56417407800;56577514400;55558603900;,RGB image encryption using hyper chaotic system,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,354,359,,,10.1109/ICRCICN.2017.8234534,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048954378&doi=10.1109%2fICRCICN.2017.8234534&partnerID=40&md5=45d9d0b2f1e1b8de026cb8a98e0d3f81,"Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Department of Computer Science and Engineering, National Institute of Technology Durgapur, Durgapur, 713209, India","Kar, M., Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Mandal, M.K., Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Nandi, D., Department of Computer Science and Engineering, National Institute of Technology Durgapur, Durgapur, 713209, India","In the modern digital era, the storage of digital data in multi-users systems and transmission over the internet is prime important in the society. The cryptographic technique is one of the possible solutions for protecting digital information for unauthorized uses. In this technique, the encryption algorithm should be simple to design and implementation. In the proposed article, a novel color image encryption algorithm is presented employing a 4D Lorenz system. The encryption technique is very sensitive to the input 256 bits key and input plane image. Initially, the color image is split into three different channels R, G, and B. Next each channel is encrypted separately by employing diffusion and confusion mechanism. Finally, all three channels R, G, and B are combined to produce the required encrypted image. Various security tests have been conducted to prove the validity of the presented encryption technique. The encryption time was considerably less as compared to other reported works. © 2017 IEEE.",chaos; decryption; encryption; information entropy; noise attack; NPCR & UACI,Artificial intelligence; Chaos theory; Chaotic systems; Digital storage; Image processing; Color image encryptions; Cryptographic techniques; decryption; Design and implementations; Encryption algorithms; Hyper-chaotic systems; Information entropy; noise attack; Cryptography,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048954378
