Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Alphonse A.S., Dharma D.",57195373051;57195373533;,"Enhanced Gabor (E-Gabor), Hypersphere-based normalization and Pearson General Kernel-based discriminant analysis for dimension reduction and classification of facial emotions",2017,Expert Systems with Applications,90,,,127,145,,1,10.1016/j.eswa.2017.08.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027501922&doi=10.1016%2fj.eswa.2017.08.013&partnerID=40&md5=b55857645fde1d92996b99782b6188ad,"CSE Department, Regional Campus of Anna University, Tirunelveli, 627007, India","Alphonse, A.S., CSE Department, Regional Campus of Anna University, Tirunelveli, 627007, India; Dharma, D., CSE Department, Regional Campus of Anna University, Tirunelveli, 627007, India","This paper puts forward an Enhanced Gabor feature descriptor termed as E-Gabor for obtaining high classification accuracy of emotions with low dimension. Two methods have been used for further classification. In the first method, E-Gabor is used as a stand-alone feature for classification. Hypersphere-based normalization has been used for normalizing the E-Gabor features, thereby improving the efficiency in the classification of emotions. In the second method, the E-Gabor feature descriptor is fused with Pyramid Histogram of Gradient (PHOG) feature descriptor and projected to a common subspace of six dimensions using the proposed Pearson General Kernel-based Discriminant Analysis (PGK-DA) before classification. In both the methods, Pearson General Kernel-based Extreme Learning Machine (PGK-ELM) is used for classification. Experiments conducted on Japanese Female Facial Expression (JAFFE), Cohn Kanade (CK+), Multimedia Understanding Group (MUG), Static Facial Expressions in the Wild (SFEW), Oulu-Chinese Academy of Science, Institute of Automation (Oulu-CASIA) and Man–Machine Interaction (MMI) datasets report a classification accuracy of 97.6%, 97.9%, 95.7%, 35.4%, 87.7% and 82.7% with method I and 95.7%, 97.2%, 94.9%, 35.2%, 87.1% and 82.1% with method II, respectively, for seven class emotion detection, which is high when compared to other state-of-the-art methods. © 2017 Elsevier Ltd",Discriminant analysis; ELM; Emotion; Facial expression; Gabor,Discriminant analysis; Learning systems; Chinese Academy of Sciences; Classification accuracy; Classification of emotions; Emotion; Extreme learning machine; Facial Expressions; Gabor; State-of-the-art methods; Classification (of information),"Alphonse, A.S.; CSE Department, Regional Campus of Anna UniversityIndia; email: sherls82@gmail.com",,Elsevier Ltd,9574174,,ESAPE,,English,Expert Sys Appl,Article,,Scopus,2-s2.0-85027501922
"Singh B.K., Verma K., Panigrahi L., Thoke A.S.",55480042200;7203047398;55355324500;15926333500;,Integrating radiologist feedback with computer aided diagnostic systems for breast cancer risk prediction in ultrasonic images: An experimental investigation in machine learning paradigm,2017,Expert Systems with Applications,90,,,209,223,,2,10.1016/j.eswa.2017.08.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027710107&doi=10.1016%2fj.eswa.2017.08.020&partnerID=40&md5=26a4ced0f77e8b0b3eb9b3592611e7c4,"Department of Biomedical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India; Department of Computer Applications, National Institute of Technology, Raipur, Chhattisgarh, India; Department of Electrical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India","Singh, B.K., Department of Biomedical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India; Verma, K., Department of Computer Applications, National Institute of Technology, Raipur, Chhattisgarh, India; Panigrahi, L., Department of Computer Applications, National Institute of Technology, Raipur, Chhattisgarh, India; Thoke, A.S., Department of Electrical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India","With advancements in machine learning algorithms and computer aided diagnostic (CAD) systems, the performance of automated analysis of radiological images has improved substantially in recent times. However, the lack of integration between the radiologist and CAD systems restrains the rate of progress as well as the reach of such advancements in clinical use. This article aims to improve the clinical efficiency of ultrasound based CAD systems for classification of breast lesions by integrating back-propagation artificial neural network (BPANN), support vector machine (SVM) and radiologist feedback. The acquired breast ultrasound images were subjected to wavelet based filtering in order to reduce speckle noise followed by feature extraction, feature selection and classification. Experiments on a database of 178 ultrasound images of breast anomalies (88 benign and 90 malignant) show that the proposed methodology achieves classification accuracy of 98.621% and 98.276%, respectively, when all 457 and 19 most relevant features selected by multi-criteria feature selection method were used for classification. The accuracy achieved is significantly higher than that using conventional classifiers based on BPANN and SVM. Further, it is found that integrating expert opinion in CAD systems improves its overall performance. The quantitative results obtained are discussed in light of some recently reported studies. © 2017 Elsevier Ltd",Breast tumor classification; Machine learning; Neural network; Radiologist opinion; Support vector machine; Ultrasound,Artificial intelligence; Backpropagation; Computer aided analysis; Computer aided diagnosis; Computer aided instruction; Diagnosis; Feature extraction; Learning algorithms; Learning systems; Medical imaging; Neural networks; Support vector machines; Ultrasonic imaging; Ultrasonics; Wavelet analysis; Back propagation artificial neural network (BPANN); Breast tumor classifications; Breast ultrasound images; Computer aided diagnostics; Experimental investigations; Feature selection and classification; Feature selection methods; Radiologist opinion; Classification (of information),"Singh, B.K.; Department of Biomedical Engineering, National Institute of Technology Raipur, G.E. Road Raipur, India; email: bsingh.bme@nitrr.ac.in",,Elsevier Ltd,9574174,,ESAPE,,English,Expert Sys Appl,Article,,Scopus,2-s2.0-85027710107
"Yuvaraj N., SriPreethaa K.R.",56622833200;57200132371;,Diabetes prediction in healthcare systems using machine learning algorithms on Hadoop cluster,2017,Cluster Computing,,,,1,9,,,10.1007/s10586-017-1532-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039869073&doi=10.1007%2fs10586-017-1532-x&partnerID=40&md5=bd3ffcee5b46a0f05d7c057b0fb2236e,"Department of Computer Science and Engineering, KPR Institute of Engineering and Technology, Coimbatore, India","Yuvaraj, N., Department of Computer Science and Engineering, KPR Institute of Engineering and Technology, Coimbatore, India; SriPreethaa, K.R., Department of Computer Science and Engineering, KPR Institute of Engineering and Technology, Coimbatore, India","Health care systems are merely designed to meet the needs of increasing population globally. People around the globe are affected with different types of deadliest diseases. Among the different types of commonly existing diseases, diabetes is a major cause of blindness, kidney failure, heart attacks, etc. Health care monitoring systems for different diseases and symptoms are available all around the world. The rapid development in the fields of Information and Communication Technologies made remarkable improvements in health care systems. Various Machine Learning algorithms are proposed which automates the working model of health care systems and enhances the accuracy of disease prediction. Hadoop cluster based distributed computing framework supports in efficient processing and storing of extremely large datasets in cloud environment. This work proposes the novel implementation of machine learning algorithms in hadoop based clusters for diabetes prediction. The results show that the machine learning algorithms can able to produce highly accurate diabetes predictive healthcare systems. Pima Indians Diabetes Database from National Institute of Diabetes and Digestive Diseases is used to evaluate the working of algorithm. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Cluster computing; Hadoop clusters; Healthcare systems; Machine learning algorithms; Predictive analysis,Artificial intelligence; Cluster computing; Clustering algorithms; Distributed computer systems; Forecasting; Health care; Learning systems; Predictive analytics; Cloud environments; Distributed computing frameworks; Hadoop clusters; Health care monitoring systems; Health-care system; Highly accurate; Information and Communication Technologies; Working models; Learning algorithms,"Yuvaraj, N.; Department of Computer Science and Engineering, KPR Institute of Engineering and TechnologyIndia; email: drnyuvaraj@gmail.com",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039869073
"Nimisha T.M., Singh A.K., Rajagopalan A.N.",57024030000;57200622318;16647440100;,Blur-Invariant Deep Learning for Blind-Deblurring,2017,Proceedings of the IEEE International Conference on Computer Vision,2017-October,,8237771,4762,4770,,1,10.1109/ICCV.2017.509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041925681&doi=10.1109%2fICCV.2017.509&partnerID=40&md5=de36aced0885092fde082a3245d05a0a,"Indian Institute of Technology, Madras, India","Nimisha, T.M., Indian Institute of Technology, Madras, India; Singh, A.K., Indian Institute of Technology, Madras, India; Rajagopalan, A.N., Indian Institute of Technology, Madras, India","In this paper, we investigate deep neural networks for blind motion deblurring. Instead of regressing for the motion blur kernel and performing non-blind deblurring outside of the network (as most methods do), we propose a compact and elegant end-to-end deblurring network. Inspired by the data-driven sparse-coding approaches that are capable of capturing linear dependencies in data, we generalize this notion by embedding non-linearities into the learning process. We propose a new architecture for blind motion deblurring that consists of an autoencoder that learns the data prior, and an adversarial network that attempts to generate and discriminate between clean and blurred features. Once the network is trained, the generator learns a blur-invariant data representation which when fed through the decoder results in the final deblurred output. © 2017 IEEE.",,Computer vision; Deep neural networks; Learning systems; Adversarial networks; Blind deblurring; Blur invariants; Data representations; Learning process; Linear dependency; Motion deblurring; Sparse coding; Deep learning,,,Institute of Electrical and Electronics Engineers Inc.,15505499,9.78154E+12,PICVE,,English,Proc IEEE Int Conf Comput Vision,Conference Paper,,Scopus,2-s2.0-85041925681
"Infante C., Chamberlain D., Fletcher R., Thorat Y., Kodgule R.",57191523119;57038171600;7201875267;57194213618;54585479600;,Use of cough sounds for diagnosis and screening of pulmonary disease,2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings",2017-January,,,1,10,,,10.1109/GHTC.2017.8239338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047756178&doi=10.1109%2fGHTC.2017.8239338&partnerID=40&md5=72ae3eb57ba1ab4c2ef5f0601692f2af,"Massachusetts Institute of Technology, 265 Massachusetts Ave., Cambridge, MA, United States; Chest Research Foundation, Survey No. 15, Marigold Premises, Kalyani Nagar, Vadgaonsheri, Pune, India","Infante, C., Massachusetts Institute of Technology, 265 Massachusetts Ave., Cambridge, MA, United States; Chamberlain, D., Massachusetts Institute of Technology, 265 Massachusetts Ave., Cambridge, MA, United States; Fletcher, R., Massachusetts Institute of Technology, 265 Massachusetts Ave., Cambridge, MA, United States; Thorat, Y., Chest Research Foundation, Survey No. 15, Marigold Premises, Kalyani Nagar, Vadgaonsheri, Pune, India; Kodgule, R., Chest Research Foundation, Survey No. 15, Marigold Premises, Kalyani Nagar, Vadgaonsheri, Pune, India","Cough sound analysis has attracted interest as a potential low-cost diagnostic tool for low-resource settings, where the burden of pulmonary disease is quite high. However, published results on cough sound analysis are generally limited to specific pulmonary diseases (e.g. detection of Whooping cough - Pertussis) and the study sizes are small. In this paper, we present a general framework for cough sound analysis, which includes automatic cough segmentation, feature extraction and a general classification design that can be applied to a wide range of pulmonary diseases. For our analysis, three evidence-based features were selected (variance, kurtosis, and zero crossing irregularity) as well as an additional feature that we developed (rate of decay). Our cough sound analysis framework was tested using voluntary cough data collected from 54 patients presenting a combination of pulmonary conditions (COPD, asthma, and allergic rhinitis) equally sampled from all patients arriving at a pulmonary clinic, as well as 33 healthy individuals. All study subjects were examined with a stethoscope auscultation, clinical questionnaire, and peak flow meter, and were given a full pulmonary function test (spirometer, body plethysmograph, DLCO), which was the gold standard used to determine each patient's diagnosis. When the classifiers were trained using cough sounds alone, the accuracy (as determined by the AUC of the ROC curve) was 74% for Healthy vs Unhealthy, 80% for Obstructive vs non-Obstructive, and 81% for Asthma vs COPD. We also compared the performance of our cough sound analysis against other low-cost diagnostic tools and observed that cough sounds surprisingly had better performance than lung sound auscultation alone, but had significantly lower performance compared to our clinical questionnaire or peak flow meter test. From these data, we conclude that cough sounds have value as a rapid and simple screening tool, but are of less diagnostic value compared to a clinical questionnaire or peak flow meter. © 2017 IEEE.",algorithms; auscultation; cough; diagnostics; intelligence; lung; machine learning; mobile; phone; pulmonary; sounds,Acoustic waves; Algorithms; Biological organs; Cost benefit analysis; Diagnosis; Diagnostic products; Flow measurement; Flowmeters; Learning systems; Plasma diagnostics; Surveys; auscultation; cough; intelligence; lung; mobile; phone; pulmonary; Pulmonary diseases,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047756178
"Nath P., Kilam S., Swetapadma A.",57202647725;57202639477;56083945400;,A machine learning approach to predict volatile substance abuse for drug risk analysis,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,255,258,,,10.1109/ICRCICN.2017.8234516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048971498&doi=10.1109%2fICRCICN.2017.8234516&partnerID=40&md5=888401173c6576fb4258df8659597eaa,"School of Computer Engineering, KIIT University, Bhubaneswar, Odisha, India","Nath, P., School of Computer Engineering, KIIT University, Bhubaneswar, Odisha, India; Kilam, S., School of Computer Engineering, KIIT University, Bhubaneswar, Odisha, India; Swetapadma, A., School of Computer Engineering, KIIT University, Bhubaneswar, Odisha, India","In this work a machine learning approach is proposed for prediction of volatile substance abuse. Machine learning technique used in this work is artificial neural networks (ANN). Two ANN modules are designed, ANN-D to predict whether a person is using VSA or not and ANN-C to predict the time of use. Input features used are age, gender, country, ethnicity, education, neuroticism, openness to experience, extraversion, agreeableness, conscientiousness, impulsiveness, sensation seeking etc. Input features are given to the ANN-Dmodule to predict if volatile substance abuse (VSA) has been done by the person or not. ANN-C module predicts the use of VSA in terms of time such as day, week, month, year, decade, beforea decade, etc. The accuracy of the ANN-D module is found to be 81% and ANN-C module is 71.9%. Hence the proposed method can be used for drug analysis to some extent. © 2017 IEEE.",Drugs; Machine learning; Neural Network; VSA,Forecasting; Neural networks; Risk analysis; Risk assessment; Drug analysis; Drugs; Input features; Machine learning approaches; Machine learning techniques; Sensation-seeking; Time of use; Volatile substances; Learning systems,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048971498
"Das S., Kolya A.K.",57202083232;35230063600;,Sense GST: Text mining & sentiment analysis of GST tweets by Naive Bayes algorithm,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,239,244,,1,10.1109/ICRCICN.2017.8234513,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048982752&doi=10.1109%2fICRCICN.2017.8234513&partnerID=40&md5=228a4df02b536b9e125325c172f1b72f,"Dept. of Computer Science and Engg., RCC Institute of Information Technology, Kolkata, India","Das, S., Dept. of Computer Science and Engg., RCC Institute of Information Technology, Kolkata, India; Kolya, A.K., Dept. of Computer Science and Engg., RCC Institute of Information Technology, Kolkata, India","In this modern era of communication, people are always connected to the internet. Hence, everyone tends to express their opinions on social media or e-commerce websites about commercial products, movies, sports, social and geopolitical matters and even on government policies. These opinions reflect the corresponding person's view or sentiment about that particular matter, which ultimately leads to the formation of opinion polarity regarding a specific issue. In today's context, Twitter, Facebook or other social platforms often witness a lot of opinion waves regarding some of the today's most hot topics, and one of them surely is the introduction of Goods and Services Tax or GST in India. The rising sentiment analysis and opinion mining regarding this issue is helping researchers to understand the insight of public emotion. It can be also implemented to gain an idea of allover opinion polarity of people in this matter. GST was one of the most rending topic on social network platforms during Jun-July 2017, so in this paper, we present a simple and robust work to gather, analyze and graphically represent people's opinion about India's new taxation system using Naive Bayes algorithm. © 2017 IEEE.",GST; Machine Learning; Naive Bayes; Sentiment Analysis; Text Mining,Artificial intelligence; Classifiers; Learning systems; Natural language processing systems; Sentiment analysis; Social networking (online); Taxation; Text processing; Always-connected; Commercial products; E-commerce websites; Naive bayes; Naive-Bayes algorithm; Network platforms; Social media; Text mining; Data mining,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048982752
"Bhattacharjee S., Singh Y.J., Ray D.",57202684065;55001892600;14023170300;,Comparative performance analysis of machine learning classifiers on ovarian cancer dataset,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,213,218,,1,10.1109/ICRCICN.2017.8234509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049036463&doi=10.1109%2fICRCICN.2017.8234509&partnerID=40&md5=b79b4db3b759279184623e234a5d3e54,"National Institute of Electronics and Information Technology (NIELIT), Jadavpur University, Kolkata, India; Indian Institute of Technology, Indian School of Mines, Dhanbad, India","Bhattacharjee, S., National Institute of Electronics and Information Technology (NIELIT), Jadavpur University, Kolkata, India; Singh, Y.J., National Institute of Electronics and Information Technology (NIELIT), Jadavpur University, Kolkata, India; Ray, D., Indian Institute of Technology, Indian School of Mines, Dhanbad, India","Machine learning classifiers help physicians to make near-perfect diagnoses, minimizing costs and time. Since medical data usually contains a high degree of uncertainty and ambiguity, proper ordering and classification require a proper comparative performance analysis of machine learning classifiers. Machine learning classifiers are applied on the Ovarian Cancer Dataset. Ovarian cancer is the fifth leading cause of cancer-related death among women, and is the deadliest of gynecological cancers. The mortality rate of ovarian cancer ranks first. Thus, early diagnosis and treatment are critical for improving the patients' cure rate and prolonging their survival. Here we have investigated Mass spectrometry (MS) field data to develop a computer-aided system for the purpose. Using machine learning techniques, data is classified in different categories to identify benign and malignant cancerous cells and a comparative study has been done to identify the most suitable technique under different operational conditions and datasets. Our Comparative studies show that the Multilayer Perceptron (MLP) is the best options for such detection considering its performance metrics such as Accuracy, Sensitivity, Specificity and Errors. © 2017 IEEE.",Biomarkers; Machine Learning; Mass spectrometry; Ovarian Cancer; Proteomics,Artificial intelligence; Biomarkers; Classification (of information); Diagnosis; Diseases; Mass spectrometry; Molecular biology; Patient treatment; Uncertainty analysis; Comparative performance analysis; Computer-aided systems; Degree of uncertainty; Machine learning techniques; Multi layer perceptron; Operational conditions; Ovarian cancers; Proteomics; Learning systems,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049036463
"Vipani R., Hore S., Basak S., Dutta S.",57200209186;57200208503;57200211566;26654637600;,Gait signal classification tool utilizing Hilbert transform based feature extraction and logistic regression based classification,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,57,61,,,10.1109/ICRCICN.2017.8234481,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048999457&doi=10.1109%2fICRCICN.2017.8234481&partnerID=40&md5=0c3606c0c540c07d581f2e8edde77c1a,"Department of Electrical Engineering, Heritage Institute of Technology, Kolkata, India; Department of Electrical Engineering, Jadavpur University, Kolkata, India","Vipani, R., Department of Electrical Engineering, Heritage Institute of Technology, Kolkata, India; Hore, S., Department of Electrical Engineering, Heritage Institute of Technology, Kolkata, India; Basak, S., Department of Electrical Engineering, Jadavpur University, Kolkata, India; Dutta, S., Department of Electrical Engineering, Heritage Institute of Technology, Kolkata, India","In this paper, we have employed a machine learning approach for automatic classification of healthy and pathological gait signals and subsequent identification of the neurological disorder in the pathological gait signals. The machine learning algorithm we have proposed is the Logit model of the Logical Regression Classifier. As the process of walking is automatically controlled by the nervous system it is important to develop a non-invasive method so that patients with serious neurological disorders like Huntington's disease and Parkinson's disease receive early medical attention and they get proper care before they are more affected. Swing, Stance and double support intervals (expressed as percentages of stride) of 63 subjects were analyzed. In this paper, a relevant gait signal feature extractor is developed which is combined with Logistic Regression Classifier to classify healthy subjects and pathological subjects. Analysis of real-time gait signals is simplified using the Hilbert Transform which converts the real signals into an analytic signal. The proposed algorithm was developed using the MATLAB platform and the average accuracy of multiclass classification is found to be 86.05% while the accuracy of detecting healthy subjects from pathological subjects is 87.79% and the accuracy of classifying subjects having the Huntington's disease and Parkinson's disease is found to be 85.22%. © 2017 IEEE.",Feature Extraction; Gait Signals; Hilbert Transform; Logistic Regression Classifiers; Multi-class Classification,Artificial intelligence; Extraction; Feature extraction; Learning algorithms; Learning systems; Mathematical transformations; Neurodegenerative diseases; Neurology; Noninvasive medical procedures; Regression analysis; Automatic classification; Hilbert transform; Logistic regression classifier; Logistic regressions; Machine learning approaches; Multi-class classification; Neurological disorders; Signal classification; Classification (of information),,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85048999457
"Das P., Saha S.",23093733200;37102694900;,A novel SFLA based method for gene expression biclustering,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,198,202,,1,10.1109/ICRCICN.2017.8234506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049016941&doi=10.1109%2fICRCICN.2017.8234506&partnerID=40&md5=3638ca2d11e8adc0d7a24cfdafcefb86,"Department of Computer Science and Engineering, National Institute of Technology Calicut, Kerala, 673601, India; Department of Computer Science and Engineering, Heritage Institute of Technology KolkataWest Bengal  700107, India","Das, P., Department of Computer Science and Engineering, National Institute of Technology Calicut, Kerala, 673601, India; Saha, S., Department of Computer Science and Engineering, Heritage Institute of Technology KolkataWest Bengal  700107, India","Form the time of its invention, microarray technology is continuously growing and has been taking major role in biological research. This technology generates huge amount of gene expression data for biological analysis. Parallel computation methods are required to find functional associations from this large amount of biological data. An unsupervised machine learning technique, clustering algorithm groups similar genes based on entire conditions. But normal clustering methods cannot find different cellular processes from gene expression data because a biological activity can start functioning in the presence of some specific conditions. So, biclustering techniques are used instead of normal clustering. Biclustering basically identifies a set of genes that are co-expressed for some specific experimental conditions. Here we introduce an improved shuffled frog leaping algorithm(SFLA) based approach to find biclusters. SFLA is a hybrid of evolutionary memetic algorithm and collective intelligence based particle swarm optimization algorithm. Also It has faster convergence speed. By applying the proposed algorithm on yeast (Saccharomyces cerevisiae) cell cycle dataset, large number of biologically significant biclusters are obtained, which are verified by gene ontology database, compared to other existing algorithms. Also the biclusters have small MSR value and large size. © 2017 IEEE.",Biclustering; Gene Expression Data; Gene Ontology; Microarray; Shuffled Frog Leaping Algorithm,Artificial intelligence; Bioactivity; Gene expression; Learning systems; Microarrays; Particle swarm optimization (PSO); Yeast; Bi-clustering; Collective intelligences; Gene Expression Data; Gene ontology; Improved shuffled frog leaping algorithms; Particle swarm optimization algorithm; Shuffled frog leaping algorithm (SFLA); Unsupervised machine learning; Clustering algorithms,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049016941
