Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Padmaja N., Subba Rao Ch.D.V., Ramakrishna G.",55339735000;56584378800;57194441875;,Analysis of teager energy estimation using TEO and HHT,2017,ACM International Conference Proceeding Series,,,,397,401,,,10.1145/3176653.3176670,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045520853&doi=10.1145%2f3176653.3176670&partnerID=40&md5=cb22575b206d1b2d9046499d8d253359,"Department of ECE, SreeVidyanikethanEngg College, Tirupati, 517102, India; Department of CSE, S V University, college of Engineering, Tirupati, 517102, India","Padmaja, N., Department of ECE, SreeVidyanikethanEngg College, Tirupati, 517102, India; Subba Rao, Ch.D.V., Department of CSE, S V University, college of Engineering, Tirupati, 517102, India; Ramakrishna, G., Department of ECE, SreeVidyanikethanEngg College, Tirupati, 517102, India","Teager energy is the physical energy which is required in-order to generate a signal. One of the approaches to measure the Teager energy is using Teager Energy Operator. But the usage of Teager Energy Operator is limited by two restrictions. Firstly, the differences between the instantaneous amplitudes and digital frequencies of the adjacent samples of the signal should be very small. Secondly, the energy of the process that generates a signal is in agreement when the digital frequency of the signal is also small. Another approach to measure Teager energy is by using Empirical Mode Decomposition (EMD) and Hilbert-Huang Transform (HHT) which makes the use of instantaneous energy expression. This energy expression used for the Teager energy ensures that the energy is always positive, and it is in agreement with the energy required to generate a signal. But the Empirical Mode Decomposition process results in Mode-Mixing problem. The proposed algorithm utilizes the Ensemble Empirical Mode Decomposition (EEMD) to resolve the Mode-Mixing problem. © 2017 Association for Computing Machinery.",Empirical mode decomposition; Ensemble empirical mode decomposition; HilbertHuang transform; Teager energy operator,Mathematical transformations; Mixing; Empirical Mode Decomposition; Energy expression; Ensemble empirical mode decomposition; Ensemble empirical mode decompositions (EEMD); Hilbert Huang transforms; Instantaneous amplitude; Teager energies; Teager energy operators; Signal processing,,,Association for Computing Machinery,,9.78145E+12,,,English,ACM Int. Conf. Proc. Ser.,Conference Paper,,Scopus,2-s2.0-85045520853
"Singh N., Sharma S.D., Yennamalli R.M.",57200212617;56486370100;23568819800;,Modified S-transform as a tool to identify secondary structure elements in RNA,2017,Bio-Algorithms and Med-Systems,13,4,,187,193,,,10.1515/bams-2017-0023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040365714&doi=10.1515%2fbams-2017-0023&partnerID=40&md5=79b81932fe5fc1a4220a5196bb9cf41c,"Department of Biotechnology and Bioinformatics, Jaypee University of Information Technology, Waknaghat, Himachal Pradesh, 173234, India; Department of Electronics and Communication Engineering, Jaypee University of Information Technology, Waknaghat, Himachal Pradesh, 173234, India","Singh, N., Department of Electronics and Communication Engineering, Jaypee University of Information Technology, Waknaghat, Himachal Pradesh, 173234, India; Sharma, S.D., Department of Electronics and Communication Engineering, Jaypee University of Information Technology, Waknaghat, Himachal Pradesh, 173234, India; Yennamalli, R.M., Department of Biotechnology and Bioinformatics, Jaypee University of Information Technology, Waknaghat, Himachal Pradesh, 173234, India","In this article, we describe the applicability of a signal processing method, specifically the modified S-transform (MST) method, on RNA sequences to identify periodicities between 2 and 11. MicroRNAs (miRNA) are associated with gene regulation and gene silencing and thus have wide applications in biological sciences. Also, the functionality of miRNA is highly associated with its secondary structures (stem, bulge and loop). Signal processing methods have been previously applied on genomic data to reveal the periodicities that determine a wide variety of biological functions, ranging from exon detection to microsatellite identification in DNA sequences. However, there has been less focus on RNA-based signal processing. Here, we show that the signal processing method can be successfully applied to miRNA sequences. We observed that these periodicities are highly correlated with the secondary structure of miRNA and such methods could possibly be used as indicators of secondary and tertiary structure formation. © 2017 Walter de Gruyter GmbH, Berlin/Boston.",microRNA (miRNA); modified S-transform; RNA sequences; secondary structure elements,DNA; microRNA; analytic method; Article; biological functions; DNA sequence; gene control; gene silencing; modified S transform method; periodicity; priority journal; protein secondary structure; RNA sequence; signal processing,"Yennamalli, R.M.; Department of Biotechnology and Bioinformatics, Jaypee University of Information TechnologyIndia; email: ym.ragothaman@juit.ac.in",,Walter de Gruyter GmbH,18959091,,,,English,Bio-Algorithms Med-Syst.,Article,,Scopus,2-s2.0-85040365714
"Agrahari A., Garg N., Jagannatham A.K.",57189874100;56765317500;8327633900;,Regularized secondary beamforming in cognitive radio networks with limited feedback,2017,"IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC",2017-July,,8227750,1,5,,,10.1109/SPAWC.2017.8227750,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044214285&doi=10.1109%2fSPAWC.2017.8227750&partnerID=40&md5=439109af69862634e429e6fe6b4792f1,"Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, 208016, India","Agrahari, A., Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, 208016, India; Garg, N., Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, 208016, India; Jagannatham, A.K., Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, 208016, India","This paper proposes a novel technique for secondary user beamforming in cognitive radio networks (CRN). A practical scheme based on limited rate feedback from secondary users to secondary base station (SBS) and feedback from primary users to SBS are employed to acquire the secondary user channel and interference channel state information. Subsequently, a scheme is presented for regularized beamforming in a secondary user system to avoid performance degradation caused by noise amplification. The proposed scheme decomposes the optimal beamformer computation paradigm into sub-problems followed by solving them in an iterative manner. Simulation results demonstrate the better performance of the proposed practical scheme in comparison to ideal scheme. © 2017 IEEE.",,Beamforming; Channel state information; Iterative methods; Signal processing; Wireless telecommunication systems; Cognitive radio network; Cognitive radio network (CRN); Computation paradigms; Interference channels; Noise amplification; Novel techniques; Performance degradation; Practical schemes; Cognitive radio,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,IEEE Workshop Signal Process. Adv. Wireless Commun. SPAWC,Conference Paper,,Scopus,2-s2.0-85044214285
"Nadh A., Ganti R.K.",57191334397;57203061259;,Estimation of the self-interference channel with received signal in full-duplex radios,2017,"IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC",2017-July,,8227685,1,5,,,10.1109/SPAWC.2017.8227685,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044176769&doi=10.1109%2fSPAWC.2017.8227685&partnerID=40&md5=238ede86d65560b77d62c2768ef1823d,"Department of Electrical Engineering, Indian Institute of Technology, Madras, Chennai, 600036, India","Nadh, A., Department of Electrical Engineering, Indian Institute of Technology, Madras, Chennai, 600036, India; Ganti, R.K., Department of Electrical Engineering, Indian Institute of Technology, Madras, Chennai, 600036, India","A major challenge in realising a full-duplex (FD) transceiver is to decode the received signal in presence of the strong transmit signal termed as self-interference (SI). Usually SI is suppressed by reconstructing it using the transmit signal and subtracting it at the FD receiver. For good cancellation, an accurate estimate of the SI channel is essential. However, training for obtaining the SI channel in the presence of intended received signal requires a large training period. This can be addressed by designating a separate training period during which received signal is turned off, and the SI channel is estimated. However having a separate training period impacts the overall achievable rate. In this paper, we propose a technique that exploits the structure of the received signal to train for SI channel in the presence of received signal. Specifically, we propose a time domain symmetric preamble packet in the received signal to create effective samples in which the received signal is absent. Further, we bound the variance of the channel estimates thus obtained and observe that the performance is same as that of having a separate training period. The performance of the proposed technique is also evaluated by an experiment setup. © 2017 IEEE.",,Finite difference method; Separation; Signal interference; Signal processing; Time domain analysis; Wireless telecommunication systems; Channel estimate; Experiment set-up; Full-duplex; Full-duplex radios; Received signals; Self-interferences; Time domain; Signal receivers,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,IEEE Workshop Signal Process. Adv. Wireless Commun. SPAWC,Conference Paper,,Scopus,2-s2.0-85044176769
"Garg N., Agrahari A., Sharma G.",56765317500;57189874100;7202756992;,On the MMSE precoder design for interference alignment in MIMO interfering broadcast channel,2017,"IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC",2017-July,,8227797,1,5,,1,10.1109/SPAWC.2017.8227797,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044193331&doi=10.1109%2fSPAWC.2017.8227797&partnerID=40&md5=5ba069473bf05b208c39f39bea6478cd,"Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India","Garg, N., Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India; Agrahari, A., Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India; Sharma, G., Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India","In this paper, minimum MSE based interference alignment (IA) algorithm is developed for the interfering broadcast channel (IBC), which models the multi-cell downlink system, underlying cognitive radio, device-to-device and other scenarios. The IA precoders and decoders are computed to minimize the MSE. Cascade design is used for IA precoder design, where the first component precoder is obtained by MSE minimization and the second component of the cascade precoder is computed using zero forcing to null the intra-group interference. The resultant design is iterated to obtain the optimal precoder-decoder for IA. In simulations, the algorithm is analyzed for convergence, SNR behavior, and precoder initialization sensitiveness. It can be seen that the sum rate of the algorithm is non-decreasing in each iteration and performs better than the least squares based IA algorithm for IBC. © 2017 IEEE.",Cascade precoders; Cognitive Radio; D2D; Downlink; Interference Alignment; Interfering broadcast channel; MIMO; MMSE algorithm; Precoder design; Zero forcing,Broadcasting; Codes (symbols); Cognitive radio; Decoding; Iterative methods; MIMO systems; Radio broadcasting; Signal to noise ratio; Wireless telecommunication systems; Downlink; Interference alignment; Interfering broadcast channels; Precoder design; Precoders; Zero-forcing; Signal processing,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,IEEE Workshop Signal Process. Adv. Wireless Commun. SPAWC,Conference Paper,,Scopus,2-s2.0-85044193331
"Manikandan M.S., Yadav A.K., Ghosh D.",57191912864;57201290671;57201786915;,Elimination of impulsive disturbances from archive audio signals using sparse representation in mixed dictionaries,2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",2017-December,,,2531,2535,,,10.1109/TENCON.2017.8228288,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044209903&doi=10.1109%2fTENCON.2017.8228288&partnerID=40&md5=b437415606bf3d91253f5f04d8076286,"School of Electrical Sciences, Indian Institute of Technology Bhubaneswar, Odisha, 751013, India","Manikandan, M.S., School of Electrical Sciences, Indian Institute of Technology Bhubaneswar, Odisha, 751013, India; Yadav, A.K., School of Electrical Sciences, Indian Institute of Technology Bhubaneswar, Odisha, 751013, India; Ghosh, D., School of Electrical Sciences, Indian Institute of Technology Bhubaneswar, Odisha, 751013, India","This paper presents an automatic method for simultaneous detection and elimination of impulsive noises from audio signals. The method is based on the sparse signal decomposition (SSD) with overcomplete hybrid dictionary (OHD) matrix including impulse and sinusoidal waveforms derived from discrete impulse, sine and cosine functions, and 1-norm optimization algorithm. The SSD technique decomposes an audio signal into two parts: an approximation part including the sinusoidal components; and a detail part including the impulsive and background noise components. Results show that the impulse waveforms can adequately capture clicks, pops and record scratches in audio signals meanwhile the sinusoids of the OHD matrix can effectively capture sinusoidal components. For performance comparison purpose, four restoration methods are implemented based on the representation dictionaries, median filter, and signal dependent rank order mean techniques. The methods are validated using audio signals extracted from old archive Indian and English movies and standard music database. The quality of the restored audio signals is evaluated using both subjective quality and objective quality metrics. Results show that the proposed method effectively removes impulsive noises without degrading the perceived audio quality and its intelligibility as compared to the existing restoration methods. © 2017 IEEE.",,Acoustic noise; Audio acoustics; Cosine transforms; Impulse noise; Median filters; Optimization; Restoration; Impulsive disturbances; Objective qualities; Optimization algorithms; Performance comparison; Simultaneous detection; Sinusoidal components; Sinusoidal waveforms; Sparse representation; Signal processing,,,Institute of Electrical and Electronics Engineers Inc.,21593442,9.78151E+12,85QXA,,English,IEEE Reg 10 Annu Int Conf Proc TENCON,Conference Paper,,Scopus,2-s2.0-85044209903
"Khanna S., Murthy C.R.",56542531500;35790310300;,Rényi divergence based covariance matching pursuit of joint sparse support,2017,"IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC",2017-July,,8227671,1,5,,2,10.1109/SPAWC.2017.8227671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041774380&doi=10.1109%2fSPAWC.2017.8227671&partnerID=40&md5=70a7f5146994fd1bdad7a28d0d2e0f0f,"Department of Electrical Communication Engineering, Indian Institute of Science, Bangalore, 560012, India","Khanna, S., Department of Electrical Communication Engineering, Indian Institute of Science, Bangalore, 560012, India; Murthy, C.R., Department of Electrical Communication Engineering, Indian Institute of Science, Bangalore, 560012, India","In this work, we consider the joint sparse support recovery problem where the goal is to recover the common support of multiple joint sparse vectors from their compressive, linear measurements. We propose a Rényi Divergence based Covariance Matching Pursuit (RD-CMP) algorithm which recovers the common support of the joint sparse signals as the hyperparameters of a joint sparsity inducing Gaussian signal prior. The support hyperparameters are learned as a set variable by solving a reverse information projection problem based on the ?-Rényi information divergence. We show that the ?-Rényi divergence objective can be expressed as a difference of two submodular functions, and propose an iterative majorization-minimization procedure to minimize the objective, with each iteration involving a greedy optimization. Through simulations, we demonstrate that the proposed RD-CMP algorithm is capable of recovering k-sparse support from fewer than k measurements per signal. Compared with existing covariance matching based joint sparse support recovery methods, RD-CMP is empirically shown to be several times faster in execution. © 2017 IEEE.",Compressed sensing; Covariance matching; Joint sparsity; Multiple measurement vector problem; Rényi divergence; Sparse Bayesian learning; Submodularity,Compressed sensing; Iterative methods; Optimization; Recovery; Wireless telecommunication systems; Covariance matching; Joint sparsity; Multiple measurement vector problems; Sparse Bayesian learning; Submodularity; Signal processing,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,IEEE Workshop Signal Process. Adv. Wireless Commun. SPAWC,Conference Paper,,Scopus,2-s2.0-85041774380
"Tripathi R.P., Mishra G.R.",56785136900;57202111481;,Study of various data compression techniques used in lossless compression of ECG signals,2017,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017",2017-January,,,1093,1097,,,10.1109/CCAA.2017.8229958,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046497144&doi=10.1109%2fCCAA.2017.8229958&partnerID=40&md5=a84db0010e05f1f7b4ee4f891e55019c,"Department of Electronics and Communication Engineering, ASET, Amity University, Lucknow, India","Tripathi, R.P., Department of Electronics and Communication Engineering, ASET, Amity University, Lucknow, India; Mishra, G.R., Department of Electronics and Communication Engineering, ASET, Amity University, Lucknow, India",As we know that developments in technology are introducing various methods for Tele-cardiology. Tele-cardiology includes many of the applications and this is one of the fields in telemedicine which have seen excellent growth. In the procedures of Tele-cardiology we record a extremely large amount of ECG real time data. Therefore we require an efficient and lossless technique that is able to perform compression of recorded ECG signals. In this paper we have studied and analyzed various lossless data compression techniques used in the compression of ECG signals. In the course of studying various techniques we have presented the analysis of some most widely used time domain techniques those are AZTEC (Amplitude zone time epoch coding) technique and Turning point technique (TP) and in transformation based compression techniques we have presented the study of Discrete Cosine Transform technique (DCT) performed with Huffman coding technique and Empirical Mode Decomposition (EMD) technique. The overall performance of all these techniques are studied and analyzed on the basis of two main parameters those are the compression ratio (CR) and Percent Root means square Difference (PRD). We have used the data base of physionet.org website for the calculation of CR and PRD. We have calculated and compared the CR and PRD values using all above discussed techniques for 28 sets of the recorded data. © 2017 IEEE.,ASCII; CR; CVD; DCT; ECG; EMD; PRD; TELE-CARDIOLOGY,Cardiology; Chemical vapor deposition; Chromium; Data compression; Discrete cosine transforms; Electrocardiography; Signal processing; ASCII; Compression techniques; Data compression techniques; Empirical Mode Decomposition; Lossless compression; Lossless data compression; Time-domain technique; Transformation based; Time domain analysis,,Astya P.N.Gupta K.Sharma V.Swaroop A.Singh M.,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"Proceeding - IEEE Int. Conf. Comput., Commun. Automat., ICCCA",Conference Paper,,Scopus,2-s2.0-85046497144
"Dora C., Biswal P.K.",57192315758;36605714600;,Automated detection of nonphysiological artifacts in polysomnographic EEG using conventional signal processing techniques,2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",2017-December,,,1568,1572,,,10.1109/TENCON.2017.8228106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044238976&doi=10.1109%2fTENCON.2017.8228106&partnerID=40&md5=c8ba89b233974d4d51ff91bb13ef0a5e,"Dept. of Electronics and Telecommunication Engineering, International Institute Information of Technology, Bhubaneswar, 751003, India","Dora, C., Dept. of Electronics and Telecommunication Engineering, International Institute Information of Technology, Bhubaneswar, 751003, India; Biswal, P.K., Dept. of Electronics and Telecommunication Engineering, International Institute Information of Technology, Bhubaneswar, 751003, India","Polysomnograhy EEG is mainly used to diagnose sleep disorders and related diseases. Hence, for effective analysis or diagnosis using the polysomnographic EEG, the acquired signal must be artifact free. This paper presents conventional signal processing techniques to detect the non-physiological artifacts in EEG signal like flat lines (FL), baseline wandering (BW), movement artifacts (MA), 50Hz/60Hz power line interference (PLI) and abrupt slopes (AS) due to electrode pop or cardiac pacemakers in the subject body. The proposed algorithms use the turning point calculation algorithm considering the amplitude and frequency variation of the sleep stages of the polysomnographic EEG. The algorithms are validated using the polysomnography EEG dataset available in the Physionet. © 2017 IEEE.",Artifacts; AS; BW; EEG; FL; MA; PLI; turning point calculation,Arsenic; Biomedical signal processing; Diagnosis; Electroencephalography; Pacemakers; Artifacts; Automated detection; Calculation algorithms; Effective analysis; Frequency variation; Powerline interference; Signal processing technique; Turning points; Signal processing,,,Institute of Electrical and Electronics Engineers Inc.,21593442,9.78151E+12,85QXA,,English,IEEE Reg 10 Annu Int Conf Proc TENCON,Conference Paper,,Scopus,2-s2.0-85044238976
"Swain S.S., Patra D.",57201302166;23985620900;,Analysis of myocardial infarction using wavelet transform and multiscale energy analysis,2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",2017-December,,,1640,1645,,,10.1109/TENCON.2017.8228121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044234426&doi=10.1109%2fTENCON.2017.8228121&partnerID=40&md5=c013514f62ac12025847394dc6155baf,"Department of Electrical Engineering, National Institute of Technology, Ronrkela, India","Swain, S.S., Department of Electrical Engineering, National Institute of Technology, Ronrkela, India; Patra, D., Department of Electrical Engineering, National Institute of Technology, Ronrkela, India","Myocardial Infarction (MI) is otherwise termed as heart attack, occurs when blood supply stops to certain artery or to some portion of arteries. MI is depicted in elevated ST-segment, wide pathological Q wave and inversion of T wave in electrocardiogram (ECG). This paper presents a multiscale energy based method for detection of MI. Detection of MI by consideration of fewer ECG leads requires prior information of the pathological characteristics of the disease. Thus, here we have considered all the 12 leads of the ECG signal simultaneously for detection of MI. Wavelet transform of all the leads of MI decomposes the signal into subbands of different order. The multiscale energy of all the bands are computed and the normalized multiscale energy of the wavelet coefficients are considered. The pathological structure present in the ECG data alters the covariance structure of the subband matrix and thus changes in the feature parameters of the signal occur, which leads to detection of MI. The results are presented using the standard MI ECG data from PTB diagnostic database. © 2017 IEEE.",covariance; electrocardiogram; multiscale energy; Myocardial Infarction; subband matrix,Cardiology; Covariance matrix; Diagnosis; Electrocardiography; Matrix algebra; Signal processing; covariance; Covariance structures; Multi-scale energy analysis; Multiscale energy; Myocardial Infarction; Pathological structures; Subbands; Wavelet coefficients; Wavelet transforms,,,Institute of Electrical and Electronics Engineers Inc.,21593442,9.78151E+12,85QXA,,English,IEEE Reg 10 Annu Int Conf Proc TENCON,Conference Paper,,Scopus,2-s2.0-85044234426
