Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Joshitha K.L., Jayashri S.",56565651300;6506704227;,Performance analysis for lifetime improvement of a regression based clustered network through cluster member allocation and secondary cluster head selection in a distributed WSN,2017,Cluster Computing,,,,1,10,,,10.1007/s10586-017-1592-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039556715&doi=10.1007%2fs10586-017-1592-y&partnerID=40&md5=a35020ec4a30b3eadcc9fd80285ae2e2,"Sri Sairam Engineering College, Chennai, India; Adhiparasakthi Engineering College, Melmaruvathur, India","Joshitha, K.L., Sri Sairam Engineering College, Chennai, India; Jayashri, S., Adhiparasakthi Engineering College, Melmaruvathur, India","Emerging boundless applications of the wireless sensor network considers the coverage as the biggest issue in yielding a good quality of service. The term coverage is strongly correlated with the Lifetime of the network. Improving the network lifetime therefore enhances the sensing task of any network. The work takes up two techniques for improving the lifetime of the linear iterative regression based clustered network. As the energy of the cluster head drains below a threshold due to the traffic carried, the cluster member of the dead heading node can be allocated to some existing eligible cluster heads in the network so that the data sensed by these nodes can still be communicated to the sink. Alternately the allocation of secondary cluster head can be done for the aggregation of data which serves for improvement in lifetime of the network. With exhaustive simulation and evaluated results the performance of the two schemes are compared using throughput, Network lifetime and residual energy and it shows that the secondary cluster head allocation scheme is better in performance improvement of the network with the lifetime improvement of 22.8% and throughput improvement of 18.6% as compared to that of the cluster member allocation scheme. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Cluster head; Cluster member; Clustered network; Network coverage; Network lifetime; Residual energy; Throughput,Iterative methods; Quality of service; Sensor nodes; Throughput; Cluster head; Cluster member; Clustered networks; Network coverage; Network lifetime; Residual energy; Wireless sensor networks,"Joshitha, K.L.; Sri Sairam Engineering CollegeIndia; email: lakshmijoshitha@yahoo.com",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039556715
"Jayarajan P., Maheswar R., Kanagachidambaresan G.R.",57200100351;48662436400;54787714400;,Modified energy minimization scheme using queue threshold based on priority queueing model,2017,Cluster Computing,,,,1,8,,1,10.1007/s10586-017-1564-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039544513&doi=10.1007%2fs10586-017-1564-2&partnerID=40&md5=18ce0cbea441ce4ffb45c6fe9896bbce,"Department of ECE, Sri Krishna College of Technology, Coimbatore, India; Department of CSE, Veltech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India","Jayarajan, P., Department of ECE, Sri Krishna College of Technology, Coimbatore, India; Maheswar, R., Department of ECE, Sri Krishna College of Technology, Coimbatore, India; Kanagachidambaresan, G.R., Department of CSE, Veltech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India","A wireless sensor network (WSN) is a group of specialized sensor nodes with a communication infrastructure intended to monitor and record conditions at diverse locations. The critical issue in WSNs is represented by the limited availability of energy within the network and hence optimizing energy consumption is very important. One important existing technique used to prolong the network lifetime of WSN is the Energy Minimization Scheme (EMS) using N-Policy Model (NPM) based on queue threshold but this technique increases mean delay. This paper proposes a Modified Energy Minimization Scheme (MEMS) which reduces the mean delay and average energy consumption of individual nodes in the cluster based heterogeneous sensor network using queue threshold based on M/D/1 Priority Queueing Model (PQM) in order to prolong the network lifetime. The expression for the optimal value of queue threshold for which the node consumes minimum energy using PQM is also derived. Results show that the mean delay is highly reduced in PQM when compared to the NPM and the trade-off exist between the average energy consumption and mean delay is explored. We perform simulations and the results obtained show that the simulation results match with the analytical results thus validating the accuracy of the approach. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Energy; Mean delay; NPM; PQM; Queue threshold,Economic and social effects; Energy utilization; Queueing theory; Sensor nodes; Analytical results; Communication infrastructure; Diverse locations; Energy; Energy minimization; Heterogeneous sensor networks; Mean delays; Queue threshold; Wireless sensor networks,"Jayarajan, P.; Department of ECE, Sri Krishna College of TechnologyIndia; email: pjayarajan@gmail.com",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85039544513
"Dhivvya J.P., Jayakrishnan V.M., Thomas E.K., Ramesh M.V., Divya P.",57195362374;55602758900;57202280321;55411983300;56430791100;,Towards energy conservation in campus using Wireless Sensor Network,2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings",2017-January,,,1,6,,,10.1109/GHTC.2017.8239336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047760746&doi=10.1109%2fGHTC.2017.8239336&partnerID=40&md5=b8b06ad1c63444ff99d7364eb6463123,"Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","Dhivvya, J.P., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Jayakrishnan, V.M., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Thomas, E.K., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Ramesh, M.V., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Divya, P., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","Educational institutions, should set a role model, in the reduction of the carbon foot print, to protect mother earth. In this paper we focus on designing a Wireless Sensor Network (WSN) based system, which can efficiently conserve the energy of class rooms and labs. We have identified temperature, light, pressure sensors to be utilized for this application. Infra Red receiver and transmitter is used to detect an event whether a person is leaving the room or not. Server room is checked for humidity, temperature, smoke by an integrated sensor, which sends the sensed data to the cloud. So all the sensors send the data periodically to the cloud, which processes the collected data and send the triggered response to the necessary output device and message the facility manager to take administrative actions. The status of each room in each floor is ultimately received at the central monitoring station at the ground floor of the building. The proposed system is designed in such a manner, it can be replicated cost-efficiently in multiple buildings within a campus by using low cost sensors and with the existing communication devices. Therefore this Green Campus System (GCS) design based on wireless sensor networks help in meeting the target of sustainable cities by reducing the overall energy consumption and improving the efficiency in the energy resource management. © 2017 IEEE.",Energy conservation in buildings; Wireless sensor network,Energy conservation; Energy efficiency; Energy utilization; Floors; Historic preservation; Administrative action; Carbon foot prints; Central monitoring stations; Communication device; Educational institutions; Energy resource managements; In-buildings; Sustainable cities; Wireless sensor networks,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047760746
"Rekha P., Rangan V.P., Ramesh M.V., Nibi K.V.",57202326772;55493104700;55411983300;57140660000;,High yield groundnut agronomy: An IoT based precision farming framework,2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings",2017-January,,,1,5,,1,10.1109/GHTC.2017.8239287,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047739596&doi=10.1109%2fGHTC.2017.8239287&partnerID=40&md5=0bca907b6083cbff31d7155b7125f89c,"Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","Rekha, P., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Rangan, V.P., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Ramesh, M.V., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Nibi, K.V., Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","Agriculture is one of the main needs for human to survive. Agriculture has to tackle many problems like changing climate, water shortage, changing soil quality, etc. Due to the increasing demand for cereals and other crops for daily usage by the consumers there is a need for smarter implementation of irrigation and also develop farming methods that alter the basic eco systems and is less harmful to other creatures. India is one of highest crop producing countries all over the world. At the same time, India is facing the challenge of farmers committing suicide because of crop failure and debt. Most of the land in India is still being used for agriculture purposes. Still there exists several places that uses very primitive methods for irrigation, fertilization etc. This leads to the reduction in the crop yield and eventually less income for the farmers. This paper discusses the design and development of an IoT framework that helps farmers to improvise their methods of farming and also make the best use of their land for a better yield and income. The major goal of this IoT framework is to sense agriculture characteristics and advice farmers to properly grow and treat the crops. The system deploys a group of wireless sensor networks nodes deployed in the field for sensing agricultural parameters and the RF communication of WSN node is used to transmit the measured data to base station. Base station is connected to a decision support system. Based on the sensed parameters and the optimum values, the decision support system will generate an appropriate message for farmers. By using the collected data from the sensors, the proposed system will provide suggestions about the monitoring crop such as irrigation timings, directions for optimum usage of fertilizers etc. in accordance to the farmers' lands. An android application has been designed to deliver the messages to farmers in their regional language. The android app also gives information regarding the weather forecast and precaution to be taken based on the weather forecast. © 2017 IEEE.",Agriculture; Automation; IoT; Precision Farming; Smart Irrigation; Wireless Sensor Networks,Agriculture; Android (operating system); Artificial intelligence; Automation; Base stations; Crops; Decision support systems; Internet of things; Irrigation; Sensor nodes; Wireless sensor networks; Android applications; Changing climate; Design and Development; Iot frameworks; Optimum value; Precision farming; RF communication; Water shortages; Weather forecasting,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047739596
"Durga P., Narayanan G., Gayathri B., Ramesh M.V., Divya P.",57202417546;56400546900;57201985155;55411983300;56430791100;,Modelling a smart agriculture system for multiple cropping using wireless sensor networks,2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings",2017-January,,,1,7,,1,10.1109/GHTC.2017.8239342,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047780210&doi=10.1109%2fGHTC.2017.8239342&partnerID=40&md5=ed1d0243b99339c950b5263bc6ac09d7,"Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Dept. of Electronics and Communication Engineering, Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, India","Durga, P., Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Narayanan, G., Dept. of Electronics and Communication Engineering, Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, India; Gayathri, B., Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Ramesh, M.V., Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India; Divya, P., Amrita Centre for Wireless Networks and Applications (Amrita WNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","The field of wireless sensor networks is progressing at a very rapid pace with one of its major application in the area of agriculture. Several research problems have been addressed and solutions have been proposed. Most of these works are based on single crop scenario. Research done in the multiple-cropping scenario, where two or more crops are sown in a single field in the same year, are very few. Here, a unique solution for multiple cropping scenarios, in a system design perspective is proposed. The system forms a closed loop by including MAC protocol, data aggregation, routing and localization developed specifically for this scenario. © 2017 IEEE.",energy efficiency; localization; MAC; multiple cropping; routing; wireless sensor network,Crops; Energy efficiency; Medium access control; Power management (telecommunication); Closed loops; Data aggregation; localization; MAC protocol; multiple cropping; Research problems; routing; Smart agricultures; Wireless sensor networks,,,Institute of Electrical and Electronics Engineers Inc.,,9.78151E+12,,,English,"GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper,,Scopus,2-s2.0-85047780210
"Selvakumar K., Arieth R.M.",24068114900;57200015939;,Contrast for QOS based clustered energy efficient protocol with PSO and multi-hop gateways in wireless sensor network,2017,Cluster Computing,,,,1,8,,,10.1007/s10586-017-1506-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038855020&doi=10.1007%2fs10586-017-1506-z&partnerID=40&md5=d0e79c0d5db07f35f06afa6af7efa4fc,"Department of Information Technology, Annamalai University, Chidambaram, India; Department of Computer Science and Engineering, Annamalai University, Chidambaram, India","Selvakumar, K., Department of Information Technology, Annamalai University, Chidambaram, India; Arieth, R.M., Department of Computer Science and Engineering, Annamalai University, Chidambaram, India","Wireless sensor network is an emerging technology capable of having low-cost and low-power and battery-powered sensor node. At this point the protocol concentric clustered power-efficient gathering in sensor information systems and clustered general self organized tree based energy-balance routing protocol energy efficient protocol are used to increase the energy and to extend network lifetime. For these achievement of clustering techniques, optimization technique particle swarm optimization is used for data transmission through base station. If the base station is inaccessible region from the cluster-head, energy consumption will be augmented and it can shrink the lifetime of wireless sensor network. To conquer these, multi-hop gateway node is implemented with both protocol to achieve maximum lifetime and energy efficiency of wireless sensor network. To improve the quality-of-service (QoS) placing more number of gateways is required. So we propose a new algorithm nearer optimal algorithm which recursively computes least possible adequate dominating sets, at the time constantly preserving QoS requirements across iterations. In this paper comparison is done in terms of throughput, packets delivery ratio and number of nodes alive. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Concentric cluster; Network life time; PEGASIS protocol; Self-organized tree; Wireless sensor networks,Base stations; Energy efficiency; Energy utilization; Internet protocols; Low power electronics; Optimization; Particle swarm optimization (PSO); Power management (telecommunication); Quality of service; Sensor nodes; Wireless sensor networks; Concentric cluster; Emerging technologies; Energy efficient protocols; Network life time; Optimization techniques; PEGASIS; Self-organized tree; Sensor Information Systems; Gateways (computer networks),"Arieth, R.M.; Department of Computer Science and Engineering, Annamalai UniversityIndia; email: madonnamsit@yahoo.com",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85038855020
"Jeba Malar A.C., Kousalya G., Ma M.",57200013332;56032158800;7202444897;,Markovian model based indoor location tracking for Internet of Things (IoT) applications,2017,Cluster Computing,,,,1,8,,,10.1007/s10586-017-1494-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038826439&doi=10.1007%2fs10586-017-1494-z&partnerID=40&md5=a17bd5dfdf2acffc54e6095f9f43ea9a,"Department of Information Technology, Sri Krishna College of Technology, Coimbatore, 641 042, India; Department of CSE, Coimbatore Institute of Technology, Coimbatore, 641 014, India; School of Electrical and Electronic Engineering, Nanyang Technological University, Nanyang Avenue, Singapore, 639798, Singapore","Jeba Malar, A.C., Department of Information Technology, Sri Krishna College of Technology, Coimbatore, 641 042, India; Kousalya, G., Department of CSE, Coimbatore Institute of Technology, Coimbatore, 641 014, India; Ma, M., School of Electrical and Electronic Engineering, Nanyang Technological University, Nanyang Avenue, Singapore, 639798, Singapore","The monitoring of personnel movements, package tracking and other constructional material based tracking is a top concern in pervasive smart environment. Wireless sensor network (WSN) has given its own individuality in tracking scenario. The challenges faced in this paper deals about an effective 2-dimensional movable system tracking and finding the possible prediction of its exact location of the object in the sensing area. An indoor based WSN with wireless sensor nodes has been created, in which RSSI based location sensing methodology is used. The sensing area is classified as shells and the movement of the node is judged with markov model. The proposed algorithm is tested with various speed conditions suitable for IoT applications. Real study shows the effectiveness of the proposed two dimensional algorithms. The obtained results show minimal location error and accurate location of the object. The proposed methodology serves as the better solution for IoT applications. The proposed algorithm outperforms the existing algorithm with reduced error rate and computing iterations or complexity. A cloud enabled IoT based application is developed to location the elderly and post-surgical people. The developed application serves as a better solution for monitoring the elderly people inside the smart home environment without disturbing their privacy. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Location sensing; Pervasive computing; Receiver signal strength indicator (RSSI); Wireless sensor network(WSN),Automation; Intelligent buildings; Location; Markov processes; Sensor nodes; Signal receivers; Tracking (position); Ubiquitous computing; Wireless sensor networks; Constructional material; Developed applications; Indoor location tracking; Internet of Things (IOT); Location-sensing; Signal strengths; Two-dimensional algorithms; Wireless sensor node; Internet of things,"Jeba Malar, A.C.; Department of Information Technology, Sri Krishna College of TechnologyIndia; email: a.christyjebamalar@skct.edu.in",,Springer New York LLC,13867857,,,,English,Cluster Comput.,Article in Press,,Scopus,2-s2.0-85038826439
"Kumar N., Dash D.",57200306577;36243085800;,Time-sensitive data collection with path-constrained mobile sink in WSN,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,,,114,119,,,10.1109/ICRCICN.2017.8234491,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049043335&doi=10.1109%2fICRCICN.2017.8234491&partnerID=40&md5=a00d295eb850953637c4c9257f735582,"National Institute of Information Technology Patna, Bihar, 800005, India","Kumar, N., National Institute of Information Technology Patna, Bihar, 800005, India; Dash, D., National Institute of Information Technology Patna, Bihar, 800005, India","Recently, several studies have considered the use of mobile sink (MS) for data gathering in wireless sensor networks. As, it can enhance lifetime of the sensor network by distributing load among the sensors. In some delay-critical applications, a mobile sink is allowed to move along a predefined path. However, due to the predefined path and relatively slower speed of mobile sink, data gathering from sensors may delayed. Thus, time-sensitive data collection in a constrained path environment using mobile sink has increased attention in the research community. Our proposed paper focuses on finding a sub-path on a given path in the network such that the mobile sink can collect maximum data from the network within given time. We refer it as maximum data gathering by optimal sub-path finding problem (MDGOSP). We develop a deterministic algorithm to solve it. Furthermore, performance of the proposed algorithm is validated through simulation experiments using MATLAB. © 2017 IEEE.",Data collection; Deterministic algorithm; Mobile sink; Optimal sub-path; Wireless sensor networks,Artificial intelligence; Data acquisition; MATLAB; Critical applications; Data collection; Deterministic algorithms; Mobile sinks; Optimal sub-path; Path finding problems; Research communities; Time-sensitive datum; Wireless sensor networks,,Piuri V.Mukherjee A.Mondal A.Das A.Maulik U.Bhattacharjee D.Bhaumik H.Panigrahi B.K.Gandhi T.Bhattacharyya S.Pan I.,Institute of Electrical and Electronics Engineers Inc.,,9.78154E+12,,,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper,,Scopus,2-s2.0-85049043335
"Singh R., Rai B.K., Bose S.K.",57202327108;35148555600;56810288300;,A contention based routing enhanced MAC protocol for transmission delay reduction in a multi-hop WSN,2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",2017-December,,,398,402,,,10.1109/TENCON.2017.8227897,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044234981&doi=10.1109%2fTENCON.2017.8227897&partnerID=40&md5=fe177ea578661fe23bd21416d22b870b,"Department of Electronics and Electrical Engineering, Indian Institute of Technology Guwahati, Guwahati, 781039, India","Singh, R., Department of Electronics and Electrical Engineering, Indian Institute of Technology Guwahati, Guwahati, 781039, India; Rai, B.K., Department of Electronics and Electrical Engineering, Indian Institute of Technology Guwahati, Guwahati, 781039, India; Bose, S.K., Department of Electronics and Electrical Engineering, Indian Institute of Technology Guwahati, Guwahati, 781039, India","In most of wireless sensor network (WSN) applications, energy-efficiency and low end-to-end transmission delay (E2ETD) are essential requirements. This paper presents a contention based routing enhanced MAC protocol, named as CR-MAC, for E2ETD reduction in a multi-hop WSN. CR-MAC reduces E2ETD by optimizing the time interval between the successively sent data packets of a node in a scheduled flow and using a small size control packet to send the request for data transmission. Reduction in the size of control packet also reduces the energy-consumption in the overhearing. We compare the performance of CR-MAC with [4] through ns-2.35 simulations. Results show that CR-MAC outperforms [4] in terms of average energy consumption, E2ETD, and packet delivery ratio. © 2017 IEEE.",End-to-end transmission delay (E2ETD); Energy-efficiency; Medium access control (MAC) protocols; Packet delivery ratio (PDR); Wireless sensor networks (WSNs),Access control; Energy efficiency; Energy utilization; Medium access control; Power management (telecommunication); Routing protocols; Average energy; Contention Based Routing; Control packets; End-to-end transmission; Medium access control protocols; Packet delivery ratio; Transmission delays; Wireless sensor network (WSNs); Wireless sensor networks,,,Institute of Electrical and Electronics Engineers Inc.,21593442,9.78151E+12,85QXA,,English,IEEE Reg 10 Annu Int Conf Proc TENCON,Conference Paper,,Scopus,2-s2.0-85044234981
"Mohapatra S., Khilar P.M.",35810949800;22979419500;,Artificial immune system based fault diagnosis in large wireless sensor network topology,2017,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",2017-December,,,2687,2692,,,10.1109/TENCON.2017.8228317,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044190725&doi=10.1109%2fTENCON.2017.8228317&partnerID=40&md5=5cda084aebc72b39cdf9785202dbbe8c,"Department of Computer Science and Engineering, National Institute of Technology, Rourkela, Odisha, 769008, India","Mohapatra, S., Department of Computer Science and Engineering, National Institute of Technology, Rourkela, Odisha, 769008, India; Khilar, P.M., Department of Computer Science and Engineering, National Institute of Technology, Rourkela, Odisha, 769008, India","The Fault diagnosis problem in wireless sensor network (WSN) based on Artificial Immune System (AIS) is a recent technique to diagnose the fault status of sensor nodes. In fact, this allows every sensor node to achieve diagnosis. Here, an Artificial Immune System (AIS) based fault diagnosis for WSN (WAIS) algorithm has been proposed where the performance measures average diagnosis latency, detection accuracy, false alarm rate improved by 32.79%,1.76%,0.8% with respect to the existing algorithms such as dynamic distributed self diagnosis protocol (D DSDP), adaptive distributed self diagnosis protocol (A DSDP), mobile distributed self diagnosis protocol (M DSDP). © 2017 IEEE.",artificial immune system; fault diagnosis; Wireless sensor network,Failure analysis; Immune system; Sensor nodes; Wireless sensor networks; Artificial Immune System; Detection accuracy; False alarm rate; Fault diagnosis problem; Performance measure; Self diagnosis; Wireless sensor; Fault detection,,,Institute of Electrical and Electronics Engineers Inc.,21593442,9.78151E+12,85QXA,,English,IEEE Reg 10 Annu Int Conf Proc TENCON,Conference Paper,,Scopus,2-s2.0-85044190725
